entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""GIL RAIM @ dPnVkST7ll"".",2026-03-02T14:07:04.367Z,177246042436700
"The player ""Shingo2 @ 9o1jneL_Ei"" quits the game with a stack of 3820.",2026-03-02T14:00:21.652Z,177246002165201
"The player ""かいる @ nPiUhQEVMi"" quits the game with a stack of 2090.",2026-03-02T14:00:21.652Z,177246002165200
"-- ending hand #190 --",2026-03-02T14:00:18.696Z,177246001869602
"""GIL RAIM @ dPnVkST7ll"" collected 50 from pot",2026-03-02T14:00:18.696Z,177246001869601
"Uncalled bet of 40 returned to ""GIL RAIM @ dPnVkST7ll""",2026-03-02T14:00:18.696Z,177246001869600
"""かいる @ nPiUhQEVMi"" folds",2026-03-02T14:00:17.873Z,177246001787300
"""engawa @ cCFXQyltQ-"" folds",2026-03-02T14:00:16.693Z,177246001669300
"""AontheRiver @ 3xNTeMox_o"" folds",2026-03-02T14:00:15.571Z,177246001557100
"""GIL RAIM @ dPnVkST7ll"" raises to 60",2026-03-02T14:00:14.560Z,177246001456000
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:08.343Z,177246000834300
"""Shingo2 @ 9o1jneL_Ei"" folds",2026-03-02T14:00:05.954Z,177246000595400
"""かいる @ nPiUhQEVMi"" posts a big blind of 20",2026-03-02T13:59:58.364Z,177245999836409
"""engawa @ cCFXQyltQ-"" posts a small blind of 10",2026-03-02T13:59:58.364Z,177245999836408
"Player stacks: #1 ""engawa @ cCFXQyltQ-"" (2521) | #4 ""かいる @ nPiUhQEVMi"" (2110) | #7 ""Shingo2 @ 9o1jneL_Ei"" (3820) | #9 ""GIL RAIM @ dPnVkST7ll"" (2594) | #10 ""AontheRiver @ 3xNTeMox_o"" (3376)",2026-03-02T13:59:58.364Z,177245999836402
"-- starting hand #190 (id: gjxt2kbiozqc)  No Limit Texas Hold'em (dealer: ""AontheRiver @ 3xNTeMox_o"") --",2026-03-02T13:59:58.364Z,177245999836401
"The player ""waho @ OcsVCT66P_"" quits the game with a stack of 2000.",2026-03-02T13:59:58.364Z,177245999836400
"-- ending hand #189 --",2026-03-02T13:59:52.359Z,177245999235902
"""Shingo2 @ 9o1jneL_Ei"" collected 1850 from pot with Two Pair, A's & 9's (combination: K♠, 9♦, 9♣, A♠, A♥)",2026-03-02T13:59:52.359Z,177245999235901
"""Shingo2 @ 9o1jneL_Ei"" shows a 9♦, A♠.",2026-03-02T13:59:52.359Z,177245999235900
"""engawa @ cCFXQyltQ-"" calls 440",2026-03-02T13:59:51.536Z,177245999153600
"""GIL RAIM @ dPnVkST7ll"" folds",2026-03-02T13:59:48.089Z,177245998808900
"""Shingo2 @ 9o1jneL_Ei"" bets 440",2026-03-02T13:59:47.040Z,177245998704000
"""engawa @ cCFXQyltQ-"" checks",2026-03-02T13:59:35.134Z,177245997513400
"River: 9♣, A♥, 6♥, 7♣ [K♠]",2026-03-02T13:59:32.257Z,177245997225700
"""engawa @ cCFXQyltQ-"" calls 200",2026-03-02T13:59:31.441Z,177245997144100
"""GIL RAIM @ dPnVkST7ll"" calls 200",2026-03-02T13:58:52.539Z,177245993253900
"""Shingo2 @ 9o1jneL_Ei"" bets 200",2026-03-02T13:58:44.828Z,177245992482800
