entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""AontheRiver @ 3xNTeMox_o"".",2026-03-02T14:05:36.321Z,177246033632100
"The player ""engage @ cCFXQyltQ-"" quits the game with a stack of 1750.",2026-03-02T14:02:51.283Z,177246017128300
"The player ""miki @ -qEZ1CRvSu"" stand up with the stack of 2459.",2026-03-02T14:02:40.035Z,177246016003501
"The admin updated the player ""Rabbit900 @ yEOnuJcBZo"" stack from 2810 to 2000.",2026-03-02T14:02:40.035Z,177246016003500
"-- ending hand #193 --",2026-03-02T14:02:37.123Z,177246015712302
"""Rabbit900 @ yEOnuJcBZo"" collected 1600 from pot",2026-03-02T14:02:37.123Z,177246015712301
"Uncalled bet of 320 returned to ""Rabbit900 @ yEOnuJcBZo""",2026-03-02T14:02:37.123Z,177246015712300
"""engage @ cCFXQyltQ-"" folds",2026-03-02T14:02:36.307Z,177246015630700
"""Rabbit900 @ yEOnuJcBZo"" bets 320",2026-03-02T14:01:58.819Z,177246011881900
"River: A♦, 8♦, 6♥, 4♠ [A♣]",2026-03-02T14:01:43.370Z,177246010337000
"""engage @ cCFXQyltQ-"" checks",2026-03-02T14:01:42.564Z,177246010256400
"""Rabbit900 @ yEOnuJcBZo"" checks",2026-03-02T14:01:31.650Z,177246009165000
"Turn: A♦, 8♦, 6♥ [4♠]",2026-03-02T14:01:30.041Z,177246009004100
"""Rabbit900 @ yEOnuJcBZo"" calls 550",2026-03-02T14:01:29.168Z,177246008916800
"""engage @ cCFXQyltQ-"" raises to 550",2026-03-02T14:01:26.923Z,177246008692300
"""Rabbit900 @ yEOnuJcBZo"" bets 150",2026-03-02T14:00:39.345Z,177246003934500
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:29.278Z,177246002927800
"Flop:  [A♦, 8♦, 6♥]",2026-03-02T14:00:25.796Z,177246002579600
"""engage @ cCFXQyltQ-"" calls 240",2026-03-02T14:00:24.992Z,177246002499200
"""miki @ -qEZ1CRvSu"" folds",2026-03-02T14:00:12.323Z,177246001232300
"""Rabbit900 @ yEOnuJcBZo"" raises to 240",2026-03-02T14:00:07.300Z,177246000730000
"""engage @ cCFXQyltQ-"" raises to 57",2026-03-02T13:59:58.723Z,177245999872300
"WARNING: the admin queued the stack change for the player ""Rabbit900 @ yEOnuJcBZo"" reseting to 2000 chips in the next hand.",2026-03-02T13:59:48.976Z,177245998897600
"""AontheRiver @ 3xNTeMox_o"" folds",2026-03-02T13:59:46.701Z,177245998670100
"""miki @ -qEZ1CRvSu"" posts a big blind of 20",2026-03-02T13:59:45.435Z,177245998543508
"""Rabbit900 @ yEOnuJcBZo"" posts a small blind of 10",2026-03-02T13:59:45.435Z,177245998543507
"Player stacks: #2 ""Rabbit900 @ yEOnuJcBZo"" (2000) | #3 ""miki @ -qEZ1CRvSu"" (2479) | #5 ""AontheRiver @ 3xNTeMox_o"" (2893) | #10 ""engage @ cCFXQyltQ-"" (2540)",2026-03-02T13:59:45.435Z,177245998543502
"-- starting hand #193 (id: b5bt1oozfh8q)  No Limit Texas Hold'em (dealer: ""engage @ cCFXQyltQ-"") --",2026-03-02T13:59:45.435Z,177245998543501
"The admin updated the player ""Rabbit900 @ yEOnuJcBZo"" stack from 2117 to 2000.",2026-03-02T13:59:45.435Z,177245998543500
"-- ending hand #192 --",2026-03-02T13:59:39.386Z,177245997938602
