player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"siruneko",m6qcHTxJhX,2026-03-02T13:52:52.166Z,2026-03-02T14:01:56.785Z,2020,2060,0,40
"siruneko",m6qcHTxJhX,2026-03-02T13:28:57.059Z,2026-03-02T13:52:36.380Z,2080,2190,0,110
"siruneko",m6qcHTxJhX,2026-03-02T12:48:08.876Z,2026-03-02T13:25:06.804Z,2330,2730,0,400
"Sabosuke",d0D86iQ5gg,2026-03-02T12:26:42.856Z,,3862,410,2390,-1062
"siruneko",m6qcHTxJhX,2026-03-02T12:13:29.857Z,2026-03-02T12:24:58.315Z,3457,2000,0,-1457
"Testes",QWB-qkCzDu,2026-03-02T11:39:41.156Z,2026-03-02T12:29:16.339Z,2230,2935,0,705
"ゴン02（江戸犬）",AblUkPGGlZ,2026-03-02T11:10:45.931Z,2026-03-02T14:02:06.433Z,2000,4045,0,2045
"AontheRiver",3xNTeMox_o,2026-03-02T11:05:03.728Z,,6849,977,2172,-3700
"いっせ",EI0h9NvLRP,2026-03-02T11:04:25.146Z,2026-03-02T12:11:15.225Z,2931,7397,0,4466
"siruneko",m6qcHTxJhX,2026-03-02T11:04:08.961Z,2026-03-02T11:37:08.899Z,2609,2090,0,-519
"Kay",5v7PwEvIAz,2026-03-02T11:04:08.959Z,2026-03-02T14:01:56.780Z,3026,2350,0,-676
"alfort",TkMT4agdsh,2026-03-02T11:04:08.963Z,2026-03-02T14:02:10.369Z,3875,3523,0,-352
