entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""AontheRiver @ 3xNTeMox_o"".",2026-03-02T14:04:49.996Z,177246028999600
"The player ""alfort @ TkMT4agdsh"" quits the game with a stack of 3423.",2026-03-02T14:02:10.366Z,177246013036600
"The player ""ゴン02（江戸犬） @ AblUkPGGlZ"" quits the game with a stack of 2945.",2026-03-02T14:02:06.427Z,177246012642700
"The player ""siruneko @ m6qcHTxJhX"" quits the game with a stack of 2000.",2026-03-02T14:01:56.776Z,177246011677601
"The player ""Kay @ 5v7PwEvIAz"" quits the game with a stack of 2340.",2026-03-02T14:01:56.776Z,177246011677600
"-- ending hand #202 --",2026-03-02T14:01:50.772Z,177246011077202
"""alfort @ TkMT4agdsh"" collected 560 from pot with Two Pair, Q's & 8's (combination: 7♠, 8♥, 8♣, Q♠, Q♣)",2026-03-02T14:01:50.772Z,177246011077201
"""alfort @ TkMT4agdsh"" shows a Q♠, Q♣.",2026-03-02T14:01:50.772Z,177246011077200
"""ゴン02（江戸犬） @ AblUkPGGlZ"" calls 168",2026-03-02T14:01:49.962Z,177246010996200
"""alfort @ TkMT4agdsh"" bets 168",2026-03-02T14:01:22.260Z,177246008226000
"""ゴン02（江戸犬） @ AblUkPGGlZ"" checks",2026-03-02T14:01:11.650Z,177246007165000
"River: 7♠, 3♠, 8♥, 5♣ [8♣]",2026-03-02T14:01:06.489Z,177246006648900
"""ゴン02（江戸犬） @ AblUkPGGlZ"" calls 67",2026-03-02T14:01:05.654Z,177246006565400
"""alfort @ TkMT4agdsh"" bets 67",2026-03-02T14:00:58.936Z,177246005893600
"""ゴン02（江戸犬） @ AblUkPGGlZ"" checks",2026-03-02T14:00:51.538Z,177246005153800
"Turn: 7♠, 3♠, 8♥ [5♣]",2026-03-02T14:00:40.896Z,177246004089600
"""alfort @ TkMT4agdsh"" checks",2026-03-02T14:00:40.060Z,177246004006000
"""ゴン02（江戸犬） @ AblUkPGGlZ"" checks",2026-03-02T14:00:28.955Z,177246002895500
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:26.427Z,177246002642700
"Flop:  [7♠, 3♠, 8♥]",2026-03-02T14:00:25.195Z,177246002519500
"""ゴン02（江戸犬） @ AblUkPGGlZ"" calls 40",2026-03-02T14:00:24.375Z,177246002437500
"""Sabosuke @ d0D86iQ5gg"" folds",2026-03-02T14:00:20.440Z,177246002044000
"""AontheRiver @ 3xNTeMox_o"" folds",2026-03-02T14:00:19.557Z,177246001955700
"""Kay @ 5v7PwEvIAz"" folds",2026-03-02T14:00:12.665Z,177246001266500
"""alfort @ TkMT4agdsh"" raises to 40",2026-03-02T14:00:11.465Z,177246001146500
"""siruneko @ m6qcHTxJhX"" folds",2026-03-02T14:00:07.873Z,177246000787300
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a big blind of 20",2026-03-02T14:00:04.679Z,177246000467909
"""Sabosuke @ d0D86iQ5gg"" posts a small blind of 10",2026-03-02T14:00:04.679Z,177246000467908
"Player stacks: #1 ""Kay @ 5v7PwEvIAz"" (2340) | #4 ""AontheRiver @ 3xNTeMox_o"" (2172) | #5 ""Sabosuke @ d0D86iQ5gg"" (2400) | #6 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (3220) | #7 ""siruneko @ m6qcHTxJhX"" (2000) | #9 ""alfort @ TkMT4agdsh"" (3138)",2026-03-02T14:00:04.679Z,177246000467901
"-- starting hand #202 (id: 6tpzqkg97muw)  No Limit Texas Hold'em (dealer: ""AontheRiver @ 3xNTeMox_o"") --",2026-03-02T14:00:04.679Z,177246000467900
"-- ending hand #201 --",2026-03-02T14:00:01.708Z,177246000170802
"""Kay @ 5v7PwEvIAz"" collected 350 from pot",2026-03-02T14:00:01.708Z,177246000170801
"Uncalled bet of 120 returned to ""Kay @ 5v7PwEvIAz""",2026-03-02T14:00:01.708Z,177246000170800
"""alfort @ TkMT4agdsh"" folds",2026-03-02T14:00:00.849Z,177246000084900
"""Kay @ 5v7PwEvIAz"" bets 120",2026-03-02T13:59:57.246Z,177245999724600
"""alfort @ TkMT4agdsh"" checks",2026-03-02T13:59:49.745Z,177245998974500
"Flop:  [3♦, 7♠, 3♠]",2026-03-02T13:59:47.258Z,177245998725800
"""alfort @ TkMT4agdsh"" calls 160",2026-03-02T13:59:46.392Z,177245998639200
"""Sabosuke @ d0D86iQ5gg"" folds",2026-03-02T13:59:38.146Z,177245997814600
"""AontheRiver @ 3xNTeMox_o"" folds",2026-03-02T13:59:36.683Z,177245997668300
"""Kay @ 5v7PwEvIAz"" raises to 160",2026-03-02T13:59:31.270Z,177245997127000
"""alfort @ TkMT4agdsh"" raises to 46",2026-03-02T13:59:18.275Z,177245995827500
"""siruneko @ m6qcHTxJhX"" folds",2026-03-02T13:59:11.964Z,177245995196400
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-03-02T13:59:10.836Z,177245995083600
"""Sabosuke @ d0D86iQ5gg"" posts a big blind of 20",2026-03-02T13:59:02.829Z,177245994282909
"""AontheRiver @ 3xNTeMox_o"" posts a small blind of 10",2026-03-02T13:59:02.829Z,177245994282908
"Player stacks: #1 ""Kay @ 5v7PwEvIAz"" (2150) | #4 ""AontheRiver @ 3xNTeMox_o"" (2182) | #5 ""Sabosuke @ d0D86iQ5gg"" (2420) | #6 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (3220) | #7 ""siruneko @ m6qcHTxJhX"" (2000) | #9 ""alfort @ TkMT4agdsh"" (3298)",2026-03-02T13:59:02.829Z,177245994282901
"-- starting hand #201 (id: 7xoqcbzvvaj6)  No Limit Texas Hold'em (dealer: ""Kay @ 5v7PwEvIAz"") --",2026-03-02T13:59:02.829Z,177245994282900
"-- ending hand #200 --",2026-03-02T13:58:59.920Z,177245993992002
"""AontheRiver @ 3xNTeMox_o"" collected 274 from pot",2026-03-02T13:58:59.920Z,177245993992001
"Uncalled bet of 1300 returned to ""AontheRiver @ 3xNTeMox_o""",2026-03-02T13:58:59.920Z,177245993992000
"""alfort @ TkMT4agdsh"" folds",2026-03-02T13:58:59.075Z,177245993907500
"""AontheRiver @ 3xNTeMox_o"" bets 1300",2026-03-02T13:58:54.874Z,177245993487400
"River: A♥, 3♥, 10♣, 2♣ [8♠]",2026-03-02T13:57:31.376Z,177245985137600
"""alfort @ TkMT4agdsh"" checks",2026-03-02T13:57:30.545Z,177245985054500
