player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"わた",kgEmed-EEr,,,3000,,3000,0
"Ene",6N30cpGlP_,2026-03-02T13:30:28.567Z,2026-03-02T14:00:23.709Z,2030,3034,0,1004
"sultan.",vVo9VdBVBm,2026-03-02T13:27:06.039Z,,2262,2378,2000,2116
"わた",kgEmed-EEr,2026-03-02T13:26:09.116Z,2026-03-02T13:59:39.153Z,3235,0,0,-3235
"okbokujo",7rBUr1jNCU,2026-03-02T12:26:47.176Z,,5454,1410,2688,-1356
"Lemon",Xa_1dhYEV4,2026-03-02T11:22:41.216Z,2026-03-02T13:07:04.551Z,3000,6105,0,3105
"をにぎり",fyjEJaUFUd,2026-03-02T11:14:26.559Z,2026-03-02T13:01:35.059Z,3041,3659,0,618
"27",YkRLv6Nf7r,2026-03-02T11:14:01.840Z,2026-03-02T14:01:00.211Z,4865,7331,0,2466
"わた",kgEmed-EEr,2026-03-02T11:12:11.937Z,2026-03-02T13:25:31.669Z,6721,3476,0,-3245
"shunta",O1ujh7Dkxd,2026-03-02T11:12:11.931Z,2026-03-02T12:46:34.577Z,2099,2000,0,-99
"SHINJI1223",CETSUom4mb,2026-03-02T11:12:11.934Z,2026-03-02T12:15:29.108Z,2428,1054,0,-1374
"SHINJI1223",CETSUom4mb,,2026-03-02T11:10:23.487Z,2000,2000,0,0
