entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""okbokujo @ 7rBUr1jNCU"".",2026-03-02T14:04:59.641Z,177246029964100
"The player ""27 @ YkRLv6Nf7r"" quits the game with a stack of 3000.",2026-03-02T14:01:00.205Z,177246006020500
"The player ""27 @ YkRLv6Nf7r"" stand up with the stack of 3000.",2026-03-02T14:00:56.114Z,177246005611400
"The player ""Ene @ 6N30cpGlP_"" quits the game with a stack of 3034.",2026-03-02T14:00:23.699Z,177246002369902
"The admin updated the player ""27 @ YkRLv6Nf7r"" stack from 4090 to 3000.",2026-03-02T14:00:23.699Z,177246002369901
"The admin updated the player ""sultan. @ vVo9VdBVBm"" stack from 1990 to 2000.",2026-03-02T14:00:23.699Z,177246002369900
"-- ending hand #212 --",2026-03-02T14:00:20.768Z,177246002076802
"""okbokujo @ 7rBUr1jNCU"" collected 364 from pot",2026-03-02T14:00:20.768Z,177246002076801
"Uncalled bet of 180 returned to ""okbokujo @ 7rBUr1jNCU""",2026-03-02T14:00:20.768Z,177246002076800
"""Ene @ 6N30cpGlP_"" folds",2026-03-02T14:00:19.928Z,177246001992800
"""okbokujo @ 7rBUr1jNCU"" bets 180",2026-03-02T14:00:17.965Z,177246001796500
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:08.172Z,177246000817200
"River: 6♦, J♣, 5♦, 6♥ [6♣]",2026-03-02T14:00:05.949Z,177246000594900
"""Ene @ 6N30cpGlP_"" calls 120",2026-03-02T14:00:05.126Z,177246000512600
"""okbokujo @ 7rBUr1jNCU"" bets 120",2026-03-02T14:00:02.110Z,177246000211000
"Turn: 6♦, J♣, 5♦ [6♥]",2026-03-02T13:59:55.533Z,177245999553300
"""Ene @ 6N30cpGlP_"" checks",2026-03-02T13:59:54.698Z,177245999469800
"""okbokujo @ 7rBUr1jNCU"" checks",2026-03-02T13:59:53.159Z,177245999315900
"Flop:  [6♦, J♣, 5♦]",2026-03-02T13:59:51.022Z,177245999102200
"""okbokujo @ 7rBUr1jNCU"" calls 57",2026-03-02T13:59:50.211Z,177245999021100
"""sultan. @ vVo9VdBVBm"" folds",2026-03-02T13:59:47.632Z,177245998763200
"The admin approved the player ""わた @ kgEmed-EEr"" participation with a stack of 3000.",2026-03-02T13:59:47.177Z,177245998717700
"The player ""わた @ kgEmed-EEr"" requested a seat.",2026-03-02T13:59:44.589Z,177245998458900
"""Ene @ 6N30cpGlP_"" raises to 57",2026-03-02T13:59:44.030Z,177245998403000
"WARNING: the admin queued the stack change for the player ""27 @ YkRLv6Nf7r"" reseting to 3000 chips in the next hand.",2026-03-02T13:59:41.535Z,177245998153500
"""27 @ YkRLv6Nf7r"" folds",2026-03-02T13:59:41.026Z,177245998102600
"WARNING: the admin queued the stack change for the player ""sultan. @ vVo9VdBVBm"" reseting to 2000 chips in the next hand.",2026-03-02T13:59:40.531Z,177245998053100
"""okbokujo @ 7rBUr1jNCU"" posts a big blind of 20",2026-03-02T13:59:39.148Z,177245997914809
"""sultan. @ vVo9VdBVBm"" posts a small blind of 10",2026-03-02T13:59:39.148Z,177245997914808
"Player stacks: #1 ""Ene @ 6N30cpGlP_"" (3211) | #5 ""sultan. @ vVo9VdBVBm"" (2000) | #6 ""okbokujo @ 7rBUr1jNCU"" (2501) | #8 ""27 @ YkRLv6Nf7r"" (4090)",2026-03-02T13:59:39.148Z,177245997914803
"-- starting hand #212 (id: awzvvjaackti)  No Limit Texas Hold'em (dealer: ""Ene @ 6N30cpGlP_"") --",2026-03-02T13:59:39.148Z,177245997914802
"The player ""わた @ kgEmed-EEr"" quits the game with a stack of 0.",2026-03-02T13:59:39.148Z,177245997914801
"The admin updated the player ""sultan. @ vVo9VdBVBm"" stack from 1920 to 2000.",2026-03-02T13:59:39.148Z,177245997914800
"-- ending hand #211 --",2026-03-02T13:59:31.145Z,177245997114502
"""27 @ YkRLv6Nf7r"" collected 2045 from pot with Two Pair, A's & 10's on the second run  (combination: J♣, 10♣, 10♥, A♥, A♣)",2026-03-02T13:59:31.145Z,177245997114501
"""27 @ YkRLv6Nf7r"" collected 2045 from pot with Two Pair, A's & 10's (combination: 8♥, 10♣, 10♥, A♥, A♣)",2026-03-02T13:59:31.145Z,177245997114500
