entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""RYOTA @ SrJdWlcNBY"".",2026-03-02T14:04:45.351Z,177246028535100
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3373.",2026-03-02T14:01:45.324Z,177246010532400
"The player ""Rabbit900 @ yEOnuJcBZo"" quits the game with a stack of 3330.",2026-03-02T14:00:57.790Z,177246005779000
"-- ending hand #222 --",2026-03-02T14:00:51.787Z,177246005178704
"""takatony @ j_3joKfzS9"" collected 2360 from pot with Straight, A High (combination: 10♦, J♣, Q♥, K♦, A♠)",2026-03-02T14:00:51.787Z,177246005178703
"""RYOTA @ SrJdWlcNBY"" collected 2360 from pot with Straight, A High (combination: 10♦, J♣, Q♥, K♥, A♠)",2026-03-02T14:00:51.787Z,177246005178702
"""takatony @ j_3joKfzS9"" shows a 8♣, K♦.",2026-03-02T14:00:51.787Z,177246005178701
"""RYOTA @ SrJdWlcNBY"" shows a 2♦, K♥.",2026-03-02T14:00:51.787Z,177246005178700
"""takatony @ j_3joKfzS9"" calls 2320",2026-03-02T14:00:50.924Z,177246005092400
"""RYOTA @ SrJdWlcNBY"" raises to 2320 and go all in",2026-03-02T14:00:44.579Z,177246004457900
"""takatony @ j_3joKfzS9"" raises to 960",2026-03-02T14:00:34.566Z,177246003456600
"""RYOTA @ SrJdWlcNBY"" raises to 640",2026-03-02T14:00:25.696Z,177246002569600
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:24.219Z,177246002421900
"""takatony @ j_3joKfzS9"" raises to 320",2026-03-02T14:00:06.015Z,177246000601500
"""RYOTA @ SrJdWlcNBY"" bets 160",2026-03-02T13:59:50.233Z,177245999023300
"River: Q♥, A♠, J♣, 4♣ [10♦]",2026-03-02T13:59:38.547Z,177245997854700
"""takatony @ j_3joKfzS9"" checks",2026-03-02T13:59:37.740Z,177245997774000
"""RYOTA @ SrJdWlcNBY"" checks",2026-03-02T13:59:35.279Z,177245997527900
"Turn: Q♥, A♠, J♣ [4♣]",2026-03-02T13:59:32.745Z,177245997274500
"""takatony @ j_3joKfzS9"" calls 20",2026-03-02T13:59:31.920Z,177245997192000
"""RYOTA @ SrJdWlcNBY"" bets 20",2026-03-02T13:59:29.841Z,177245996984100
"Flop:  [Q♥, A♠, J♣]",2026-03-02T13:59:14.697Z,177245995469700
"""takatony @ j_3joKfzS9"" checks",2026-03-02T13:59:13.875Z,177245995387500
"""RYOTA @ SrJdWlcNBY"" calls 20",2026-03-02T13:59:11.791Z,177245995179100
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-02T13:59:08.017Z,177245994801700
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-03-02T13:59:03.230Z,177245994323006
"""RYOTA @ SrJdWlcNBY"" posts a small blind of 10",2026-03-02T13:59:03.230Z,177245994323005
"Player stacks: #1 ""Rabbit900 @ yEOnuJcBZo"" (3330) | #4 ""RYOTA @ SrJdWlcNBY"" (2360) | #5 ""takatony @ j_3joKfzS9"" (3373)",2026-03-02T13:59:03.230Z,177245994323001
"-- starting hand #222 (id: ccv2rxwgrxtc)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-03-02T13:59:03.230Z,177245994323000
"-- ending hand #221 --",2026-03-02T13:59:00.321Z,177245994032102
"""Rabbit900 @ yEOnuJcBZo"" collected 40 from pot",2026-03-02T13:59:00.321Z,177245994032101
"Uncalled bet of 40 returned to ""Rabbit900 @ yEOnuJcBZo""",2026-03-02T13:59:00.321Z,177245994032100
"""RYOTA @ SrJdWlcNBY"" folds",2026-03-02T13:58:59.484Z,177245993948400
"""Rabbit900 @ yEOnuJcBZo"" raises to 60",2026-03-02T13:58:57.629Z,177245993762900
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:58:52.838Z,177245993283800
"""RYOTA @ SrJdWlcNBY"" posts a big blind of 20",2026-03-02T13:58:51.571Z,177245993157106
"""Rabbit900 @ yEOnuJcBZo"" posts a small blind of 10",2026-03-02T13:58:51.571Z,177245993157105
"Player stacks: #1 ""Rabbit900 @ yEOnuJcBZo"" (3310) | #4 ""RYOTA @ SrJdWlcNBY"" (2380) | #5 ""takatony @ j_3joKfzS9"" (3373)",2026-03-02T13:58:51.571Z,177245993157101
"-- starting hand #221 (id: yatuilbnsubt)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-02T13:58:51.571Z,177245993157100
"-- ending hand #220 --",2026-03-02T13:58:48.653Z,177245992865302
"""Rabbit900 @ yEOnuJcBZo"" collected 20 from pot",2026-03-02T13:58:48.653Z,177245992865301
"Uncalled bet of 10 returned to ""Rabbit900 @ yEOnuJcBZo""",2026-03-02T13:58:48.653Z,177245992865300
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:58:47.818Z,177245992781800
"""RYOTA @ SrJdWlcNBY"" folds",2026-03-02T13:58:44.181Z,177245992418100
"""Rabbit900 @ yEOnuJcBZo"" posts a big blind of 20",2026-03-02T13:58:42.296Z,177245992229606
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-02T13:58:42.296Z,177245992229605
"Player stacks: #1 ""Rabbit900 @ yEOnuJcBZo"" (3300) | #4 ""RYOTA @ SrJdWlcNBY"" (2380) | #5 ""takatony @ j_3joKfzS9"" (3383)",2026-03-02T13:58:42.296Z,177245992229601
"-- starting hand #220 (id: jao2lfiek2sp)  No Limit Texas Hold'em (dealer: ""RYOTA @ SrJdWlcNBY"") --",2026-03-02T13:58:42.296Z,177245992229600
"-- ending hand #219 --",2026-03-02T13:58:39.355Z,177245991935502
"""RYOTA @ SrJdWlcNBY"" collected 40 from pot",2026-03-02T13:58:39.355Z,177245991935501
"Uncalled bet of 40 returned to ""RYOTA @ SrJdWlcNBY""",2026-03-02T13:58:39.355Z,177245991935500
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:58:38.498Z,177245991849800
"""RYOTA @ SrJdWlcNBY"" raises to 60",2026-03-02T13:58:36.101Z,177245991610100
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-02T13:58:29.971Z,177245990997100
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-03-02T13:58:27.326Z,177245990732606
"""RYOTA @ SrJdWlcNBY"" posts a small blind of 10",2026-03-02T13:58:27.326Z,177245990732605
"Player stacks: #1 ""Rabbit900 @ yEOnuJcBZo"" (3300) | #4 ""RYOTA @ SrJdWlcNBY"" (2360) | #5 ""takatony @ j_3joKfzS9"" (3403)",2026-03-02T13:58:27.326Z,177245990732601
"-- starting hand #219 (id: kmq9qt4gnvtn)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-03-02T13:58:27.326Z,177245990732600
"-- ending hand #218 --",2026-03-02T13:58:24.390Z,177245990439002
"""Rabbit900 @ yEOnuJcBZo"" collected 40 from pot",2026-03-02T13:58:24.390Z,177245990439001
