entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""Hinano @ WeOKnoOueQ"".",2026-03-09T14:04:20.757Z,177306506075700
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3000.",2026-03-09T14:02:17.263Z,177306493726300
"The player ""ゴン02（江戸犬） @ AblUkPGGlZ"" quits the game with a stack of 3401.",2026-03-09T14:02:15.340Z,177306493534000
"-- ending hand #194 --",2026-03-09T14:01:45.828Z,177306490582803
"""なんでやねん @ r1CBe6Qe79"" collected 1300 from pot with Pair, A's (combination: 8♦, 10♣, J♣, A♣, A♠)",2026-03-09T14:01:45.828Z,177306490582802
"""なんでやねん @ r1CBe6Qe79"" shows a A♣, 10♣.",2026-03-09T14:01:45.828Z,177306490582801
"""らねおか @ l218j9GUvI"" shows a Q♣, Q♥.",2026-03-09T14:01:45.828Z,177306490582800
"""なんでやねん @ r1CBe6Qe79"" calls 120",2026-03-09T14:01:45.013Z,177306490501300
"""らねおか @ l218j9GUvI"" bets 120",2026-03-09T14:01:42.345Z,177306490234500
"River: A♠, 3♣, J♣, 8♦ [4♥]",2026-03-09T14:01:25.117Z,177306488511700
"""なんでやねん @ r1CBe6Qe79"" checks",2026-03-09T14:01:24.226Z,177306488422600
"""らねおか @ l218j9GUvI"" checks",2026-03-09T14:00:42.856Z,177306484285600
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:12.756Z,177306481275600
"Turn: A♠, 3♣, J♣ [8♦]",2026-03-09T14:00:09.720Z,177306480972000
"""なんでやねん @ r1CBe6Qe79"" calls 100",2026-03-09T14:00:08.903Z,177306480890300
"""らねおか @ l218j9GUvI"" bets 100",2026-03-09T13:59:51.178Z,177306479117800
"Flop:  [A♠, 3♣, J♣]",2026-03-09T13:59:30.119Z,177306477011900
"""なんでやねん @ r1CBe6Qe79"" calls 420",2026-03-09T13:59:29.311Z,177306476931100
"""らねおか @ l218j9GUvI"" raises to 420",2026-03-09T13:58:35.625Z,177306471562500
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-03-09T13:58:18.767Z,177306469876700
"""なんでやねん @ r1CBe6Qe79"" raises to 150",2026-03-09T13:58:17.742Z,177306469774200
"""らねおか @ l218j9GUvI"" raises to 50",2026-03-09T13:58:12.454Z,177306469245400
"""takatony @ j_3joKfzS9"" folds",2026-03-09T13:58:06.135Z,177306468613500
"""Hinano @ WeOKnoOueQ"" folds",2026-03-09T13:58:05.112Z,177306468511200
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a big blind of 20",2026-03-09T13:58:01.826Z,177306468182610
"Dead Small Blind",2026-03-09T13:58:01.826Z,177306468182609
"Player stacks: #1 ""takatony @ j_3joKfzS9"" (3000) | #2 ""らねおか @ l218j9GUvI"" (3202) | #4 ""なんでやねん @ r1CBe6Qe79"" (2000) | #8 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (3421) | #10 ""Hinano @ WeOKnoOueQ"" (5528)",2026-03-09T13:58:01.826Z,177306468182603
"-- starting hand #194 (id: i3t9gm09d0wr)  No Limit Texas Hold'em (dealer: ""なんでやねん @ r1CBe6Qe79"") --",2026-03-09T13:58:01.826Z,177306468182602
