entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""konasho @ 5Bj_LObl5K"".",2026-03-09T14:06:37.810Z,177306519781000
"The player ""ゴン02（江戸犬） @ AblUkPGGlZ"" quits the game with a stack of 3175.",2026-03-09T14:02:13.057Z,177306493305700
"The player ""なんでやねん @ r1CBe6Qe79"" quits the game with a stack of 2080.",2026-03-09T14:00:57.926Z,177306485792600
"-- ending hand #257 --",2026-03-09T14:00:51.911Z,177306485191102
"""なんでやねん @ r1CBe6Qe79"" collected 90 from pot with Two Pair, Q's & 6's (combination: A♠, 6♠, 6♥, Q♥, Q♠)",2026-03-09T14:00:51.911Z,177306485191101
"""なんでやねん @ r1CBe6Qe79"" shows a 6♠, A♠.",2026-03-09T14:00:51.911Z,177306485191100
"""Ramune @ soKGYfNQsD"" checks",2026-03-09T14:00:51.048Z,177306485104800
"""なんでやねん @ r1CBe6Qe79"" checks",2026-03-09T14:00:33.733Z,177306483373300
"River: 6♥, 10♣, Q♥, Q♠ [7♥]",2026-03-09T14:00:31.903Z,177306483190300
"""Ramune @ soKGYfNQsD"" checks",2026-03-09T14:00:31.098Z,177306483109800
"""なんでやねん @ r1CBe6Qe79"" checks",2026-03-09T14:00:23.341Z,177306482334100
"Turn: 6♥, 10♣, Q♥ [Q♠]",2026-03-09T14:00:21.522Z,177306482152200
"""Ramune @ soKGYfNQsD"" checks",2026-03-09T14:00:20.710Z,177306482071000
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:20.355Z,177306482035500
"""なんでやねん @ r1CBe6Qe79"" checks",2026-03-09T14:00:18.425Z,177306481842500
"Flop:  [6♥, 10♣, Q♥]",2026-03-09T14:00:16.321Z,177306481632100
"""なんでやねん @ r1CBe6Qe79"" calls 40",2026-03-09T14:00:15.483Z,177306481548300
"""konasho @ 5Bj_LObl5K"" folds",2026-03-09T14:00:13.578Z,177306481357800
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-03-09T14:00:12.493Z,177306481249300
"""Ramune @ soKGYfNQsD"" raises to 40",2026-03-09T14:00:08.865Z,177306480886500
"""なんでやねん @ r1CBe6Qe79"" posts a big blind of 20",2026-03-09T14:00:05.121Z,177306480512107
"""konasho @ 5Bj_LObl5K"" posts a small blind of 10",2026-03-09T14:00:05.121Z,177306480512106
"Player stacks: #1 ""konasho @ 5Bj_LObl5K"" (2880) | #7 ""なんでやねん @ r1CBe6Qe79"" (2030) | #8 ""Ramune @ soKGYfNQsD"" (2165) | #9 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (3175)",2026-03-09T14:00:05.121Z,177306480512101
"-- starting hand #257 (id: dkhcrehoeixo)  No Limit Texas Hold'em (dealer: ""ゴン02（江戸犬） @ AblUkPGGlZ"") --",2026-03-09T14:00:05.121Z,177306480512100
"-- ending hand #256 --",2026-03-09T14:00:02.196Z,177306480219602
"""なんでやねん @ r1CBe6Qe79"" collected 50 from pot",2026-03-09T14:00:02.196Z,177306480219601
"Uncalled bet of 25 returned to ""なんでやねん @ r1CBe6Qe79""",2026-03-09T14:00:02.196Z,177306480219600
"""konasho @ 5Bj_LObl5K"" folds",2026-03-09T14:00:01.231Z,177306480123100
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-03-09T13:59:58.056Z,177306479805600
"""Ramune @ soKGYfNQsD"" folds",2026-03-09T13:59:56.121Z,177306479612100
"""なんでやねん @ r1CBe6Qe79"" raises to 45",2026-03-09T13:59:55.116Z,177306479511600
"""konasho @ 5Bj_LObl5K"" posts a big blind of 20",2026-03-09T13:59:44.817Z,177306478481707
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a small blind of 10",2026-03-09T13:59:44.817Z,177306478481706
"Player stacks: #1 ""konasho @ 5Bj_LObl5K"" (2900) | #7 ""なんでやねん @ r1CBe6Qe79"" (2000) | #8 ""Ramune @ soKGYfNQsD"" (2165) | #9 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (3185)",2026-03-09T13:59:44.817Z,177306478481701
"-- starting hand #256 (id: z96ebo12ovfz)  No Limit Texas Hold'em (dealer: ""Ramune @ soKGYfNQsD"") --",2026-03-09T13:59:44.817Z,177306478481700
"-- ending hand #255 --",2026-03-09T13:59:41.898Z,177306478189802
"""Ramune @ soKGYfNQsD"" collected 40 from pot",2026-03-09T13:59:41.898Z,177306478189801
"Uncalled bet of 40 returned to ""Ramune @ soKGYfNQsD""",2026-03-09T13:59:41.898Z,177306478189800
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-03-09T13:59:41.072Z,177306478107200
"""Ramune @ soKGYfNQsD"" raises to 60",2026-03-09T13:59:39.115Z,177306477911500
"""なんでやねん @ r1CBe6Qe79"" folds",2026-03-09T13:59:32.233Z,177306477223300
"""konasho @ 5Bj_LObl5K"" folds",2026-03-09T13:59:20.749Z,177306476074900
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a big blind of 20",2026-03-09T13:59:18.795Z,177306475879508
"""Ramune @ soKGYfNQsD"" posts a small blind of 10",2026-03-09T13:59:18.795Z,177306475879507
"Player stacks: #1 ""konasho @ 5Bj_LObl5K"" (2900) | #7 ""なんでやねん @ r1CBe6Qe79"" (2000) | #8 ""Ramune @ soKGYfNQsD"" (2145) | #9 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (3205)",2026-03-09T13:59:18.795Z,177306475879502
"-- starting hand #255 (id: c9hlqczghnvo)  No Limit Texas Hold'em (dealer: ""なんでやねん @ r1CBe6Qe79"") --",2026-03-09T13:59:18.795Z,177306475879501
"The admin updated the player ""なんでやねん @ r1CBe6Qe79"" stack from 1990 to 2000.",2026-03-09T13:59:18.795Z,177306475879500
"-- ending hand #254 --",2026-03-09T13:59:15.887Z,177306475588702
"""Ramune @ soKGYfNQsD"" collected 20 from pot",2026-03-09T13:59:15.887Z,177306475588701
"Uncalled bet of 10 returned to ""Ramune @ soKGYfNQsD""",2026-03-09T13:59:15.887Z,177306475588700
"""なんでやねん @ r1CBe6Qe79"" folds",2026-03-09T13:59:15.071Z,177306475507100
"""konasho @ 5Bj_LObl5K"" folds",2026-03-09T13:59:14.005Z,177306475400500
"WARNING: the admin queued the stack change for the player ""なんでやねん @ r1CBe6Qe79"" reseting to 2000 chips in the next hand.",2026-03-09T13:59:13.886Z,177306475388600
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-03-09T13:59:12.922Z,177306475292200
"""Ramune @ soKGYfNQsD"" posts a big blind of 20",2026-03-09T13:59:11.045Z,177306475104508
"""なんでやねん @ r1CBe6Qe79"" posts a small blind of 10",2026-03-09T13:59:11.045Z,177306475104507
