player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"らねおか",l218j9GUvI,2026-03-09T13:12:53.639Z,,2637,,2010,-627
"ばどえあー",Ji_JkhdQ8C,2026-03-09T12:42:47.820Z,2026-03-09T14:00:37.114Z,2501,2000,0,-501
"Noram",DZezvMNAJy,2026-03-09T12:38:52.548Z,2026-03-09T14:00:37.108Z,3000,3935,0,935
"utos",g0yui9LXM4,2026-03-09T12:27:11.353Z,2026-03-09T13:59:32.788Z,3000,3210,0,210
"ぼくだよ",cLX91bDIBI,2026-03-09T12:13:24.893Z,2026-03-09T12:36:59.134Z,2184,2300,0,116
"utos",g0yui9LXM4,2026-03-09T12:00:39.260Z,2026-03-09T12:26:37.634Z,3405,2197,0,-1208
"Noram",DZezvMNAJy,2026-03-09T11:13:01.855Z,2026-03-09T12:38:42.937Z,3139,2135,0,-1004
"するたん",vVo9VdBVBm,2026-03-09T11:13:01.850Z,2026-03-09T12:24:08.297Z,2280,4707,0,2427
"tknsn",gEdtsiCEzz,2026-03-09T11:11:54.871Z,2026-03-09T12:04:17.626Z,4470,2000,0,-2470
"takatony",j_3joKfzS9,2026-03-09T11:10:38.087Z,2026-03-09T14:01:09.976Z,3000,2849,0,-151
"揚げもち",3liBhfdN10,2026-03-09T11:08:59.371Z,2026-03-09T11:58:00.507Z,2387,4120,0,1733
"なんでやねん",r1CBe6Qe79,2026-03-09T11:08:59.368Z,2026-03-09T14:00:41.936Z,2913,3548,0,635
"ノガード",GgfRhPuspx,2026-03-09T11:08:59.365Z,2026-03-09T11:11:15.510Z,2500,2405,0,-95
