entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""らねおか @ l218j9GUvI"".",2026-03-09T14:07:19.547Z,177306523954700
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 2849.",2026-03-09T14:01:09.974Z,177306486997400
"The player ""なんでやねん @ r1CBe6Qe79"" quits the game with a stack of 2157.",2026-03-09T14:00:41.933Z,177306484193300
"The player ""なんでやねん @ r1CBe6Qe79"" stand up with the stack of 2157.",2026-03-09T14:00:39.154Z,177306483915400
"The player ""ばどえあー @ Ji_JkhdQ8C"" quits the game with a stack of 2000.",2026-03-09T14:00:37.101Z,177306483710101
"The player ""Noram @ DZezvMNAJy"" quits the game with a stack of 3935.",2026-03-09T14:00:37.101Z,177306483710100
"-- ending hand #193 --",2026-03-09T14:00:31.091Z,177306483109102
"""Noram @ DZezvMNAJy"" collected 80 from pot with Flush, J High (combination: 2♣, 5♣, 7♣, 9♣, J♣)",2026-03-09T14:00:31.091Z,177306483109101
"""Noram @ DZezvMNAJy"" shows a J♣, 2♣.",2026-03-09T14:00:31.091Z,177306483109100
"""takatony @ j_3joKfzS9"" checks",2026-03-09T14:00:30.200Z,177306483020000
"""Noram @ DZezvMNAJy"" checks",2026-03-09T14:00:26.993Z,177306482699300
"River: 8♥, 7♣, 9♣, J♦ [5♣]",2026-03-09T14:00:21.456Z,177306482145600
"""takatony @ j_3joKfzS9"" checks",2026-03-09T14:00:20.642Z,177306482064200
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:20.105Z,177306482010500
"""Noram @ DZezvMNAJy"" checks",2026-03-09T13:59:59.803Z,177306479980300
"Turn: 8♥, 7♣, 9♣ [J♦]",2026-03-09T13:59:58.507Z,177306479850700
"""takatony @ j_3joKfzS9"" checks",2026-03-09T13:59:57.657Z,177306479765700
"""Noram @ DZezvMNAJy"" checks",2026-03-09T13:59:56.589Z,177306479658900
"Flop:  [8♥, 7♣, 9♣]",2026-03-09T13:59:53.704Z,177306479370400
"""takatony @ j_3joKfzS9"" calls 40",2026-03-09T13:59:52.823Z,177306479282300
"""Noram @ DZezvMNAJy"" raises to 40",2026-03-09T13:59:44.228Z,177306478422800
"""なんでやねん @ r1CBe6Qe79"" folds",2026-03-09T13:59:41.504Z,177306478150400
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-03-09T13:59:36.391Z,177306477639100
"""らねおか @ l218j9GUvI"" folds",2026-03-09T13:59:34.189Z,177306477418900
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-03-09T13:59:32.785Z,177306477278509
"""Noram @ DZezvMNAJy"" posts a small blind of 10",2026-03-09T13:59:32.785Z,177306477278508
"Player stacks: #1 ""takatony @ j_3joKfzS9"" (2889) | #3 ""らねおか @ l218j9GUvI"" (2010) | #5 ""ばどえあー @ Ji_JkhdQ8C"" (2000) | #8 ""なんでやねん @ r1CBe6Qe79"" (2157) | #9 ""Noram @ DZezvMNAJy"" (3895)",2026-03-09T13:59:32.785Z,177306477278502
"-- starting hand #193 (id: v8hhx9m9cadq)  No Limit Texas Hold'em (dealer: ""なんでやねん @ r1CBe6Qe79"") --",2026-03-09T13:59:32.785Z,177306477278501
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 3210.",2026-03-09T13:59:32.785Z,177306477278500
"-- ending hand #192 --",2026-03-09T13:59:29.862Z,177306476986202
"""takatony @ j_3joKfzS9"" collected 250 from pot",2026-03-09T13:59:29.862Z,177306476986201
"Uncalled bet of 200 returned to ""takatony @ j_3joKfzS9""",2026-03-09T13:59:29.862Z,177306476986200
"""らねおか @ l218j9GUvI"" folds",2026-03-09T13:59:29.037Z,177306476903700
"""takatony @ j_3joKfzS9"" bets 200",2026-03-09T13:59:27.744Z,177306476774400
"River: 7♣, 2♦, 2♥, 4♦ [K♠]",2026-03-09T13:59:09.709Z,177306474970900
"""らねおか @ l218j9GUvI"" checks",2026-03-09T13:59:08.885Z,177306474888500
"""takatony @ j_3joKfzS9"" checks",2026-03-09T13:58:54.531Z,177306473453100
"Turn: 7♣, 2♦, 2♥ [4♦]",2026-03-09T13:58:51.751Z,177306473175100
"""takatony @ j_3joKfzS9"" calls 50",2026-03-09T13:58:50.936Z,177306473093600
"""らねおか @ l218j9GUvI"" bets 50",2026-03-09T13:58:46.079Z,177306472607900
"""takatony @ j_3joKfzS9"" checks",2026-03-09T13:58:28.685Z,177306470868500
"Flop:  [7♣, 2♦, 2♥]",2026-03-09T13:58:22.108Z,177306470210800
"""Noram @ DZezvMNAJy"" folds",2026-03-09T13:58:21.296Z,177306470129600
"""なんでやねん @ r1CBe6Qe79"" folds",2026-03-09T13:58:20.269Z,177306470026900
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-03-09T13:58:19.230Z,177306469923000
"""らねおか @ l218j9GUvI"" calls 60",2026-03-09T13:58:18.163Z,177306469816300
"""takatony @ j_3joKfzS9"" raises to 60",2026-03-09T13:58:15.654Z,177306469565400
"""utos @ g0yui9LXM4"" folds",2026-03-09T13:58:07.459Z,177306468745900
"""Noram @ DZezvMNAJy"" posts a big blind of 20",2026-03-09T13:58:05.521Z,177306468552110
"""なんでやねん @ r1CBe6Qe79"" posts a small blind of 10",2026-03-09T13:58:05.521Z,177306468552109
"Player stacks: #1 ""takatony @ j_3joKfzS9"" (2749) | #3 ""らねおか @ l218j9GUvI"" (2120) | #5 ""ばどえあー @ Ji_JkhdQ8C"" (2000) | #8 ""なんでやねん @ r1CBe6Qe79"" (2167) | #9 ""Noram @ DZezvMNAJy"" (3915) | #10 ""utos @ g0yui9LXM4"" (3210)",2026-03-09T13:58:05.521Z,177306468552102
"-- starting hand #192 (id: jg6caxmbj3g2)  No Limit Texas Hold'em (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2026-03-09T13:58:05.521Z,177306468552101
"The admin updated the player ""ばどえあー @ Ji_JkhdQ8C"" stack from 1990 to 2000.",2026-03-09T13:58:05.521Z,177306468552100
"-- ending hand #191 --",2026-03-09T13:58:02.611Z,177306468261102
"""utos @ g0yui9LXM4"" collected 150 from pot",2026-03-09T13:58:02.611Z,177306468261101
"Uncalled bet of 75 returned to ""utos @ g0yui9LXM4""",2026-03-09T13:58:02.611Z,177306468261100
"""なんでやねん @ r1CBe6Qe79"" folds",2026-03-09T13:58:01.790Z,177306468179000
"""utos @ g0yui9LXM4"" bets 75",2026-03-09T13:57:42.947Z,177306466294700
"""なんでやねん @ r1CBe6Qe79"" checks",2026-03-09T13:57:31.600Z,177306465160000
"Turn: K♦, 6♠, 6♣ [3♣]",2026-03-09T13:57:30.478Z,177306465047800
"""なんでやねん @ r1CBe6Qe79"" calls 30",2026-03-09T13:57:29.618Z,177306464961800
"""utos @ g0yui9LXM4"" bets 30",2026-03-09T13:57:21.743Z,177306464174300
"""なんでやねん @ r1CBe6Qe79"" checks",2026-03-09T13:57:15.820Z,177306463582000
"Flop:  [K♦, 6♠, 6♣]",2026-03-09T13:57:14.364Z,177306463436400
"""なんでやねん @ r1CBe6Qe79"" calls 40",2026-03-09T13:57:13.495Z,177306463349500
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-03-09T13:57:11.966Z,177306463196600
"""らねおか @ l218j9GUvI"" folds",2026-03-09T13:57:10.948Z,177306463094800
"""takatony @ j_3joKfzS9"" folds",2026-03-09T13:57:04.953Z,177306462495300
"""utos @ g0yui9LXM4"" raises to 40",2026-03-09T13:57:03.831Z,177306462383100
"WARNING: the admin queued the stack change for the player ""ばどえあー @ Ji_JkhdQ8C"" reseting to 2000 chips in the next hand.",2026-03-09T13:56:58.002Z,177306461800200
"""Noram @ DZezvMNAJy"" folds",2026-03-09T13:56:57.989Z,177306461798900
"""なんでやねん @ r1CBe6Qe79"" posts a big blind of 20",2026-03-09T13:56:56.603Z,177306461660310
"""ばどえあー @ Ji_JkhdQ8C"" posts a small blind of 10",2026-03-09T13:56:56.603Z,177306461660309
"Player stacks: #1 ""takatony @ j_3joKfzS9"" (2749) | #3 ""らねおか @ l218j9GUvI"" (2120) | #5 ""ばどえあー @ Ji_JkhdQ8C"" (2000) | #8 ""なんでやねん @ r1CBe6Qe79"" (2237) | #9 ""Noram @ DZezvMNAJy"" (3915) | #10 ""utos @ g0yui9LXM4"" (3130)",2026-03-09T13:56:56.603Z,177306461660302
"-- starting hand #191 (id: dgvjkmempmw7)  No Limit Texas Hold'em (dealer: ""らねおか @ l218j9GUvI"") --",2026-03-09T13:56:56.603Z,177306461660301
"The admin updated the player ""ばどえあー @ Ji_JkhdQ8C"" stack from 1773 to 2000.",2026-03-09T13:56:56.603Z,177306461660300
"-- ending hand #190 --",2026-03-09T13:56:53.650Z,177306461365002
"""utos @ g0yui9LXM4"" collected 464 from pot",2026-03-09T13:56:53.650Z,177306461365001
"Uncalled bet of 370 returned to ""utos @ g0yui9LXM4""",2026-03-09T13:56:53.650Z,177306461365000
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-03-09T13:56:52.841Z,177306461284100
"""utos @ g0yui9LXM4"" bets 370",2026-03-09T13:56:29.054Z,177306458905400
"""ばどえあー @ Ji_JkhdQ8C"" checks",2026-03-09T13:55:09.219Z,177306450921900
"River: 4♠, Q♠, Q♣, 7♦ [10♣]",2026-03-09T13:54:55.791Z,177306449579100
