player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"siruneko",m6qcHTxJhX,2026-03-09T13:27:51.127Z,,2000,,2468,468
"Kay",5v7PwEvIAz,2026-03-09T13:19:27.346Z,2026-03-09T14:00:33.841Z,2249,2596,0,347
"siruneko",m6qcHTxJhX,2026-03-09T13:07:14.710Z,2026-03-09T13:23:03.193Z,2114,2240,0,126
"Rabbit900",yEOnuJcBZo,2026-03-09T11:26:24.077Z,2026-03-09T14:00:20.170Z,3313,3318,0,5
"siruneko",m6qcHTxJhX,2026-03-09T11:18:40.512Z,2026-03-09T12:56:52.364Z,2000,2000,0,0
"常盤木いつき",0QyEE5Hc9o,2026-03-09T11:18:40.509Z,2026-03-09T12:46:30.714Z,4261,2720,0,-1541
"わた",kgEmed-EEr,2026-03-09T11:17:59.044Z,2026-03-09T13:40:22.820Z,6112,2230,0,-3882
"Hinano",WeOKnoOueQ,2026-03-09T11:16:39.596Z,,4520,1286,2784,-450
"SHINJI1223",LHwO8ZCjMj,2026-03-09T11:16:39.594Z,,2500,4215,3162,4877
"ノガード",GgfRhPuspx,2026-03-09T11:16:39.598Z,2026-03-09T11:20:46.760Z,2500,2550,0,50
