player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"sigma",yHZrsG6l5j,2026-03-09T13:40:18.013Z,,2368,0,2000,-368
"Neku",HZmCRZd6SG,2026-03-09T12:54:08.659Z,,2080,,2717,637
"RYOTA",vrcil_Rw-o,2026-03-09T12:06:36.710Z,2026-03-09T13:35:17.585Z,2677,2700,0,23
"engawa",cCFXQyltQ-,2026-03-09T11:42:48.009Z,2026-03-09T13:50:42.840Z,4320,4730,0,410
"するたん",vVo9VdBVBm,2026-03-09T11:28:27.868Z,2026-03-09T12:24:07.404Z,2216,2090,0,-126
"RYOTA",vrcil_Rw-o,2026-03-09T11:24:30.405Z,2026-03-09T12:03:24.973Z,2450,70,0,-2380
"Mazzo",VXlXQYiJUo,2026-03-09T11:24:30.403Z,2026-03-09T12:24:07.401Z,3010,3128,0,118
"takatony",j_3joKfzS9,2026-03-09T11:21:25.767Z,2026-03-09T14:01:58.569Z,3354,2000,0,-1354
"ノガード",GgfRhPuspx,2026-03-09T11:21:25.765Z,2026-03-09T11:28:12.135Z,2500,2710,0,210
"Ramune",soKGYfNQsD,2026-03-09T11:21:25.770Z,,3498,3288,3040,2830
