entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""Ramune @ soKGYfNQsD"".",2026-03-09T14:04:25.346Z,177306506534600
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 2000.",2026-03-09T14:01:58.567Z,177306491856700
"The admin updated the player ""sigma @ yHZrsG6l5j"" stack from 1900 to 2000.",2026-03-09T14:01:09.712Z,177306486971200
"-- ending hand #167 --",2026-03-09T14:01:06.710Z,177306486671002
"""Neku @ HZmCRZd6SG"" collected 200 from pot",2026-03-09T14:01:06.710Z,177306486671001
"Uncalled bet of 150 returned to ""Neku @ HZmCRZd6SG""",2026-03-09T14:01:06.710Z,177306486671000
"""sigma @ yHZrsG6l5j"" folds",2026-03-09T14:01:05.845Z,177306486584500
"""Neku @ HZmCRZd6SG"" bets 150",2026-03-09T14:00:53.666Z,177306485366600
"""sigma @ yHZrsG6l5j"" checks",2026-03-09T14:00:30.298Z,177306483029800
"River: 7♠, A♣, 9♥, 9♠ [K♠]",2026-03-09T14:00:09.723Z,177306480972300
"""sigma @ yHZrsG6l5j"" calls 40",2026-03-09T14:00:08.889Z,177306480888900
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:07.621Z,177306480762100
"""Neku @ HZmCRZd6SG"" bets 40",2026-03-09T14:00:01.982Z,177306480198200
"""sigma @ yHZrsG6l5j"" checks",2026-03-09T13:59:49.411Z,177306478941100
"Turn: 7♠, A♣, 9♥ [9♠]",2026-03-09T13:59:35.326Z,177306477532600
"""Neku @ HZmCRZd6SG"" checks",2026-03-09T13:59:34.500Z,177306477450000
"""sigma @ yHZrsG6l5j"" checks",2026-03-09T13:59:27.951Z,177306476795100
"Flop:  [7♠, A♣, 9♥]",2026-03-09T13:59:18.374Z,177306475837400
"""Neku @ HZmCRZd6SG"" calls 60",2026-03-09T13:59:17.514Z,177306475751400
"""sigma @ yHZrsG6l5j"" raises to 60",2026-03-09T13:59:13.243Z,177306475324300
"""Ramune @ soKGYfNQsD"" folds",2026-03-09T13:59:10.421Z,177306475042100
"WARNING: the admin queued the stack change for the player ""sigma @ yHZrsG6l5j"" reseting to 2000 chips in the next hand.",2026-03-09T13:59:10.024Z,177306475002400
"""takatony @ j_3joKfzS9"" folds",2026-03-09T13:59:08.644Z,177306474864400
"""Neku @ HZmCRZd6SG"" posts a big blind of 20",2026-03-09T13:59:06.308Z,177306474630809
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2026-03-09T13:59:06.308Z,177306474630808
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (2000) | #5 ""Neku @ HZmCRZd6SG"" (2617) | #7 ""takatony @ j_3joKfzS9"" (2000) | #8 ""Ramune @ soKGYfNQsD"" (3040)",2026-03-09T13:59:06.308Z,177306474630803
"-- starting hand #167 (id: dida6nc6fw9h)  No Limit Texas Hold'em (dealer: ""Ramune @ soKGYfNQsD"") --",2026-03-09T13:59:06.308Z,177306474630802
"The admin updated the player ""takatony @ j_3joKfzS9"" stack from 1770 to 2000.",2026-03-09T13:59:06.308Z,177306474630801
"The admin updated the player ""sigma @ yHZrsG6l5j"" stack from 1980 to 2000.",2026-03-09T13:59:06.308Z,177306474630800
"-- ending hand #166 --",2026-03-09T13:59:03.384Z,177306474338402
"""Neku @ HZmCRZd6SG"" collected 50 from pot",2026-03-09T13:59:03.384Z,177306474338401
