player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"alfort",TkMT4agdsh,2026-03-09T12:37:24.886Z,2026-03-09T14:00:58.696Z,2520,4085,0,1565
"utos",g0yui9LXM4,2026-03-09T12:27:24.278Z,2026-03-09T13:56:38.850Z,3000,5108,0,2108
"roi",5WrLc1IxEE,2026-03-09T12:02:13.961Z,2026-03-09T14:01:16.187Z,4967,5317,0,350
"翔斗",4_RBXVU9-k,2026-03-09T11:55:34.914Z,,4279,40,2000,-2239
"Ramune",soKGYfNQsD,2026-03-09T11:54:02.361Z,,2560,292,2343,75
"engawa",cCFXQyltQ-,2026-03-09T11:48:08.761Z,2026-03-09T13:45:19.795Z,4163,4316,0,153
"utos",g0yui9LXM4,2026-03-09T11:48:08.757Z,2026-03-09T12:26:59.442Z,3000,3545,0,545
"alfort",TkMT4agdsh,2026-03-09T11:48:08.764Z,2026-03-09T12:36:33.832Z,2557,0,0,-2557
"ノガード",GgfRhPuspx,2026-03-09T11:48:08.768Z,2026-03-09T11:50:35.625Z,2500,2500,0,0
"ノガード",GgfRhPuspx,,2026-03-09T11:32:32.460Z,2500,2500,0,0
