entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""Ramune @ soKGYfNQsD"".",2026-03-09T14:04:51.079Z,177306509107900
"The player ""roi @ 5WrLc1IxEE"" quits the game with a stack of 2110.",2026-03-09T14:01:16.183Z,177306487618300
"The player ""alfort @ TkMT4agdsh"" quits the game with a stack of 3815.",2026-03-09T14:00:58.692Z,177306485869200
"The player ""翔斗 @ 4_RBXVU9-k"" stand up with the stack of 2000.",2026-03-09T14:00:57.437Z,177306485743701
"The admin updated the player ""翔斗 @ 4_RBXVU9-k"" stack from 1900 to 2000.",2026-03-09T14:00:57.437Z,177306485743700
"-- ending hand #111 --",2026-03-09T14:00:54.504Z,177306485450402
"""alfort @ TkMT4agdsh"" collected 130 from pot",2026-03-09T14:00:54.504Z,177306485450401
"Uncalled bet of 65 returned to ""alfort @ TkMT4agdsh""",2026-03-09T14:00:54.504Z,177306485450400
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T14:00:53.648Z,177306485364800
"""alfort @ TkMT4agdsh"" bets 65",2026-03-09T14:00:45.684Z,177306484568400
"""翔斗 @ 4_RBXVU9-k"" checks",2026-03-09T14:00:35.211Z,177306483521100
"Flop:  [4♥, 9♣, 8♣]",2026-03-09T14:00:31.893Z,177306483189300
"""Ramune @ soKGYfNQsD"" folds",2026-03-09T14:00:31.086Z,177306483108600
"""roi @ 5WrLc1IxEE"" folds",2026-03-09T14:00:29.995Z,177306482999500
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:21.870Z,177306482187000
"""alfort @ TkMT4agdsh"" calls 50",2026-03-09T14:00:09.009Z,177306480900900
"""翔斗 @ 4_RBXVU9-k"" raises to 50",2026-03-09T14:00:06.386Z,177306480638600
"WARNING: the admin queued the stack change for the player ""翔斗 @ 4_RBXVU9-k"" reseting to 2000 chips in the next hand.",2026-03-09T13:59:57.574Z,177306479757400
"""Ramune @ soKGYfNQsD"" posts a big blind of 20",2026-03-09T13:59:55.143Z,177306479514307
"""roi @ 5WrLc1IxEE"" posts a small blind of 10",2026-03-09T13:59:55.143Z,177306479514306
"Player stacks: #3 ""Ramune @ soKGYfNQsD"" (2363) | #4 ""翔斗 @ 4_RBXVU9-k"" (1950) | #5 ""alfort @ TkMT4agdsh"" (3735) | #6 ""roi @ 5WrLc1IxEE"" (2120)",2026-03-09T13:59:55.143Z,177306479514301
"-- starting hand #111 (id: ca04n9o5sl4q)  No Limit Texas Hold'em (dealer: ""alfort @ TkMT4agdsh"") --",2026-03-09T13:59:55.143Z,177306479514300
"-- ending hand #110 --",2026-03-09T13:59:52.221Z,177306479222102
"""alfort @ TkMT4agdsh"" collected 120 from pot",2026-03-09T13:59:52.221Z,177306479222101
"Uncalled bet of 200 returned to ""alfort @ TkMT4agdsh""",2026-03-09T13:59:52.221Z,177306479222100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-09T13:59:51.394Z,177306479139400
