entry,at,order
"The player ""Guest @ acTaYYRnN7"" passed the room ownership to ""mo' @ HvUX-t1f2L"".",2026-03-09T14:07:27.816Z,177306524781600
"The player ""カイン @ SWAxv0e77m"" quits the game with a stack of 2000.",2026-03-09T14:00:38.456Z,177306483845600
"The admin ""Guest @ acTaYYRnN7"" enqueued the game stop on next hand.",2026-03-09T14:00:23.905Z,177306482390500
"-- ending hand #209 --",2026-03-09T14:00:22.522Z,177306482252202
"""NABO @ Wak6kXNI-F"" collected 20 from pot",2026-03-09T14:00:22.522Z,177306482252201
"Uncalled bet of 10 returned to ""NABO @ Wak6kXNI-F""",2026-03-09T14:00:22.522Z,177306482252200
"""TNT @ DXrWVNkdav"" folds",2026-03-09T14:00:21.709Z,177306482170900
"""mo' @ HvUX-t1f2L"" folds",2026-03-09T14:00:20.444Z,177306482044400
"""カイン @ SWAxv0e77m"" folds",2026-03-09T14:00:19.424Z,177306481942400
"""NABO @ Wak6kXNI-F"" posts a big blind of 20",2026-03-09T14:00:17.853Z,177306481785308
"""TNT @ DXrWVNkdav"" posts a small blind of 10",2026-03-09T14:00:17.853Z,177306481785307
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (2000) | #3 ""mo' @ HvUX-t1f2L"" (2078) | #5 ""TNT @ DXrWVNkdav"" (3559) | #8 ""NABO @ Wak6kXNI-F"" (2465)",2026-03-09T14:00:17.853Z,177306481785302
"-- starting hand #209 (id: fb1m1stxfmiu)  No Limit Texas Hold'em (dealer: ""mo' @ HvUX-t1f2L"") --",2026-03-09T14:00:17.853Z,177306481785301
"The admin updated the player ""カイン @ SWAxv0e77m"" stack from 1970 to 2000.",2026-03-09T14:00:17.853Z,177306481785300
"""カイン @ SWAxv0e77m"" shows a 9♦, Q♦.",2026-03-09T14:00:16.049Z,177306481604900
"-- ending hand #208 --",2026-03-09T14:00:14.174Z,177306481417402
"""カイン @ SWAxv0e77m"" collected 50 from pot",2026-03-09T14:00:14.174Z,177306481417401
"Uncalled bet of 20 returned to ""カイン @ SWAxv0e77m""",2026-03-09T14:00:14.174Z,177306481417400
"""TNT @ DXrWVNkdav"" folds",2026-03-09T14:00:13.371Z,177306481337100
"""mo' @ HvUX-t1f2L"" folds",2026-03-09T14:00:12.278Z,177306481227800
"""カイン @ SWAxv0e77m"" raises to 40",2026-03-09T14:00:11.272Z,177306481127200
"WARNING: the admin queued the stack change for the player ""カイン @ SWAxv0e77m"" reseting to 2000 chips in the next hand.",2026-03-09T14:00:09.047Z,177306480904700
"""NABO @ Wak6kXNI-F"" folds",2026-03-09T14:00:07.365Z,177306480736500
"""TNT @ DXrWVNkdav"" posts a big blind of 20",2026-03-09T14:00:05.424Z,177306480542407
"""mo' @ HvUX-t1f2L"" posts a small blind of 10",2026-03-09T14:00:05.424Z,177306480542406
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (1940) | #3 ""mo' @ HvUX-t1f2L"" (2088) | #5 ""TNT @ DXrWVNkdav"" (3579) | #8 ""NABO @ Wak6kXNI-F"" (2465)",2026-03-09T14:00:05.424Z,177306480542401
"-- starting hand #208 (id: vhrvzc1rosjo)  No Limit Texas Hold'em (dealer: ""カイン @ SWAxv0e77m"") --",2026-03-09T14:00:05.424Z,177306480542400
"-- ending hand #207 --",2026-03-09T14:00:02.443Z,177306480244302
"""TNT @ DXrWVNkdav"" collected 140 from pot",2026-03-09T14:00:02.443Z,177306480244301
"Uncalled bet of 60 returned to ""TNT @ DXrWVNkdav""",2026-03-09T14:00:02.443Z,177306480244300
"""カイン @ SWAxv0e77m"" folds",2026-03-09T14:00:01.579Z,177306480157900
"""TNT @ DXrWVNkdav"" bets 60",2026-03-09T13:59:57.029Z,177306479702900
"""カイン @ SWAxv0e77m"" checks",2026-03-09T13:59:53.819Z,177306479381900
"Flop:  [5♦, K♦, K♥]",2026-03-09T13:59:51.340Z,177306479134000
"""mo' @ HvUX-t1f2L"" folds",2026-03-09T13:59:50.531Z,177306479053100
"""カイン @ SWAxv0e77m"" calls 60",2026-03-09T13:59:49.530Z,177306478953000
"""NABO @ Wak6kXNI-F"" folds",2026-03-09T13:59:47.341Z,177306478734100
"""TNT @ DXrWVNkdav"" raises to 60",2026-03-09T13:59:45.869Z,177306478586900
"""mo' @ HvUX-t1f2L"" posts a big blind of 20",2026-03-09T13:59:39.334Z,177306477933408
"""カイン @ SWAxv0e77m"" posts a small blind of 10",2026-03-09T13:59:39.334Z,177306477933407
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (2000) | #3 ""mo' @ HvUX-t1f2L"" (2108) | #5 ""TNT @ DXrWVNkdav"" (3499) | #8 ""NABO @ Wak6kXNI-F"" (2465)",2026-03-09T13:59:39.334Z,177306477933402
"-- starting hand #207 (id: pdqatq0d5jpl)  No Limit Texas Hold'em (dealer: ""NABO @ Wak6kXNI-F"") --",2026-03-09T13:59:39.334Z,177306477933401
"The admin updated the player ""カイン @ SWAxv0e77m"" stack from 2010 to 2000.",2026-03-09T13:59:39.334Z,177306477933400
"-- ending hand #206 --",2026-03-09T13:59:36.411Z,177306477641102
"""カイン @ SWAxv0e77m"" collected 20 from pot",2026-03-09T13:59:36.411Z,177306477641101
"Uncalled bet of 10 returned to ""カイン @ SWAxv0e77m""",2026-03-09T13:59:36.411Z,177306477641100
"""NABO @ Wak6kXNI-F"" folds",2026-03-09T13:59:35.607Z,177306477560700
"""TNT @ DXrWVNkdav"" folds",2026-03-09T13:59:34.525Z,177306477452500
"WARNING: the admin queued the stack change for the player ""カイン @ SWAxv0e77m"" reseting to 2000 chips in the next hand.",2026-03-09T13:59:34.477Z,177306477447700
"""mo' @ HvUX-t1f2L"" folds",2026-03-09T13:59:33.295Z,177306477329500
"""カイン @ SWAxv0e77m"" posts a big blind of 20",2026-03-09T13:59:31.464Z,177306477146407
"""NABO @ Wak6kXNI-F"" posts a small blind of 10",2026-03-09T13:59:31.464Z,177306477146406
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (2000) | #3 ""mo' @ HvUX-t1f2L"" (2108) | #5 ""TNT @ DXrWVNkdav"" (3499) | #8 ""NABO @ Wak6kXNI-F"" (2475)",2026-03-09T13:59:31.464Z,177306477146401
"-- starting hand #206 (id: kbih81pi4prw)  No Limit Texas Hold'em (dealer: ""TNT @ DXrWVNkdav"") --",2026-03-09T13:59:31.464Z,177306477146400
"-- ending hand #205 --",2026-03-09T13:59:28.512Z,177306476851202
"""NABO @ Wak6kXNI-F"" collected 120 from pot",2026-03-09T13:59:28.512Z,177306476851201
"Uncalled bet of 140 returned to ""NABO @ Wak6kXNI-F""",2026-03-09T13:59:28.512Z,177306476851200
"""TNT @ DXrWVNkdav"" folds",2026-03-09T13:59:27.670Z,177306476767000
"""NABO @ Wak6kXNI-F"" raises to 200",2026-03-09T13:59:23.982Z,177306476398200
"""TNT @ DXrWVNkdav"" raises to 60",2026-03-09T13:59:12.715Z,177306475271500
"""mo' @ HvUX-t1f2L"" folds",2026-03-09T13:59:02.898Z,177306474289800
"""カイン @ SWAxv0e77m"" folds",2026-03-09T13:59:01.835Z,177306474183500
"""NABO @ Wak6kXNI-F"" posts a big blind of 20",2026-03-09T13:58:59.484Z,177306473948408
"""TNT @ DXrWVNkdav"" posts a small blind of 10",2026-03-09T13:58:59.484Z,177306473948407
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (2000) | #3 ""mo' @ HvUX-t1f2L"" (2108) | #5 ""TNT @ DXrWVNkdav"" (3559) | #8 ""NABO @ Wak6kXNI-F"" (2415)",2026-03-09T13:58:59.484Z,177306473948402
"-- starting hand #205 (id: qhuvyyuikmur)  No Limit Texas Hold'em (dealer: ""mo' @ HvUX-t1f2L"") --",2026-03-09T13:58:59.484Z,177306473948401
"The admin updated the player ""カイン @ SWAxv0e77m"" stack from 1950 to 2000.",2026-03-09T13:58:59.484Z,177306473948400
"-- ending hand #204 --",2026-03-09T13:58:56.559Z,177306473655902
"""NABO @ Wak6kXNI-F"" collected 110 from pot",2026-03-09T13:58:56.559Z,177306473655901
"Uncalled bet of 82 returned to ""NABO @ Wak6kXNI-F""",2026-03-09T13:58:56.559Z,177306473655900
"""TNT @ DXrWVNkdav"" folds",2026-03-09T13:58:55.752Z,177306473575200
"""NABO @ Wak6kXNI-F"" bets 82",2026-03-09T13:58:52.524Z,177306473252400
"""TNT @ DXrWVNkdav"" checks",2026-03-09T13:58:44.953Z,177306472495300
"Flop:  [9♠, 10♦, 4♠]",2026-03-09T13:58:41.715Z,177306472171500
"""TNT @ DXrWVNkdav"" calls 50",2026-03-09T13:58:40.873Z,177306472087300
"""mo' @ HvUX-t1f2L"" folds",2026-03-09T13:58:38.107Z,177306471810700
"""カイン @ SWAxv0e77m"" folds",2026-03-09T13:58:27.824Z,177306470782400
"""NABO @ Wak6kXNI-F"" raises to 50",2026-03-09T13:58:23.755Z,177306470375500
"WARNING: the admin queued the stack change for the player ""カイン @ SWAxv0e77m"" reseting to 2000 chips in the next hand.",2026-03-09T13:58:21.759Z,177306470175900
"""TNT @ DXrWVNkdav"" posts a big blind of 20",2026-03-09T13:58:20.306Z,177306470030607
"""mo' @ HvUX-t1f2L"" posts a small blind of 10",2026-03-09T13:58:20.306Z,177306470030606
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (1950) | #3 ""mo' @ HvUX-t1f2L"" (2118) | #5 ""TNT @ DXrWVNkdav"" (3609) | #8 ""NABO @ Wak6kXNI-F"" (2355)",2026-03-09T13:58:20.306Z,177306470030601
"-- starting hand #204 (id: iv3usmluc6z7)  No Limit Texas Hold'em (dealer: ""カイン @ SWAxv0e77m"") --",2026-03-09T13:58:20.306Z,177306470030600
"""カイン @ SWAxv0e77m"" shows a K♣, 4♣.",2026-03-09T13:58:18.558Z,177306469855800
"-- ending hand #203 --",2026-03-09T13:58:16.659Z,177306469665902
"""mo' @ HvUX-t1f2L"" collected 120 from pot",2026-03-09T13:58:16.659Z,177306469665901
"Uncalled bet of 140 returned to ""mo' @ HvUX-t1f2L""",2026-03-09T13:58:16.659Z,177306469665900
"""カイン @ SWAxv0e77m"" folds",2026-03-09T13:58:15.831Z,177306469583100
"""mo' @ HvUX-t1f2L"" raises to 200",2026-03-09T13:58:11.698Z,177306469169800
"""カイン @ SWAxv0e77m"" raises to 60",2026-03-09T13:58:06.974Z,177306468697400
"""NABO @ Wak6kXNI-F"" folds",2026-03-09T13:57:59.883Z,177306467988300
"""TNT @ DXrWVNkdav"" folds",2026-03-09T13:57:58.850Z,177306467885000
"""mo' @ HvUX-t1f2L"" posts a big blind of 20",2026-03-09T13:57:45.736Z,177306466573607
"""カイン @ SWAxv0e77m"" posts a small blind of 10",2026-03-09T13:57:45.736Z,177306466573606
"Player stacks: #1 ""カイン @ SWAxv0e77m"" (2010) | #3 ""mo' @ HvUX-t1f2L"" (2058) | #5 ""TNT @ DXrWVNkdav"" (3609) | #8 ""NABO @ Wak6kXNI-F"" (2355)",2026-03-09T13:57:45.736Z,177306466573601
"-- starting hand #203 (id: ie5jhmnf8coy)  No Limit Texas Hold'em (dealer: ""NABO @ Wak6kXNI-F"") --",2026-03-09T13:57:45.736Z,177306466573600
"-- ending hand #202 --",2026-03-09T13:57:42.817Z,177306466281702
"""NABO @ Wak6kXNI-F"" collected 40 from pot",2026-03-09T13:57:42.817Z,177306466281701
"Uncalled bet of 40 returned to ""NABO @ Wak6kXNI-F""",2026-03-09T13:57:42.817Z,177306466281700
"""カイン @ SWAxv0e77m"" folds",2026-03-09T13:57:41.989Z,177306466198900
"""NABO @ Wak6kXNI-F"" raises to 60",2026-03-09T13:57:32.471Z,177306465247100
"""TNT @ DXrWVNkdav"" folds",2026-03-09T13:57:27.989Z,177306464798900
