player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"siruneko",m6qcHTxJhX,2026-03-16T13:31:27.956Z,2026-03-16T14:02:37.351Z,2000,2764,0,764
"siruneko",m6qcHTxJhX,2026-03-16T13:03:39.939Z,2026-03-16T13:24:38.443Z,2000,2325,0,325
"翔斗",4_RBXVU9-k,2026-03-16T12:51:18.140Z,,3000,,2387,-613
"takatony",j_3joKfzS9,2026-03-16T11:33:48.775Z,2026-03-16T14:00:31.738Z,3050,5340,0,2290
"Hinano",WeOKnoOueQ,2026-03-16T11:07:52.575Z,2026-03-16T13:52:50.089Z,3000,3786,0,786
"shunta",O1ujh7Dkxd,2026-03-16T11:04:29.512Z,2026-03-16T14:00:42.238Z,2010,2453,0,443
"いっせ",EI0h9NvLRP,2026-03-16T11:00:08.919Z,2026-03-16T12:59:59.556Z,3857,3070,0,-787
"arash!",PB93yGRdRr,2026-03-16T10:52:13.125Z,2026-03-16T11:23:51.630Z,3000,3435,0,435
"Miki",-qEZ1CRvSu,2026-03-16T10:52:13.128Z,2026-03-16T12:20:57.774Z,4385,2500,0,-1885
"SetsunaTrip",O2b7zy1-XM,2026-03-16T10:52:13.130Z,2026-03-16T14:00:46.088Z,6368,4610,0,-1758
"ノガード",GgfRhPuspx,,2026-03-16T10:48:51.818Z,2000,2000,0,0
