entry,at,order
"The player ""Guest @ -IDYCYhj2z"" passed the room ownership to ""翔斗 @ 4_RBXVU9-k"".",2026-03-16T14:05:11.529Z,177366991152900
"The player ""siruneko @ m6qcHTxJhX"" quits the game with a stack of 2764.",2026-03-16T14:02:37.347Z,177366975734700
"The player ""SetsunaTrip @ O2b7zy1-XM"" quits the game with a stack of 2390.",2026-03-16T14:00:46.084Z,177366964608400
"The player ""shunta @ O1ujh7Dkxd"" quits the game with a stack of 2313.",2026-03-16T14:00:42.234Z,177366964223400
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3250.",2026-03-16T14:00:31.734Z,177366963173400
"-- ending hand #219 --",2026-03-16T14:00:28.821Z,177366962882102
"""siruneko @ m6qcHTxJhX"" collected 40 from pot",2026-03-16T14:00:28.821Z,177366962882101
"Uncalled bet of 40 returned to ""siruneko @ m6qcHTxJhX""",2026-03-16T14:00:28.821Z,177366962882100
"""shunta @ O1ujh7Dkxd"" folds",2026-03-16T14:00:28.016Z,177366962801600
"""siruneko @ m6qcHTxJhX"" raises to 60",2026-03-16T14:00:24.473Z,177366962447300
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-16T14:00:17.384Z,177366961738400
"""takatony @ j_3joKfzS9"" folds",2026-03-16T14:00:12.860Z,177366961286000
"""SetsunaTrip @ O2b7zy1-XM"" folds",2026-03-16T14:00:09.115Z,177366960911500
"The admin ""Guest @ -IDYCYhj2z"" enqueued the game stop on next hand.",2026-03-16T14:00:07.265Z,177366960726500
"""shunta @ O1ujh7Dkxd"" posts a big blind of 20",2026-03-16T14:00:06.733Z,177366960673308
"""siruneko @ m6qcHTxJhX"" posts a small blind of 10",2026-03-16T14:00:06.733Z,177366960673307
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (2387) | #3 ""siruneko @ m6qcHTxJhX"" (2744) | #6 ""shunta @ O1ujh7Dkxd"" (2333) | #7 ""SetsunaTrip @ O2b7zy1-XM"" (2390) | #8 ""takatony @ j_3joKfzS9"" (3250)",2026-03-16T14:00:06.733Z,177366960673301
"-- starting hand #219 (id: a0l8uoxze12m)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-03-16T14:00:06.733Z,177366960673300
"-- ending hand #218 --",2026-03-16T14:00:03.814Z,177366960381402
"""shunta @ O1ujh7Dkxd"" collected 50 from pot",2026-03-16T14:00:03.814Z,177366960381401
"Uncalled bet of 25 returned to ""shunta @ O1ujh7Dkxd""",2026-03-16T14:00:03.814Z,177366960381400
"""siruneko @ m6qcHTxJhX"" folds",2026-03-16T14:00:02.970Z,177366960297000
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-16T14:00:01.432Z,177366960143200
"""takatony @ j_3joKfzS9"" folds",2026-03-16T13:59:57.299Z,177366959729900
"""SetsunaTrip @ O2b7zy1-XM"" folds",2026-03-16T13:59:56.255Z,177366959625500
"""shunta @ O1ujh7Dkxd"" raises to 45",2026-03-16T13:59:55.223Z,177366959522300
"""siruneko @ m6qcHTxJhX"" posts a big blind of 20",2026-03-16T13:59:45.653Z,177366958565308
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-03-16T13:59:45.653Z,177366958565307
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (2397) | #3 ""siruneko @ m6qcHTxJhX"" (2764) | #6 ""shunta @ O1ujh7Dkxd"" (2303) | #7 ""SetsunaTrip @ O2b7zy1-XM"" (2390) | #8 ""takatony @ j_3joKfzS9"" (3250)",2026-03-16T13:59:45.653Z,177366958565301
"-- starting hand #218 (id: uwljcsxsgzhb)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-16T13:59:45.653Z,177366958565300
"-- ending hand #217 --",2026-03-16T13:59:42.697Z,177366958269702
"""SetsunaTrip @ O2b7zy1-XM"" collected 50 from pot",2026-03-16T13:59:42.697Z,177366958269701
"Uncalled bet of 30 returned to ""SetsunaTrip @ O2b7zy1-XM""",2026-03-16T13:59:42.697Z,177366958269700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-16T13:59:41.853Z,177366958185300
"""takatony @ j_3joKfzS9"" folds",2026-03-16T13:59:40.824Z,177366958082400
"""SetsunaTrip @ O2b7zy1-XM"" raises to 50",2026-03-16T13:59:36.452Z,177366957645200
"""shunta @ O1ujh7Dkxd"" folds",2026-03-16T13:59:31.478Z,177366957147800
"""siruneko @ m6qcHTxJhX"" folds",2026-03-16T13:59:22.780Z,177366956278000
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-03-16T13:59:20.699Z,177366956069908
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-16T13:59:20.699Z,177366956069907
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (2417) | #3 ""siruneko @ m6qcHTxJhX"" (2764) | #6 ""shunta @ O1ujh7Dkxd"" (2303) | #7 ""SetsunaTrip @ O2b7zy1-XM"" (2360) | #8 ""takatony @ j_3joKfzS9"" (3260)",2026-03-16T13:59:20.699Z,177366956069901
"-- starting hand #217 (id: dntskyegjyj5)  No Limit Texas Hold'em (dealer: ""SetsunaTrip @ O2b7zy1-XM"") --",2026-03-16T13:59:20.699Z,177366956069900
"-- ending hand #216 --",2026-03-16T13:59:14.695Z,177366955469504
"""shunta @ O1ujh7Dkxd"" collected 2303 from pot with Two Pair, A's & K's (combination: Q♠, K♥, K♠, A♠, A♦)",2026-03-16T13:59:14.695Z,177366955469503
"""siruneko @ m6qcHTxJhX"" collected 2303 from pot with Two Pair, A's & K's (combination: Q♠, K♦, K♠, A♣, A♦)",2026-03-16T13:59:14.695Z,177366955469502
