player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Futa",kVKTrcl3ld,2026-03-16T13:20:39.336Z,,2565,,2285,-280
"ゆっきーな",uNHIhLxU5W,2026-03-16T13:03:53.203Z,2026-03-16T13:17:45.320Z,2320,1990,0,-330
"shunsuke11",CmPBhvSXqk,2026-03-16T12:18:40.327Z,2026-03-16T13:57:48.545Z,2279,5429,0,3150
"shunta",O1ujh7Dkxd,2026-03-16T11:27:47.554Z,2026-03-16T14:00:45.404Z,2000,2877,0,877
"ゴン02（江戸犬）",AblUkPGGlZ,2026-03-16T11:17:50.514Z,,3401,335,2288,-778
"shunta",O1ujh7Dkxd,2026-03-16T11:13:13.125Z,2026-03-16T11:26:56.753Z,2060,25,0,-2035
"Miki",-qEZ1CRvSu,2026-03-16T11:11:03.397Z,,3000,1067,3417,1484
"常盤木いつき",0QyEE5Hc9o,2026-03-16T11:11:03.394Z,2026-03-16T11:52:01.671Z,3256,2000,0,-1256
"ゆっきーな",uNHIhLxU5W,2026-03-16T11:08:42.967Z,2026-03-16T13:02:06.177Z,2040,1050,0,-990
"ゴン02（江戸犬）",AblUkPGGlZ,2026-03-16T11:08:42.963Z,2026-03-16T11:16:45.232Z,2390,0,0,-2390
"Hinano",WeOKnoOueQ,2026-03-16T11:08:42.965Z,2026-03-16T13:57:48.540Z,3000,5548,0,2548
"ノガード",GgfRhPuspx,,2026-03-16T11:07:49.230Z,2000,2000,0,0
