player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"カイン",SWAxv0e77m,2026-03-16T13:41:04.248Z,2026-03-16T14:00:51.813Z,2500,2557,0,57
"Hinano",WeOKnoOueQ,2026-03-16T13:28:34.569Z,2026-03-16T13:54:45.461Z,3835,2000,0,-1835
"Rabbit900",yEOnuJcBZo,2026-03-16T11:29:38.397Z,2026-03-16T13:57:15.920Z,5098,2430,0,-2668
"Noram",yLl7xf3KJQ,2026-03-16T11:23:31.419Z,2026-03-16T14:00:41.511Z,3000,11105,0,8105
"ゆっきーな",uNHIhLxU5W,2026-03-16T11:23:31.417Z,2026-03-16T13:17:53.959Z,3058,2560,0,-498
"Kuni",HIjaJ0Hz7_,2026-03-16T11:22:13.488Z,2026-03-16T14:01:05.781Z,6733,4483,0,-2250
"Hinano",WeOKnoOueQ,2026-03-16T11:22:13.486Z,2026-03-16T13:27:09.982Z,3997,1985,0,-2012
"arash!",PB93yGRdRr,2026-03-16T11:16:15.933Z,2026-03-16T14:00:57.448Z,3000,6151,0,3151
"Rabbit900",yEOnuJcBZo,2026-03-16T11:16:15.931Z,2026-03-16T11:27:22.309Z,2070,44,0,-2026
"ノガード",GgfRhPuspx,2026-03-16T11:16:15.935Z,2026-03-16T11:22:13.483Z,2140,2116,0,-24
