entry,at,order
"The player ""Kuni @ HIjaJ0Hz7_"" quits the game with a stack of 2929.",2026-03-16T14:01:05.779Z,177366966577900
"The player ""arash! @ PB93yGRdRr"" quits the game with a stack of 3286.",2026-03-16T14:00:57.441Z,177366965744100
"The player ""カイン @ SWAxv0e77m"" quits the game with a stack of 2557.",2026-03-16T14:00:51.810Z,177366965181000
"The player ""Noram @ yLl7xf3KJQ"" quits the game with a stack of 2920.",2026-03-16T14:00:41.480Z,177366964148000
"-- ending hand #175 --",2026-03-16T14:00:38.085Z,177366963808502
"""カイン @ SWAxv0e77m"" collected 200 from pot",2026-03-16T14:00:38.085Z,177366963808501
"Uncalled bet of 100 returned to ""カイン @ SWAxv0e77m""",2026-03-16T14:00:38.085Z,177366963808500
"""arash! @ PB93yGRdRr"" folds",2026-03-16T14:00:37.226Z,177366963722600
"""カイン @ SWAxv0e77m"" bets 100",2026-03-16T14:00:34.918Z,177366963491800
"River: 9♥, 4♣, 8♣, 7♦ [2♦]",2026-03-16T14:00:29.621Z,177366962962100
"""arash! @ PB93yGRdRr"" checks",2026-03-16T14:00:28.779Z,177366962877900
"The admin ""Guest @ -IDYCYhj2z"" enqueued the game stop on next hand.",2026-03-16T14:00:26.786Z,177366962678600
"""カイン @ SWAxv0e77m"" checks",2026-03-16T14:00:23.717Z,177366962371700
"Turn: 9♥, 4♣, 8♣ [7♦]",2026-03-16T14:00:21.328Z,177366962132800
"""Kuni @ HIjaJ0Hz7_"" folds",2026-03-16T14:00:20.500Z,177366962050000
"""カイン @ SWAxv0e77m"" calls 40",2026-03-16T14:00:19.517Z,177366961951700
"""arash! @ PB93yGRdRr"" bets 40",2026-03-16T14:00:17.497Z,177366961749700
"""Kuni @ HIjaJ0Hz7_"" checks",2026-03-16T14:00:11.797Z,177366961179700
"""カイン @ SWAxv0e77m"" checks",2026-03-16T14:00:10.277Z,177366961027700
"Flop:  [9♥, 4♣, 8♣]",2026-03-16T14:00:08.262Z,177366960826200
"""Kuni @ HIjaJ0Hz7_"" calls 40",2026-03-16T14:00:07.458Z,177366960745800
"""カイン @ SWAxv0e77m"" calls 40",2026-03-16T14:00:05.302Z,177366960530200
"""Noram @ yLl7xf3KJQ"" folds",2026-03-16T14:00:02.615Z,177366960261500
"""arash! @ PB93yGRdRr"" raises to 40",2026-03-16T14:00:00.533Z,177366960053300
"""Kuni @ HIjaJ0Hz7_"" posts a big blind of 20",2026-03-16T13:59:57.762Z,177366959776207
"""カイン @ SWAxv0e77m"" posts a small blind of 10",2026-03-16T13:59:57.762Z,177366959776206
"Player stacks: #3 ""arash! @ PB93yGRdRr"" (3366) | #7 ""Noram @ yLl7xf3KJQ"" (2920) | #8 ""カイン @ SWAxv0e77m"" (2437) | #9 ""Kuni @ HIjaJ0Hz7_"" (2969)",2026-03-16T13:59:57.762Z,177366959776201
"-- starting hand #175 (id: 8mgdbdtofec1)  No Limit Texas Hold'em (dealer: ""Noram @ yLl7xf3KJQ"") --",2026-03-16T13:59:57.762Z,177366959776200
"-- ending hand #174 --",2026-03-16T13:59:54.858Z,177366959485802
"""Noram @ yLl7xf3KJQ"" collected 40 from pot",2026-03-16T13:59:54.858Z,177366959485801
"Uncalled bet of 40 returned to ""Noram @ yLl7xf3KJQ""",2026-03-16T13:59:54.858Z,177366959485800
"""カイン @ SWAxv0e77m"" folds",2026-03-16T13:59:53.996Z,177366959399600
"""Noram @ yLl7xf3KJQ"" raises to 60",2026-03-16T13:59:50.971Z,177366959097100
"""arash! @ PB93yGRdRr"" folds",2026-03-16T13:59:48.043Z,177366958804300
"""Kuni @ HIjaJ0Hz7_"" folds",2026-03-16T13:59:44.663Z,177366958466300
"""カイン @ SWAxv0e77m"" posts a big blind of 20",2026-03-16T13:59:42.248Z,177366958224807
"""Noram @ yLl7xf3KJQ"" posts a small blind of 10",2026-03-16T13:59:42.248Z,177366958224806
"Player stacks: #3 ""arash! @ PB93yGRdRr"" (3366) | #7 ""Noram @ yLl7xf3KJQ"" (2900) | #8 ""カイン @ SWAxv0e77m"" (2457) | #9 ""Kuni @ HIjaJ0Hz7_"" (2969)",2026-03-16T13:59:42.248Z,177366958224801
"-- starting hand #174 (id: 43kr0ltou5we)  No Limit Texas Hold'em (dealer: ""arash! @ PB93yGRdRr"") --",2026-03-16T13:59:42.248Z,177366958224800
"""Noram @ yLl7xf3KJQ"" shows a Q♦, Q♠.",2026-03-16T13:59:40.122Z,177366958012200
"-- ending hand #173 --",2026-03-16T13:59:38.643Z,177366957864302
"""Noram @ yLl7xf3KJQ"" collected 90 from pot",2026-03-16T13:59:38.643Z,177366957864301
"Uncalled bet of 210 returned to ""Noram @ yLl7xf3KJQ""",2026-03-16T13:59:38.643Z,177366957864300
"""カイン @ SWAxv0e77m"" folds",2026-03-16T13:59:37.797Z,177366957779700
"""Noram @ yLl7xf3KJQ"" raises to 250",2026-03-16T13:59:35.973Z,177366957597300
"""arash! @ PB93yGRdRr"" folds",2026-03-16T13:59:30.242Z,177366957024200
"""Kuni @ HIjaJ0Hz7_"" folds",2026-03-16T13:59:26.212Z,177366956621200
"""カイン @ SWAxv0e77m"" raises to 40",2026-03-16T13:59:25.172Z,177366956517200
"""Noram @ yLl7xf3KJQ"" posts a big blind of 20",2026-03-16T13:59:18.432Z,177366955843207
"""arash! @ PB93yGRdRr"" posts a small blind of 10",2026-03-16T13:59:18.432Z,177366955843206
"Player stacks: #3 ""arash! @ PB93yGRdRr"" (3376) | #7 ""Noram @ yLl7xf3KJQ"" (2850) | #8 ""カイン @ SWAxv0e77m"" (2497) | #9 ""Kuni @ HIjaJ0Hz7_"" (2969)",2026-03-16T13:59:18.432Z,177366955843201
"-- starting hand #173 (id: dlyxyzqmfdq6)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-03-16T13:59:18.432Z,177366955843200
"-- ending hand #172 --",2026-03-16T13:59:15.433Z,177366955543302
"""arash! @ PB93yGRdRr"" collected 20 from pot",2026-03-16T13:59:15.433Z,177366955543301
"Uncalled bet of 10 returned to ""arash! @ PB93yGRdRr""",2026-03-16T13:59:15.433Z,177366955543300
"""Kuni @ HIjaJ0Hz7_"" folds",2026-03-16T13:59:14.575Z,177366955457500
"""カイン @ SWAxv0e77m"" folds",2026-03-16T13:59:12.474Z,177366955247400
"""Noram @ yLl7xf3KJQ"" folds",2026-03-16T13:59:11.489Z,177366955148900
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-03-16T13:59:09.852Z,177366954985207
"""Kuni @ HIjaJ0Hz7_"" posts a small blind of 10",2026-03-16T13:59:09.852Z,177366954985206
"Player stacks: #3 ""arash! @ PB93yGRdRr"" (3366) | #7 ""Noram @ yLl7xf3KJQ"" (2850) | #8 ""カイン @ SWAxv0e77m"" (2497) | #9 ""Kuni @ HIjaJ0Hz7_"" (2979)",2026-03-16T13:59:09.852Z,177366954985201
"-- starting hand #172 (id: aaanlcrhgahd)  No Limit Texas Hold'em (dealer: ""カイン @ SWAxv0e77m"") --",2026-03-16T13:59:09.852Z,177366954985200
"-- ending hand #171 --",2026-03-16T13:59:03.826Z,177366954382602
"""Kuni @ HIjaJ0Hz7_"" collected 100 from pot with Pair, 7's (combination: Q♠, K♠, A♥, 7♦, 7♣)",2026-03-16T13:59:03.826Z,177366954382601
"""Kuni @ HIjaJ0Hz7_"" shows a A♥, 7♦.",2026-03-16T13:59:03.826Z,177366954382600
"""Noram @ yLl7xf3KJQ"" checks",2026-03-16T13:59:02.930Z,177366954293000
"""Kuni @ HIjaJ0Hz7_"" checks",2026-03-16T13:59:01.358Z,177366954135800
"River: 7♣, K♠, J♥, Q♠ [2♥]",2026-03-16T13:59:00.249Z,177366954024900
