entry,at,order
"The player ""Guest @ -IDYCYhj2z"" passed the room ownership to ""TNT @ DXrWVNkdav"".",2026-03-16T14:04:44.457Z,177366988445700
"The player ""とーち @ xV3KBDal40"" quits the game with a stack of 2844.",2026-03-16T14:01:34.423Z,177366969442300
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 2695.",2026-03-16T14:01:20.657Z,177366968065700
"The player ""ぼくだよ @ cLX91bDIBI"" quits the game with a stack of 2910.",2026-03-16T14:01:14.575Z,177366967457500
"The player ""engawa @ cCFXQyltQ-"" quits the game with a stack of 3180.",2026-03-16T14:01:11.572Z,177366967157200
"""ぼくだよ @ cLX91bDIBI"" shows a Q♠, K♣.",2026-03-16T14:01:04.344Z,177366966434400
"-- ending hand #128 --",2026-03-16T14:01:03.276Z,177366966327602
"""takatony @ j_3joKfzS9"" collected 380 from pot",2026-03-16T14:01:03.276Z,177366966327601
"Uncalled bet of 360 returned to ""takatony @ j_3joKfzS9""",2026-03-16T14:01:03.276Z,177366966327600
"""ぼくだよ @ cLX91bDIBI"" folds",2026-03-16T14:01:02.461Z,177366966246100
"""とーち @ xV3KBDal40"" folds",2026-03-16T14:01:01.135Z,177366966113500
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-16T14:01:00.071Z,177366966007100
"""takatony @ j_3joKfzS9"" raises to 520",2026-03-16T14:00:56.778Z,177366965677800
"""ぼくだよ @ cLX91bDIBI"" raises to 160",2026-03-16T14:00:28.276Z,177366962827600
"The admin ""Guest @ -IDYCYhj2z"" enqueued the game stop on next hand.",2026-03-16T14:00:24.126Z,177366962412600
"""engawa @ cCFXQyltQ-"" folds",2026-03-16T14:00:21.228Z,177366962122800
"""とーち @ xV3KBDal40"" raises to 40",2026-03-16T14:00:20.185Z,177366962018500
"""TNT @ DXrWVNkdav"" folds",2026-03-16T14:00:14.164Z,177366961416400
"""Fuku @ 4Yga_zmdmi"" posts a big blind of 20",2026-03-16T13:58:19.153Z,177366949915309
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-16T13:58:19.153Z,177366949915308
"Player stacks: #1 ""TNT @ DXrWVNkdav"" (2940) | #2 ""とーち @ xV3KBDal40"" (2884) | #5 ""engawa @ cCFXQyltQ-"" (3180) | #6 ""ぼくだよ @ cLX91bDIBI"" (3070) | #9 ""takatony @ j_3joKfzS9"" (2475) | #10 ""Fuku @ 4Yga_zmdmi"" (2826)",2026-03-16T13:58:19.153Z,177366949915301
"-- starting hand #128 (id: 4ggai2wufrnr)  No Limit Texas Hold'em (dealer: ""ぼくだよ @ cLX91bDIBI"") --",2026-03-16T13:58:19.153Z,177366949915300
"-- ending hand #127 --",2026-03-16T13:58:13.148Z,177366949314802
"""takatony @ j_3joKfzS9"" collected 170 from pot with Flush, A High (combination: 2♦, 4♦, 6♦, 10♦, A♦)",2026-03-16T13:58:13.148Z,177366949314801
"""takatony @ j_3joKfzS9"" shows a 4♦, 2♦.",2026-03-16T13:58:13.148Z,177366949314800
"""Fuku @ 4Yga_zmdmi"" checks",2026-03-16T13:58:12.312Z,177366949231200
"""takatony @ j_3joKfzS9"" checks",2026-03-16T13:58:09.887Z,177366948988700
"River: 6♦, 10♦, 3♠, A♥ [A♦]",2026-03-16T13:58:03.698Z,177366948369800
"""Fuku @ 4Yga_zmdmi"" checks",2026-03-16T13:58:02.892Z,177366948289200
"""takatony @ j_3joKfzS9"" checks",2026-03-16T13:57:56.976Z,177366947697600
"Turn: 6♦, 10♦, 3♠ [A♥]",2026-03-16T13:57:55.438Z,177366947543800
"""takatony @ j_3joKfzS9"" calls 40",2026-03-16T13:57:54.613Z,177366947461300
"""Fuku @ 4Yga_zmdmi"" bets 40",2026-03-16T13:57:48.770Z,177366946877000
"""takatony @ j_3joKfzS9"" checks",2026-03-16T13:57:42.622Z,177366946262200
"Flop:  [6♦, 10♦, 3♠]",2026-03-16T13:57:40.926Z,177366946092600
"""takatony @ j_3joKfzS9"" calls 40",2026-03-16T13:57:40.079Z,177366946007900
"""ぼくだよ @ cLX91bDIBI"" folds",2026-03-16T13:57:35.754Z,177366945575400
"""engawa @ cCFXQyltQ-"" folds",2026-03-16T13:57:34.823Z,177366945482300
"""とーち @ xV3KBDal40"" folds",2026-03-16T13:57:33.701Z,177366945370100
"""TNT @ DXrWVNkdav"" folds",2026-03-16T13:57:29.243Z,177366944924300
"""Fuku @ 4Yga_zmdmi"" raises to 40",2026-03-16T13:57:28.107Z,177366944810700
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-03-16T13:57:23.234Z,177366944323409
"""ぼくだよ @ cLX91bDIBI"" posts a small blind of 10",2026-03-16T13:57:23.234Z,177366944323408
"Player stacks: #1 ""TNT @ DXrWVNkdav"" (2940) | #2 ""とーち @ xV3KBDal40"" (2884) | #5 ""engawa @ cCFXQyltQ-"" (3180) | #6 ""ぼくだよ @ cLX91bDIBI"" (3080) | #9 ""takatony @ j_3joKfzS9"" (2385) | #10 ""Fuku @ 4Yga_zmdmi"" (2906)",2026-03-16T13:57:23.234Z,177366944323401
"-- starting hand #127 (id: fcg3muxdy4mn)  No Limit Texas Hold'em (dealer: ""engawa @ cCFXQyltQ-"") --",2026-03-16T13:57:23.234Z,177366944323400
"-- ending hand #126 --",2026-03-16T13:57:20.318Z,177366944031802
"""ぼくだよ @ cLX91bDIBI"" collected 145 from pot",2026-03-16T13:57:20.318Z,177366944031801
"Uncalled bet of 265 returned to ""ぼくだよ @ cLX91bDIBI""",2026-03-16T13:57:20.318Z,177366944031800
"""TNT @ DXrWVNkdav"" folds",2026-03-16T13:57:19.513Z,177366943951300
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-16T13:57:18.408Z,177366943840800
"""ぼくだよ @ cLX91bDIBI"" raises to 310",2026-03-16T13:57:14.171Z,177366943417100
"""engawa @ cCFXQyltQ-"" folds",2026-03-16T13:57:03.562Z,177366942356200
"""とーち @ xV3KBDal40"" folds",2026-03-16T13:57:02.425Z,177366942242500
"""TNT @ DXrWVNkdav"" calls 45",2026-03-16T13:57:01.375Z,177366942137500
"""Fuku @ 4Yga_zmdmi"" raises to 45",2026-03-16T13:56:58.366Z,177366941836600
"""takatony @ j_3joKfzS9"" folds",2026-03-16T13:56:53.580Z,177366941358000
"""ぼくだよ @ cLX91bDIBI"" posts a big blind of 20",2026-03-16T13:56:52.273Z,177366941227309
"""engawa @ cCFXQyltQ-"" posts a small blind of 10",2026-03-16T13:56:52.273Z,177366941227308
"Player stacks: #1 ""TNT @ DXrWVNkdav"" (2985) | #2 ""とーち @ xV3KBDal40"" (2884) | #5 ""engawa @ cCFXQyltQ-"" (3190) | #6 ""ぼくだよ @ cLX91bDIBI"" (2980) | #9 ""takatony @ j_3joKfzS9"" (2385) | #10 ""Fuku @ 4Yga_zmdmi"" (2951)",2026-03-16T13:56:52.273Z,177366941227301
"-- starting hand #126 (id: rzejexqa26bd)  No Limit Texas Hold'em (dealer: ""とーち @ xV3KBDal40"") --",2026-03-16T13:56:52.273Z,177366941227300
"-- ending hand #125 --",2026-03-16T13:56:49.272Z,177366940927202
"""Fuku @ 4Yga_zmdmi"" collected 150 from pot",2026-03-16T13:56:49.272Z,177366940927201
"Uncalled bet of 60 returned to ""Fuku @ 4Yga_zmdmi""",2026-03-16T13:56:49.272Z,177366940927200
"""takatony @ j_3joKfzS9"" folds",2026-03-16T13:56:48.441Z,177366940844100
"""Fuku @ 4Yga_zmdmi"" bets 60",2026-03-16T13:56:46.720Z,177366940672000
"""takatony @ j_3joKfzS9"" checks",2026-03-16T13:56:38.424Z,177366939842400
"Flop:  [3♣, 10♦, 2♠]",2026-03-16T13:56:36.155Z,177366939615500
"""engawa @ cCFXQyltQ-"" folds",2026-03-16T13:56:35.346Z,177366939534600
"""とーち @ xV3KBDal40"" folds",2026-03-16T13:56:34.333Z,177366939433300
"""TNT @ DXrWVNkdav"" folds",2026-03-16T13:56:33.336Z,177366939333600
"""Fuku @ 4Yga_zmdmi"" calls 60",2026-03-16T13:54:02.437Z,177366924243700
"""takatony @ j_3joKfzS9"" raises to 60",2026-03-16T13:53:50.812Z,177366923081200
