entry,at,order
"The player ""Guest @ -IDYCYhj2z"" passed the room ownership to ""Miki @ -qEZ1CRvSu"".",2026-03-16T14:39:06.055Z,177367194605500
"-- ending hand #132 --",2026-03-16T14:01:34.053Z,177366969405302
"""Miki @ -qEZ1CRvSu"" collected 780 from pot",2026-03-16T14:01:34.053Z,177366969405301
"Uncalled bet of 545 returned to ""Miki @ -qEZ1CRvSu""",2026-03-16T14:01:34.053Z,177366969405300
"""mo' @ HvUX-t1f2L"" folds",2026-03-16T14:01:33.248Z,177366969324800
"""Miki @ -qEZ1CRvSu"" bets 545",2026-03-16T14:01:32.163Z,177366969216300
"""mo' @ HvUX-t1f2L"" checks",2026-03-16T14:01:01.899Z,177366966189900
"River: 5♣, 5♦, 9♠, 6♠ [A♣]",2026-03-16T14:00:53.319Z,177366965331900
"""Miki @ -qEZ1CRvSu"" calls 240",2026-03-16T14:00:52.479Z,177366965247900
"The admin ""Guest @ -IDYCYhj2z"" enqueued the game stop on next hand.",2026-03-16T14:00:30.249Z,177366963024900
"""mo' @ HvUX-t1f2L"" bets 240",2026-03-16T14:00:25.855Z,177366962585500
"Turn: 5♣, 5♦, 9♠ [6♠]",2026-03-16T14:00:15.524Z,177366961552400
"""Miki @ -qEZ1CRvSu"" calls 100",2026-03-16T14:00:14.707Z,177366961470700
"""mo' @ HvUX-t1f2L"" raises to 100",2026-03-16T14:00:09.389Z,177366960938900
"""Miki @ -qEZ1CRvSu"" bets 33",2026-03-16T14:00:02.642Z,177366960264200
"""mo' @ HvUX-t1f2L"" checks",2026-03-16T13:59:51.962Z,177366959196200
"Flop:  [5♣, 5♦, 9♠]",2026-03-16T13:59:49.300Z,177366958930000
"""mo' @ HvUX-t1f2L"" calls 50",2026-03-16T13:59:48.477Z,177366958847700
"""Miki @ -qEZ1CRvSu"" raises to 50",2026-03-16T13:59:46.392Z,177366958639200
"""mo' @ HvUX-t1f2L"" posts a big blind of 20",2026-03-16T13:59:42.447Z,177366958244705
"""Miki @ -qEZ1CRvSu"" posts a small blind of 10",2026-03-16T13:59:42.447Z,177366958244704
"Player stacks: #3 ""mo' @ HvUX-t1f2L"" (3012) | #8 ""Miki @ -qEZ1CRvSu"" (3967)",2026-03-16T13:59:42.447Z,177366958244701
"-- starting hand #132 (id: g5fyvbkxemgt)  No Limit Texas Hold'em (dealer: ""Miki @ -qEZ1CRvSu"") --",2026-03-16T13:59:42.447Z,177366958244700
"-- ending hand #131 --",2026-03-16T13:59:39.497Z,177366957949702
"""mo' @ HvUX-t1f2L"" collected 40 from pot",2026-03-16T13:59:39.497Z,177366957949701
"Uncalled bet of 30 returned to ""mo' @ HvUX-t1f2L""",2026-03-16T13:59:39.497Z,177366957949700
"""Miki @ -qEZ1CRvSu"" folds",2026-03-16T13:59:38.684Z,177366957868400
"""mo' @ HvUX-t1f2L"" raises to 50",2026-03-16T13:59:37.694Z,177366957769400
"""Miki @ -qEZ1CRvSu"" posts a big blind of 20",2026-03-16T13:59:33.446Z,177366957344605
"""mo' @ HvUX-t1f2L"" posts a small blind of 10",2026-03-16T13:59:33.446Z,177366957344604
"Player stacks: #3 ""mo' @ HvUX-t1f2L"" (2992) | #8 ""Miki @ -qEZ1CRvSu"" (3987)",2026-03-16T13:59:33.446Z,177366957344601
"-- starting hand #131 (id: koopgj8z7wom)  No Limit Texas Hold'em (dealer: ""mo' @ HvUX-t1f2L"") --",2026-03-16T13:59:33.446Z,177366957344600
"-- ending hand #130 --",2026-03-16T13:59:30.532Z,177366957053202
"""Miki @ -qEZ1CRvSu"" collected 40 from pot",2026-03-16T13:59:30.532Z,177366957053201
"Uncalled bet of 30 returned to ""Miki @ -qEZ1CRvSu""",2026-03-16T13:59:30.532Z,177366957053200
"""mo' @ HvUX-t1f2L"" folds",2026-03-16T13:59:29.712Z,177366956971200
