entry,at,order
"The player ""Guest @ -IDYCYhj2z"" passed the room ownership to ""Miki @ -qEZ1CRvSu"".",2026-03-16T14:04:49.462Z,177366988946200
"The player ""Kay @ 5v7PwEvIAz"" quits the game with a stack of 3575.",2026-03-16T14:02:15.308Z,177366973530800
"The player ""arash! @ PB93yGRdRr"" quits the game with a stack of 2395.",2026-03-16T14:01:55.034Z,177366971503401
"The player ""ノガード @ GgfRhPuspx"" quits the game with a stack of 2864.",2026-03-16T14:01:55.034Z,177366971503400
"""Ene @ ItuGQnjf6D"" shows a J♠, A♦.",2026-03-16T14:01:53.366Z,177366971336600
"-- ending hand #44 --",2026-03-16T14:01:51.419Z,177366971141902
"""Kay @ 5v7PwEvIAz"" collected 780 from pot",2026-03-16T14:01:51.419Z,177366971141901
"Uncalled bet of 2795 returned to ""Kay @ 5v7PwEvIAz""",2026-03-16T14:01:51.419Z,177366971141900
"""Ene @ ItuGQnjf6D"" folds",2026-03-16T14:01:50.543Z,177366971054300
"""Kay @ 5v7PwEvIAz"" bets 2795 and go all in",2026-03-16T14:01:49.418Z,177366970941800
"River: 9♥, 8♥, 10♦, J♦ [4♣]",2026-03-16T14:01:35.384Z,177366969538400
"""Ene @ ItuGQnjf6D"" checks",2026-03-16T14:01:34.512Z,177366969451200
"""Kay @ 5v7PwEvIAz"" checks",2026-03-16T14:01:30.726Z,177366969072600
"Turn: 9♥, 8♥, 10♦ [J♦]",2026-03-16T14:01:15.147Z,177366967514700
"""Ene @ ItuGQnjf6D"" calls 150",2026-03-16T14:01:14.276Z,177366967427600
"""Kay @ 5v7PwEvIAz"" bets 150",2026-03-16T14:00:49.296Z,177366964929600
"Flop:  [9♥, 8♥, 10♦]",2026-03-16T14:00:37.885Z,177366963788500
"""Ene @ ItuGQnjf6D"" calls 230",2026-03-16T14:00:37.074Z,177366963707400
"""arash! @ PB93yGRdRr"" folds",2026-03-16T14:00:36.035Z,177366963603500
"""Kay @ 5v7PwEvIAz"" raises to 230",2026-03-16T14:00:32.856Z,177366963285600
"""ノガード @ GgfRhPuspx"" folds",2026-03-16T14:00:16.488Z,177366961648800
"The admin ""Guest @ -IDYCYhj2z"" enqueued the game stop on next hand.",2026-03-16T14:00:16.175Z,177366961617500
"""Ene @ ItuGQnjf6D"" raises to 57",2026-03-16T14:00:13.696Z,177366961369600
"""Miki @ -qEZ1CRvSu"" folds",2026-03-16T14:00:11.181Z,177366961118100
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-03-16T14:00:04.049Z,177366960404908
"""Kay @ 5v7PwEvIAz"" posts a small blind of 10",2026-03-16T14:00:04.049Z,177366960404907
"Your hand is J♣, 5♣",2026-03-16T14:00:04.049Z,177366960404906
"Player stacks: #1 ""Kay @ 5v7PwEvIAz"" (3175) | #6 ""arash! @ PB93yGRdRr"" (2415) | #7 ""Miki @ -qEZ1CRvSu"" (2260) | #9 ""Ene @ ItuGQnjf6D"" (1970) | #10 ""ノガード @ GgfRhPuspx"" (2864)",2026-03-16T14:00:04.049Z,177366960404901
"-- starting hand #44 (id: ej3j1wcuvkmg)  No Limit Texas Hold'em (dealer: ""ノガード @ GgfRhPuspx"") --",2026-03-16T14:00:04.049Z,177366960404900
"-- ending hand #43 --",2026-03-16T14:00:01.126Z,177366960112602
"""Miki @ -qEZ1CRvSu"" collected 50 from pot",2026-03-16T14:00:01.126Z,177366960112601
"Uncalled bet of 30 returned to ""Miki @ -qEZ1CRvSu""",2026-03-16T14:00:01.126Z,177366960112600
"""Kay @ 5v7PwEvIAz"" folds",2026-03-16T14:00:00.213Z,177366960021300
"""ノガード @ GgfRhPuspx"" folds",2026-03-16T13:59:59.054Z,177366959905400
"""Ene @ ItuGQnjf6D"" folds",2026-03-16T13:59:58.031Z,177366959803100
"""Miki @ -qEZ1CRvSu"" raises to 50",2026-03-16T13:59:55.774Z,177366959577400
"""arash! @ PB93yGRdRr"" folds",2026-03-16T13:59:50.153Z,177366959015300
"""Kay @ 5v7PwEvIAz"" posts a big blind of 20",2026-03-16T13:59:48.654Z,177366958865408
"""ノガード @ GgfRhPuspx"" posts a small blind of 10",2026-03-16T13:59:48.654Z,177366958865407
"Your hand is 10♦, Q♥",2026-03-16T13:59:48.654Z,177366958865406
"Player stacks: #1 ""Kay @ 5v7PwEvIAz"" (3195) | #6 ""arash! @ PB93yGRdRr"" (2415) | #7 ""Miki @ -qEZ1CRvSu"" (2230) | #9 ""Ene @ ItuGQnjf6D"" (1970) | #10 ""ノガード @ GgfRhPuspx"" (2874)",2026-03-16T13:59:48.654Z,177366958865401
"-- starting hand #43 (id: e5d4nw70o5p8)  No Limit Texas Hold'em (dealer: ""Ene @ ItuGQnjf6D"") --",2026-03-16T13:59:48.654Z,177366958865400
"-- ending hand #42 --",2026-03-16T13:59:45.699Z,177366958569902
"""Kay @ 5v7PwEvIAz"" collected 50 from pot",2026-03-16T13:59:45.699Z,177366958569901
