entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""ノガード @ GgfRhPuspx"".",2026-03-23T14:05:45.482Z,177427474548200
"The player ""Yu. @ 1UXbmlVx8V"" quits the game with a stack of 2120.",2026-03-23T14:03:00.814Z,177427458081400
"The player ""konishi @ rhUBwDuHCf"" quits the game with a stack of 3350.",2026-03-23T14:02:52.297Z,177427457229701
"The player ""konishi @ rhUBwDuHCf"" stand up with the stack of 3350.",2026-03-23T14:02:52.297Z,177427457229700
"-- ending hand #99 --",2026-03-23T14:02:46.293Z,177427456629302
"""ノガード @ GgfRhPuspx"" collected 920 from pot with Full House, K's over 4's (combination: 4♦, 4♠, K♦, K♣, K♥)",2026-03-23T14:02:46.293Z,177427456629301
"""ノガード @ GgfRhPuspx"" shows a K♦, 10♥.",2026-03-23T14:02:46.293Z,177427456629300
"""Yu. @ 1UXbmlVx8V"" calls 400",2026-03-23T14:02:45.454Z,177427456545400
"""ノガード @ GgfRhPuspx"" raises to 400",2026-03-23T14:00:42.936Z,177427444293600
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:19.937Z,177427441993700
"""Yu. @ 1UXbmlVx8V"" bets 30",2026-03-23T14:00:16.104Z,177427441610400
"River: 4♦, K♣, 4♠, J♠ [K♥]",2026-03-23T13:59:54.169Z,177427439416900
"""ノガード @ GgfRhPuspx"" checks",2026-03-23T13:59:53.325Z,177427439332500
"""Yu. @ 1UXbmlVx8V"" checks",2026-03-23T13:59:51.065Z,177427439106500
"Turn: 4♦, K♣, 4♠ [J♠]",2026-03-23T13:59:13.193Z,177427435319300
"""ノガード @ GgfRhPuspx"" checks",2026-03-23T13:59:12.322Z,177427435232200
"""Yu. @ 1UXbmlVx8V"" checks",2026-03-23T13:59:09.977Z,177427434997700
"Flop:  [4♦, K♣, 4♠]",2026-03-23T13:59:06.368Z,177427434636800
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-23T13:59:05.544Z,177427434554400
"""Yu. @ 1UXbmlVx8V"" calls 50",2026-03-23T13:59:04.519Z,177427434451900
"""konishi @ rhUBwDuHCf"" folds",2026-03-23T13:58:52.959Z,177427433295900
"""ノガード @ GgfRhPuspx"" raises to 50",2026-03-23T13:58:51.849Z,177427433184900
"""Fuku @ 4Yga_zmdmi"" posts a big blind of 20",2026-03-23T13:58:47.685Z,177427432768507
"""Yu. @ 1UXbmlVx8V"" posts a small blind of 10",2026-03-23T13:58:47.685Z,177427432768506
"Your hand is K♦, 10♥",2026-03-23T13:58:47.685Z,177427432768502
"Player stacks: #1 ""ノガード @ GgfRhPuspx"" (2426) | #4 ""konishi @ rhUBwDuHCf"" (3350) | #6 ""Yu. @ 1UXbmlVx8V"" (2570) | #10 ""Fuku @ 4Yga_zmdmi"" (3255)",2026-03-23T13:58:47.685Z,177427432768501
"-- starting hand #99 (id: ypmg7g7basuw)  No Limit Texas Hold'em (dealer: ""konishi @ rhUBwDuHCf"") --",2026-03-23T13:58:47.685Z,177427432768500
"-- ending hand #98 --",2026-03-23T13:58:44.751Z,177427432475102
"""konishi @ rhUBwDuHCf"" collected 40 from pot",2026-03-23T13:58:44.751Z,177427432475101
"Uncalled bet of 40 returned to ""konishi @ rhUBwDuHCf""",2026-03-23T13:58:44.751Z,177427432475100
