entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""Takatobi @ cS0TbNKfbn"".",2026-03-23T14:06:37.382Z,177427479738200
"The player ""shunta @ O1ujh7Dkxd"" quits the game with a stack of 2387.",2026-03-23T14:01:15.549Z,177427447554900
"The admin updated the player ""Noram @ DZezvMNAJy"" stack from 1905 to 2000.",2026-03-23T14:00:37.338Z,177427443733800
"-- ending hand #243 --",2026-03-23T14:00:34.409Z,177427443440902
"""TNT @ DXrWVNkdav"" collected 180 from pot",2026-03-23T14:00:34.409Z,177427443440901
"Uncalled bet of 75 returned to ""TNT @ DXrWVNkdav""",2026-03-23T14:00:34.409Z,177427443440900
"""Noram @ DZezvMNAJy"" folds",2026-03-23T14:00:33.582Z,177427443358200
"""TNT @ DXrWVNkdav"" raises to 110",2026-03-23T14:00:21.627Z,177427442162700
"""Noram @ DZezvMNAJy"" bets 35",2026-03-23T14:00:15.489Z,177427441548900
"""TNT @ DXrWVNkdav"" checks",2026-03-23T14:00:07.956Z,177427440795600
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:07.682Z,177427440768200
"Flop:  [J♥, 2♠, K♥]",2026-03-23T14:00:04.911Z,177427440491100
"""TNT @ DXrWVNkdav"" calls 50",2026-03-23T14:00:04.074Z,177427440407400
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:59:56.569Z,177427439656900
"""Noram @ DZezvMNAJy"" raises to 50",2026-03-23T13:59:55.059Z,177427439505900
"""shunta @ O1ujh7Dkxd"" folds",2026-03-23T13:59:50.998Z,177427439099800
"WARNING: the admin queued the stack change for the player ""Noram @ DZezvMNAJy"" reseting to 2000 chips in the next hand.",2026-03-23T13:59:37.343Z,177427437734300
"""TNT @ DXrWVNkdav"" posts a big blind of 20",2026-03-23T13:59:35.656Z,177427437565607
"""teish @ v-iN-1QQsm"" posts a small blind of 10",2026-03-23T13:59:35.656Z,177427437565606
"Player stacks: #1 ""teish @ v-iN-1QQsm"" (3947) | #4 ""TNT @ DXrWVNkdav"" (3635) | #5 ""shunta @ O1ujh7Dkxd"" (2387) | #10 ""Noram @ DZezvMNAJy"" (1990)",2026-03-23T13:59:35.656Z,177427437565601
"-- starting hand #243 (id: eevdxcrolb0v)  No Limit Texas Hold'em (dealer: ""Noram @ DZezvMNAJy"") --",2026-03-23T13:59:35.656Z,177427437565600
"-- ending hand #242 --",2026-03-23T13:59:32.752Z,177427437275202
"""TNT @ DXrWVNkdav"" collected 50 from pot",2026-03-23T13:59:32.752Z,177427437275201
"Uncalled bet of 40 returned to ""TNT @ DXrWVNkdav""",2026-03-23T13:59:32.752Z,177427437275200
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:59:31.943Z,177427437194300
"""Noram @ DZezvMNAJy"" folds",2026-03-23T13:59:30.908Z,177427437090800
"""shunta @ O1ujh7Dkxd"" folds",2026-03-23T13:59:29.891Z,177427436989100
"""TNT @ DXrWVNkdav"" raises to 60",2026-03-23T13:59:14.594Z,177427435459400
"""teish @ v-iN-1QQsm"" posts a big blind of 20",2026-03-23T13:59:02.543Z,177427434254307
"""Noram @ DZezvMNAJy"" posts a small blind of 10",2026-03-23T13:59:02.543Z,177427434254306
