entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""Hinano @ WeOKnoOueQ"".",2026-03-23T14:06:29.499Z,177427478949900
"The player ""Hinano @ WeOKnoOueQ"" stand up with the stack of 2000.",2026-03-23T14:00:52.253Z,177427445225300
"The player ""alfort @ TkMT4agdsh"" quits the game with a stack of 2970.",2026-03-23T14:00:37.513Z,177427443751300
"The player ""alfort @ TkMT4agdsh"" stand up with the stack of 2970.",2026-03-23T14:00:35.270Z,177427443527000
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 3715.",2026-03-23T14:00:29.462Z,177427442946200
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:02.338Z,177427440233800
"-- ending hand #157 --",2026-03-23T14:00:00.735Z,177427440073502
"""翔斗 @ 4_RBXVU9-k"" collected 240 from pot",2026-03-23T14:00:00.735Z,177427440073501
"Uncalled bet of 120 returned to ""翔斗 @ 4_RBXVU9-k""",2026-03-23T14:00:00.735Z,177427440073500
"""わた @ kgEmed-EEr"" folds",2026-03-23T13:59:59.891Z,177427439989100
"""翔斗 @ 4_RBXVU9-k"" bets 120",2026-03-23T13:59:58.435Z,177427439843500
"""わた @ kgEmed-EEr"" checks",2026-03-23T13:59:45.671Z,177427438567100
"Turn: 6♥, 2♥, A♦ [5♦]",2026-03-23T13:59:42.559Z,177427438255900
"""翔斗 @ 4_RBXVU9-k"" calls 60",2026-03-23T13:59:41.723Z,177427438172300
"""わた @ kgEmed-EEr"" bets 60",2026-03-23T13:59:36.197Z,177427437619700
"Flop:  [6♥, 2♥, A♦]",2026-03-23T13:59:32.016Z,177427437201600
"""mo' @ HvUX-t1f2L"" folds",2026-03-23T13:59:31.150Z,177427437115000
"""alfort @ TkMT4agdsh"" folds",2026-03-23T13:59:30.095Z,177427437009500
"""翔斗 @ 4_RBXVU9-k"" calls 45",2026-03-23T13:59:26.456Z,177427436645600
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:59:23.899Z,177427436389900
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:59:20.776Z,177427436077600
"""わた @ kgEmed-EEr"" raises to 45",2026-03-23T13:59:16.810Z,177427435681000
"""mo' @ HvUX-t1f2L"" posts a big blind of 20",2026-03-23T13:59:14.303Z,177427435430312
"""alfort @ TkMT4agdsh"" posts a small blind of 10",2026-03-23T13:59:14.303Z,177427435430311
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (2980) | #3 ""mo' @ HvUX-t1f2L"" (3270) | #6 ""わた @ kgEmed-EEr"" (2000) | #7 ""Hinano @ WeOKnoOueQ"" (2000) | #8 ""teish @ v-iN-1QQsm"" (2000) | #10 ""翔斗 @ 4_RBXVU9-k"" (3580)",2026-03-23T13:59:14.303Z,177427435430304
"-- starting hand #157 (id: eda1gdfwufyj)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-03-23T13:59:14.303Z,177427435430303
"The player ""teish @ v-iN-1QQsm"" joined the game with a stack of 2000.",2026-03-23T13:59:14.303Z,177427435430302
"The admin updated the player ""Hinano @ WeOKnoOueQ"" stack from 1990 to 2000.",2026-03-23T13:59:14.303Z,177427435430301
"The admin updated the player ""わた @ kgEmed-EEr"" stack from 1023 to 2000.",2026-03-23T13:59:14.303Z,177427435430300
"-- ending hand #156 --",2026-03-23T13:59:11.393Z,177427435139302
"""わた @ kgEmed-EEr"" collected 50 from pot",2026-03-23T13:59:11.393Z,177427435139301
"Uncalled bet of 25 returned to ""わた @ kgEmed-EEr""",2026-03-23T13:59:11.393Z,177427435139300
"""alfort @ TkMT4agdsh"" folds",2026-03-23T13:59:10.521Z,177427435052100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-23T13:59:08.601Z,177427434860100
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:59:07.514Z,177427434751400
"""わた @ kgEmed-EEr"" raises to 45",2026-03-23T13:59:06.491Z,177427434649100
"WARNING: the admin queued the stack change for the player ""Hinano @ WeOKnoOueQ"" reseting to 2000 chips in the next hand.",2026-03-23T13:59:04.630Z,177427434463000
"WARNING: the admin queued the stack change for the player ""わた @ kgEmed-EEr"" reseting to 2000 chips in the next hand.",2026-03-23T13:59:03.400Z,177427434340000
"""mo' @ HvUX-t1f2L"" folds",2026-03-23T13:59:02.631Z,177427434263100
"""alfort @ TkMT4agdsh"" posts a big blind of 20",2026-03-23T13:59:00.174Z,177427434017408
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-03-23T13:59:00.174Z,177427434017407
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (3000) | #3 ""mo' @ HvUX-t1f2L"" (3270) | #6 ""わた @ kgEmed-EEr"" (993) | #7 ""Hinano @ WeOKnoOueQ"" (1990) | #10 ""翔斗 @ 4_RBXVU9-k"" (3590)",2026-03-23T13:59:00.174Z,177427434017401
