entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""Hinano @ WeOKnoOueQ"".",2026-03-23T14:05:38.854Z,177427473885400
"The player ""ElNino @ byYrvu0Qdy"" quits the game with a stack of 2610.",2026-03-23T14:00:42.069Z,177427444206900
"The player ""だいすけ @ 9kBl9X8tEm"" quits the game with a stack of 2570.",2026-03-23T14:00:34.379Z,177427443437900
"The player ""揚げもち @ 3liBhfdN10"" quits the game with a stack of 2380.",2026-03-23T14:00:15.363Z,177427441536300
"-- ending hand #152 --",2026-03-23T14:00:06.616Z,177427440661602
"""揚げもち @ 3liBhfdN10"" collected 50 from pot",2026-03-23T14:00:06.616Z,177427440661601
"Uncalled bet of 30 returned to ""揚げもち @ 3liBhfdN10""",2026-03-23T14:00:06.616Z,177427440661600
"""ElNino @ byYrvu0Qdy"" folds",2026-03-23T14:00:05.736Z,177427440573600
"""だいすけ @ 9kBl9X8tEm"" folds",2026-03-23T14:00:04.694Z,177427440469400
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:04.420Z,177427440442000
"""揚げもち @ 3liBhfdN10"" raises to 50",2026-03-23T14:00:00.093Z,177427440009300
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:59:52.163Z,177427439216300
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:59:51.070Z,177427439107000
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-03-23T13:59:49.166Z,177427438916608
"""だいすけ @ 9kBl9X8tEm"" posts a small blind of 10",2026-03-23T13:59:49.166Z,177427438916607
"Player stacks: #2 ""揚げもち @ 3liBhfdN10"" (2350) | #3 ""だいすけ @ 9kBl9X8tEm"" (2580) | #4 ""ElNino @ byYrvu0Qdy"" (2630) | #9 ""teish @ v-iN-1QQsm"" (1850) | #10 ""Hinano @ WeOKnoOueQ"" (3336)",2026-03-23T13:59:49.166Z,177427438916601
"-- starting hand #152 (id: j9pznbugieuu)  No Limit Texas Hold'em (dealer: ""揚げもち @ 3liBhfdN10"") --",2026-03-23T13:59:49.166Z,177427438916600
"-- ending hand #151 --",2026-03-23T13:59:46.259Z,177427438625902
"""Hinano @ WeOKnoOueQ"" collected 100 from pot",2026-03-23T13:59:46.259Z,177427438625901
"Uncalled bet of 125 returned to ""Hinano @ WeOKnoOueQ""",2026-03-23T13:59:46.259Z,177427438625900
"""だいすけ @ 9kBl9X8tEm"" folds",2026-03-23T13:59:45.432Z,177427438543200
"""Hinano @ WeOKnoOueQ"" bets 125",2026-03-23T13:59:42.313Z,177427438231300
"""だいすけ @ 9kBl9X8tEm"" checks",2026-03-23T13:59:28.224Z,177427436822400
"Turn: K♣, 9♠, 10♠ [2♦]",2026-03-23T13:59:24.267Z,177427436426700
"""Hinano @ WeOKnoOueQ"" checks",2026-03-23T13:59:23.446Z,177427436344600
"""だいすけ @ 9kBl9X8tEm"" checks",2026-03-23T13:59:20.017Z,177427436001700
"Flop:  [K♣, 9♠, 10♠]",2026-03-23T13:59:15.797Z,177427435579700
"""だいすけ @ 9kBl9X8tEm"" calls 45",2026-03-23T13:59:14.978Z,177427435497800
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:59:12.254Z,177427435225400
"""Hinano @ WeOKnoOueQ"" raises to 45",2026-03-23T13:59:11.153Z,177427435115300
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:59:08.030Z,177427434803000
"""ElNino @ byYrvu0Qdy"" folds",2026-03-23T13:59:07.027Z,177427434702700
"""だいすけ @ 9kBl9X8tEm"" posts a big blind of 20",2026-03-23T13:59:02.571Z,177427434257108
"""揚げもち @ 3liBhfdN10"" posts a small blind of 10",2026-03-23T13:59:02.571Z,177427434257107
"Player stacks: #2 ""揚げもち @ 3liBhfdN10"" (2360) | #3 ""だいすけ @ 9kBl9X8tEm"" (2625) | #4 ""ElNino @ byYrvu0Qdy"" (2630) | #9 ""teish @ v-iN-1QQsm"" (1850) | #10 ""Hinano @ WeOKnoOueQ"" (3281)",2026-03-23T13:59:02.571Z,177427434257101
"-- starting hand #151 (id: 1rpz3nevasdi)  No Limit Texas Hold'em (dealer: ""Hinano @ WeOKnoOueQ"") --",2026-03-23T13:59:02.571Z,177427434257100
"-- ending hand #150 --",2026-03-23T13:58:59.609Z,177427433960902
"""Hinano @ WeOKnoOueQ"" collected 370 from pot",2026-03-23T13:58:59.609Z,177427433960901
"Uncalled bet of 270 returned to ""Hinano @ WeOKnoOueQ""",2026-03-23T13:58:59.609Z,177427433960900
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:58:58.780Z,177427433878000
"""ElNino @ byYrvu0Qdy"" folds",2026-03-23T13:58:49.561Z,177427432956100
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:58:47.043Z,177427432704300
"""Hinano @ WeOKnoOueQ"" raises to 420",2026-03-23T13:58:46.029Z,177427432602900
"""teish @ v-iN-1QQsm"" raises to 150",2026-03-23T13:58:35.572Z,177427431557200
"""ElNino @ byYrvu0Qdy"" raises to 50",2026-03-23T13:58:22.533Z,177427430253300
"""だいすけ @ 9kBl9X8tEm"" folds",2026-03-23T13:58:19.365Z,177427429936500
"""揚げもち @ 3liBhfdN10"" posts a big blind of 20",2026-03-23T13:58:17.259Z,177427429725909
"""Hinano @ WeOKnoOueQ"" posts a small blind of 10",2026-03-23T13:58:17.259Z,177427429725908
"Player stacks: #2 ""揚げもち @ 3liBhfdN10"" (2380) | #3 ""だいすけ @ 9kBl9X8tEm"" (2625) | #4 ""ElNino @ byYrvu0Qdy"" (2680) | #9 ""teish @ v-iN-1QQsm"" (2000) | #10 ""Hinano @ WeOKnoOueQ"" (3061)",2026-03-23T13:58:17.259Z,177427429725902
"-- starting hand #150 (id: lifkvt4d2lgb)  No Limit Texas Hold'em (dealer: ""teish @ v-iN-1QQsm"") --",2026-03-23T13:58:17.259Z,177427429725901
"The admin updated the player ""teish @ v-iN-1QQsm"" stack from 1990 to 2000.",2026-03-23T13:58:17.259Z,177427429725900
"-- ending hand #149 --",2026-03-23T13:58:14.356Z,177427429435602
"""Hinano @ WeOKnoOueQ"" collected 20 from pot",2026-03-23T13:58:14.356Z,177427429435601
"Uncalled bet of 10 returned to ""Hinano @ WeOKnoOueQ""",2026-03-23T13:58:14.356Z,177427429435600
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:58:13.542Z,177427429354200
"""ElNino @ byYrvu0Qdy"" folds",2026-03-23T13:57:58.574Z,177427427857400
"""だいすけ @ 9kBl9X8tEm"" folds",2026-03-23T13:57:57.537Z,177427427753700
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:57:55.233Z,177427427523300
"WARNING: the admin queued the stack change for the player ""teish @ v-iN-1QQsm"" reseting to 2000 chips in the next hand.",2026-03-23T13:57:54.596Z,177427427459600
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-03-23T13:57:50.416Z,177427427041609
"""teish @ v-iN-1QQsm"" posts a small blind of 10",2026-03-23T13:57:50.416Z,177427427041608
"Player stacks: #2 ""揚げもち @ 3liBhfdN10"" (2380) | #3 ""だいすけ @ 9kBl9X8tEm"" (2625) | #4 ""ElNino @ byYrvu0Qdy"" (2680) | #9 ""teish @ v-iN-1QQsm"" (2000) | #10 ""Hinano @ WeOKnoOueQ"" (3051)",2026-03-23T13:57:50.416Z,177427427041602
"-- starting hand #149 (id: uceajtandjua)  No Limit Texas Hold'em (dealer: ""ElNino @ byYrvu0Qdy"") --",2026-03-23T13:57:50.416Z,177427427041601
"The admin updated the player ""teish @ v-iN-1QQsm"" stack from 1980 to 2000.",2026-03-23T13:57:50.416Z,177427427041600
"-- ending hand #148 --",2026-03-23T13:57:47.506Z,177427426750602
"""ElNino @ byYrvu0Qdy"" collected 40 from pot",2026-03-23T13:57:47.506Z,177427426750601
"Uncalled bet of 40 returned to ""ElNino @ byYrvu0Qdy""",2026-03-23T13:57:47.506Z,177427426750600
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:57:46.702Z,177427426670200
"""ElNino @ byYrvu0Qdy"" raises to 60",2026-03-23T13:57:45.675Z,177427426567500
"""だいすけ @ 9kBl9X8tEm"" folds",2026-03-23T13:57:41.770Z,177427426177000
"WARNING: the admin queued the stack change for the player ""teish @ v-iN-1QQsm"" reseting to 2000 chips in the next hand.",2026-03-23T13:57:38.352Z,177427425835200
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:57:38.304Z,177427425830400
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:57:35.636Z,177427425563600
"""teish @ v-iN-1QQsm"" posts a big blind of 20",2026-03-23T13:57:34.303Z,177427425430308
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-03-23T13:57:34.303Z,177427425430307
"Player stacks: #2 ""揚げもち @ 3liBhfdN10"" (2380) | #3 ""だいすけ @ 9kBl9X8tEm"" (2625) | #4 ""ElNino @ byYrvu0Qdy"" (2660) | #9 ""teish @ v-iN-1QQsm"" (2000) | #10 ""Hinano @ WeOKnoOueQ"" (3051)",2026-03-23T13:57:34.303Z,177427425430301
"-- starting hand #148 (id: 6upufne6efo9)  No Limit Texas Hold'em (dealer: ""だいすけ @ 9kBl9X8tEm"") --",2026-03-23T13:57:34.303Z,177427425430300
"-- ending hand #147 --",2026-03-23T13:57:31.393Z,177427425139302
"""ElNino @ byYrvu0Qdy"" collected 20 from pot",2026-03-23T13:57:31.393Z,177427425139301
