entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""takatony @ j_3joKfzS9"".",2026-03-23T14:04:31.458Z,177427467145800
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 3421.",2026-03-23T14:01:33.784Z,177427449378400
"-- ending hand #112 --",2026-03-23T14:01:25.433Z,177427448543302
"""翔斗 @ 4_RBXVU9-k"" collected 1600 from pot with Full House, K's over 3's (combination: 3♦, 3♥, K♦, K♥, K♠)",2026-03-23T14:01:25.433Z,177427448543301
"""翔斗 @ 4_RBXVU9-k"" shows a K♦, 3♦.",2026-03-23T14:01:25.433Z,177427448543300
"""takatony @ j_3joKfzS9"" calls 400",2026-03-23T14:01:24.625Z,177427448462500
"""翔斗 @ 4_RBXVU9-k"" bets 400",2026-03-23T14:01:20.618Z,177427448061800
"""takatony @ j_3joKfzS9"" checks",2026-03-23T14:01:04.392Z,177427446439200
"River: K♥, 3♥, 5♣, 10♣ [K♠]",2026-03-23T14:01:01.671Z,177427446167100
"""takatony @ j_3joKfzS9"" calls 320",2026-03-23T14:01:00.609Z,177427446060900
"""翔斗 @ 4_RBXVU9-k"" raises to 320",2026-03-23T14:00:48.753Z,177427444875300
"""takatony @ j_3joKfzS9"" bets 80",2026-03-23T14:00:27.605Z,177427442760500
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:21.040Z,177427442104000
"Turn: K♥, 3♥, 5♣ [10♣]",2026-03-23T14:00:07.528Z,177427440752800
"""翔斗 @ 4_RBXVU9-k"" checks",2026-03-23T14:00:06.683Z,177427440668300
"""takatony @ j_3joKfzS9"" checks",2026-03-23T13:59:48.515Z,177427438851500
"Flop:  [K♥, 3♥, 5♣]",2026-03-23T13:59:21.044Z,177427436104400
"""翔斗 @ 4_RBXVU9-k"" calls 80",2026-03-23T13:59:20.230Z,177427436023000
"""takatony @ j_3joKfzS9"" raises to 80",2026-03-23T13:59:15.104Z,177427435510400
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:58:59.546Z,177427433954600
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-23T13:58:58.460Z,177427433846000
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-03-23T13:58:55.164Z,177427433516407
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-23T13:58:55.164Z,177427433516406
"Player stacks: #3 ""翔斗 @ 4_RBXVU9-k"" (2621) | #8 ""Rabbit900 @ yEOnuJcBZo"" (3797) | #9 ""Hinano @ WeOKnoOueQ"" (2823) | #10 ""takatony @ j_3joKfzS9"" (2264)",2026-03-23T13:58:55.164Z,177427433516401
"-- starting hand #112 (id: 6c7xjcvocdoi)  No Limit Texas Hold'em (dealer: ""Hinano @ WeOKnoOueQ"") --",2026-03-23T13:58:55.164Z,177427433516400
"-- ending hand #111 --",2026-03-23T13:58:52.245Z,177427433224502
"""翔斗 @ 4_RBXVU9-k"" collected 50 from pot",2026-03-23T13:58:52.245Z,177427433224501
"Uncalled bet of 30 returned to ""翔斗 @ 4_RBXVU9-k""",2026-03-23T13:58:52.245Z,177427433224500
"""takatony @ j_3joKfzS9"" folds",2026-03-23T13:58:51.418Z,177427433141800
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:58:44.016Z,177427432401600
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-23T13:58:42.991Z,177427432299100
"""翔斗 @ 4_RBXVU9-k"" raises to 50",2026-03-23T13:58:41.970Z,177427432197000
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-03-23T13:58:30.942Z,177427431094207
"""Hinano @ WeOKnoOueQ"" posts a small blind of 10",2026-03-23T13:58:30.942Z,177427431094206
"Player stacks: #3 ""翔斗 @ 4_RBXVU9-k"" (2591) | #8 ""Rabbit900 @ yEOnuJcBZo"" (3797) | #9 ""Hinano @ WeOKnoOueQ"" (2833) | #10 ""takatony @ j_3joKfzS9"" (2284)",2026-03-23T13:58:30.942Z,177427431094201
"-- starting hand #111 (id: s4au5ezwzg5n)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-03-23T13:58:30.942Z,177427431094200
"-- ending hand #110 --",2026-03-23T13:58:28.022Z,177427430802202
"""翔斗 @ 4_RBXVU9-k"" collected 50 from pot",2026-03-23T13:58:28.022Z,177427430802201
"Uncalled bet of 30 returned to ""翔斗 @ 4_RBXVU9-k""",2026-03-23T13:58:28.022Z,177427430802200
"""Hinano @ WeOKnoOueQ"" folds",2026-03-23T13:58:27.197Z,177427430719700
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-23T13:58:26.153Z,177427430615300
"""翔斗 @ 4_RBXVU9-k"" raises to 50",2026-03-23T13:58:22.726Z,177427430272600
"""takatony @ j_3joKfzS9"" folds",2026-03-23T13:58:12.083Z,177427429208300
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-03-23T13:58:09.934Z,177427428993407
