entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""Neku @ HZmCRZd6SG"".",2026-03-23T14:06:33.215Z,177427479321500
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 2450.",2026-03-23T14:00:35.087Z,177427443508700
"The player ""Kay @ 5v7PwEvIAz"" quits the game with a stack of 2017.",2026-03-23T14:00:33.293Z,177427443329300
"The player ""翔斗 @ 4_RBXVU9-k"" stand up with the stack of 2450.",2026-03-23T14:00:25.969Z,177427442596900
"-- ending hand #110 --",2026-03-23T14:00:23.046Z,177427442304602
"""Neku @ HZmCRZd6SG"" collected 110 from pot",2026-03-23T14:00:23.046Z,177427442304601
"Uncalled bet of 30 returned to ""Neku @ HZmCRZd6SG""",2026-03-23T14:00:23.046Z,177427442304600
"""Kay @ 5v7PwEvIAz"" folds",2026-03-23T14:00:22.191Z,177427442219100
"""Neku @ HZmCRZd6SG"" bets 30",2026-03-23T14:00:19.374Z,177427441937400
"""Kay @ 5v7PwEvIAz"" checks",2026-03-23T14:00:13.990Z,177427441399000
"Flop:  [K♠, 7♦, 6♣]",2026-03-23T14:00:10.641Z,177427441064100
"""Kay @ 5v7PwEvIAz"" calls 50",2026-03-23T14:00:09.769Z,177427440976900
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:08.277Z,177427440827700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-23T14:00:05.826Z,177427440582600
"""とーち @ xV3KBDal40"" folds",2026-03-23T14:00:04.764Z,177427440476400
"""Neku @ HZmCRZd6SG"" raises to 50",2026-03-23T14:00:02.385Z,177427440238500
"""takatony @ j_3joKfzS9"" folds",2026-03-23T13:59:57.572Z,177427439757200
"""Kay @ 5v7PwEvIAz"" posts a big blind of 20",2026-03-23T13:59:53.969Z,177427439396908
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-03-23T13:59:53.969Z,177427439396907
"Player stacks: #1 ""翔斗 @ 4_RBXVU9-k"" (2460) | #3 ""Kay @ 5v7PwEvIAz"" (2067) | #6 ""takatony @ j_3joKfzS9"" (3150) | #8 ""Neku @ HZmCRZd6SG"" (2066) | #9 ""とーち @ xV3KBDal40"" (2125)",2026-03-23T13:59:53.969Z,177427439396901
"-- starting hand #110 (id: m0xyktous3jw)  No Limit Texas Hold'em (dealer: ""とーち @ xV3KBDal40"") --",2026-03-23T13:59:53.969Z,177427439396900
"-- ending hand #109 --",2026-03-23T13:59:51.066Z,177427439106602
"""Kay @ 5v7PwEvIAz"" collected 90 from pot",2026-03-23T13:59:51.066Z,177427439106601
"Uncalled bet of 135 returned to ""Kay @ 5v7PwEvIAz""",2026-03-23T13:59:51.066Z,177427439106600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-23T13:59:50.228Z,177427439022800
"""Kay @ 5v7PwEvIAz"" bets 135",2026-03-23T13:59:46.685Z,177427438668500
"""翔斗 @ 4_RBXVU9-k"" checks",2026-03-23T13:59:32.402Z,177427437240200
"Flop:  [A♦, 4♦, Q♠]",2026-03-23T13:59:29.309Z,177427436930900
"""翔斗 @ 4_RBXVU9-k"" calls 40",2026-03-23T13:59:28.502Z,177427436850200
"""とーち @ xV3KBDal40"" folds",2026-03-23T13:59:24.448Z,177427436444800
"""Neku @ HZmCRZd6SG"" folds",2026-03-23T13:59:19.630Z,177427435963000
"""takatony @ j_3joKfzS9"" folds",2026-03-23T13:59:18.623Z,177427435862300
"""Kay @ 5v7PwEvIAz"" raises to 40",2026-03-23T13:59:17.573Z,177427435757300
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-03-23T13:59:13.703Z,177427435370308
"""とーち @ xV3KBDal40"" posts a small blind of 10",2026-03-23T13:59:13.703Z,177427435370307
"Player stacks: #1 ""翔斗 @ 4_RBXVU9-k"" (2500) | #3 ""Kay @ 5v7PwEvIAz"" (2017) | #6 ""takatony @ j_3joKfzS9"" (3150) | #8 ""Neku @ HZmCRZd6SG"" (2066) | #9 ""とーち @ xV3KBDal40"" (2135)",2026-03-23T13:59:13.703Z,177427435370301
"-- starting hand #109 (id: jlgquhxsjtal)  No Limit Texas Hold'em (dealer: ""Neku @ HZmCRZd6SG"") --",2026-03-23T13:59:13.703Z,177427435370300
"-- ending hand #108 --",2026-03-23T13:59:10.793Z,177427435079302
"""とーち @ xV3KBDal40"" collected 90 from pot",2026-03-23T13:59:10.793Z,177427435079301
"Uncalled bet of 67 returned to ""とーち @ xV3KBDal40""",2026-03-23T13:59:10.793Z,177427435079300
"""Kay @ 5v7PwEvIAz"" folds",2026-03-23T13:59:09.901Z,177427434990100
"""とーち @ xV3KBDal40"" bets 67",2026-03-23T13:59:07.573Z,177427434757300
"Turn: A♣, 3♣, Q♣ [K♠]",2026-03-23T13:58:54.606Z,177427433460600
"""Kay @ 5v7PwEvIAz"" checks",2026-03-23T13:58:53.798Z,177427433379800
"""とーち @ xV3KBDal40"" checks",2026-03-23T13:58:50.114Z,177427433011400
"Flop:  [A♣, 3♣, Q♣]",2026-03-23T13:58:46.937Z,177427432693700
"""とーち @ xV3KBDal40"" calls 40",2026-03-23T13:58:46.115Z,177427432611500
"""Neku @ HZmCRZd6SG"" folds",2026-03-23T13:58:43.388Z,177427432338800
"""takatony @ j_3joKfzS9"" folds",2026-03-23T13:58:42.378Z,177427432237800
"""Kay @ 5v7PwEvIAz"" raises to 40",2026-03-23T13:58:41.251Z,177427432125100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-23T13:58:38.285Z,177427431828500
"""とーち @ xV3KBDal40"" posts a big blind of 20",2026-03-23T13:58:29.543Z,177427430954308
"""Neku @ HZmCRZd6SG"" posts a small blind of 10",2026-03-23T13:58:29.543Z,177427430954307
"Player stacks: #1 ""翔斗 @ 4_RBXVU9-k"" (2500) | #3 ""Kay @ 5v7PwEvIAz"" (2057) | #6 ""takatony @ j_3joKfzS9"" (3150) | #8 ""Neku @ HZmCRZd6SG"" (2076) | #9 ""とーち @ xV3KBDal40"" (2085)",2026-03-23T13:58:29.543Z,177427430954301
"-- starting hand #108 (id: ytxbbiwrbfxt)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-23T13:58:29.543Z,177427430954300
"-- ending hand #107 --",2026-03-23T13:58:26.623Z,177427430662302
"""takatony @ j_3joKfzS9"" collected 40 from pot",2026-03-23T13:58:26.623Z,177427430662301
"Uncalled bet of 60 returned to ""takatony @ j_3joKfzS9""",2026-03-23T13:58:26.623Z,177427430662300
"""Neku @ HZmCRZd6SG"" folds",2026-03-23T13:58:25.800Z,177427430580000
"""takatony @ j_3joKfzS9"" raises to 80",2026-03-23T13:58:15.343Z,177427429534300
"""Kay @ 5v7PwEvIAz"" folds",2026-03-23T13:58:03.457Z,177427428345700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-23T13:58:02.371Z,177427428237100
"""とーち @ xV3KBDal40"" folds",2026-03-23T13:58:00.700Z,177427428070000
"""Neku @ HZmCRZd6SG"" posts a big blind of 20",2026-03-23T13:57:57.913Z,177427427791308
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-23T13:57:57.913Z,177427427791307
