entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""takatony @ j_3joKfzS9"".",2026-03-23T14:06:33.228Z,177427479322800
"The player ""Kuni @ HIjaJ0Hz7_"" quits the game with a stack of 3280.",2026-03-23T14:01:23.743Z,177427448374300
"The player ""池田 @ -jO_t6hjOD"" stand up with the stack of 3020.",2026-03-23T14:00:58.874Z,177427445887400
"-- ending hand #114 --",2026-03-23T14:00:22.929Z,177427442292902
"""takatony @ j_3joKfzS9"" collected 50 from pot",2026-03-23T14:00:22.929Z,177427442292901
"Uncalled bet of 40 returned to ""takatony @ j_3joKfzS9""",2026-03-23T14:00:22.929Z,177427442292900
"The admin ""Guest @ PfVb4ZJXf0"" enqueued the game stop on next hand.",2026-03-23T14:00:22.757Z,177427442275700
"""池田 @ -jO_t6hjOD"" folds",2026-03-23T14:00:22.094Z,177427442209400
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-23T14:00:19.169Z,177427441916900
"""takatony @ j_3joKfzS9"" raises to 60",2026-03-23T14:00:16.396Z,177427441639600
"""Kuni @ HIjaJ0Hz7_"" folds",2026-03-23T14:00:12.838Z,177427441283800
"""池田 @ -jO_t6hjOD"" posts a big blind of 20",2026-03-23T14:00:05.923Z,177427440592308
"""Rabbit900 @ yEOnuJcBZo"" posts a small blind of 10",2026-03-23T14:00:05.923Z,177427440592307
"Player stacks: #1 ""Rabbit900 @ yEOnuJcBZo"" (2101) | #5 ""池田 @ -jO_t6hjOD"" (3040) | #6 ""Kuni @ HIjaJ0Hz7_"" (3280) | #9 ""takatony @ j_3joKfzS9"" (1910)",2026-03-23T14:00:05.923Z,177427440592302
"-- starting hand #114 (id: jvc8spgvccgm)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-23T14:00:05.923Z,177427440592301
"The player ""揚げもち @ 3liBhfdN10"" quits the game with a stack of 2000.",2026-03-23T14:00:05.923Z,177427440592300
"-- ending hand #113 --",2026-03-23T14:00:02.981Z,177427440298102
"""Kuni @ HIjaJ0Hz7_"" collected 1620 from pot",2026-03-23T14:00:02.981Z,177427440298101
"Uncalled bet of 1660 returned to ""Kuni @ HIjaJ0Hz7_""",2026-03-23T14:00:02.981Z,177427440298100
"""takatony @ j_3joKfzS9"" folds",2026-03-23T14:00:01.533Z,177427440153300
"""Kuni @ HIjaJ0Hz7_"" raises to 2160 and go all in",2026-03-23T13:59:30.323Z,177427437032300
"""takatony @ j_3joKfzS9"" bets 500",2026-03-23T13:59:24.084Z,177427436408400
"Turn: A♥, 7♥, 2♦ [10♦]",2026-03-23T13:59:06.831Z,177427434683100
"""Kuni @ HIjaJ0Hz7_"" calls 120",2026-03-23T13:59:06.014Z,177427434601400
"""takatony @ j_3joKfzS9"" bets 120",2026-03-23T13:59:03.843Z,177427434384300
"Flop:  [A♥, 7♥, 2♦]",2026-03-23T13:58:52.288Z,177427433228800
"""Kuni @ HIjaJ0Hz7_"" calls 180",2026-03-23T13:58:51.473Z,177427433147300
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-23T13:58:49.775Z,177427432977500
"""takatony @ j_3joKfzS9"" raises to 180",2026-03-23T13:58:46.745Z,177427432674500
"""Kuni @ HIjaJ0Hz7_"" raises to 40",2026-03-23T13:58:43.265Z,177427432326500
"""池田 @ -jO_t6hjOD"" folds",2026-03-23T13:58:40.304Z,177427432030400
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:58:38.486Z,177427431848600
"""Rabbit900 @ yEOnuJcBZo"" posts a big blind of 20",2026-03-23T13:58:37.232Z,177427431723208
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-23T13:58:37.232Z,177427431723207
"Player stacks: #1 ""Rabbit900 @ yEOnuJcBZo"" (2121) | #3 ""揚げもち @ 3liBhfdN10"" (2000) | #5 ""池田 @ -jO_t6hjOD"" (3040) | #6 ""Kuni @ HIjaJ0Hz7_"" (2460) | #9 ""takatony @ j_3joKfzS9"" (2710)",2026-03-23T13:58:37.232Z,177427431723201
"-- starting hand #113 (id: mziuffno1jjd)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-03-23T13:58:37.232Z,177427431723200
"-- ending hand #112 --",2026-03-23T13:58:34.324Z,177427431432402
"""Kuni @ HIjaJ0Hz7_"" collected 40 from pot",2026-03-23T13:58:34.324Z,177427431432401
"Uncalled bet of 40 returned to ""Kuni @ HIjaJ0Hz7_""",2026-03-23T13:58:34.324Z,177427431432400
"""takatony @ j_3joKfzS9"" folds",2026-03-23T13:58:33.512Z,177427431351200
