entry,at,order
"The player ""Guest @ PfVb4ZJXf0"" passed the room ownership to ""揚げもち @ 3liBhfdN10"".",2026-03-23T14:06:47.592Z,177427480759200
"The player ""teish @ v-iN-1QQsm"" quits the game with a stack of 2196.",2026-03-23T13:54:29.405Z,177427406940500
"-- ending hand #112 --",2026-03-23T13:54:26.470Z,177427406647002
"""teish @ v-iN-1QQsm"" collected 20 from pot",2026-03-23T13:54:26.470Z,177427406647001
"Uncalled bet of 10 returned to ""teish @ v-iN-1QQsm""",2026-03-23T13:54:26.470Z,177427406647000
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:54:25.643Z,177427406564300
"""teish @ v-iN-1QQsm"" posts a big blind of 20",2026-03-23T13:54:23.516Z,177427406351606
"""揚げもち @ 3liBhfdN10"" posts a small blind of 10",2026-03-23T13:54:23.516Z,177427406351605
"Player stacks: #5 ""揚げもち @ 3liBhfdN10"" (2541) | #6 ""teish @ v-iN-1QQsm"" (2186)",2026-03-23T13:54:23.516Z,177427406351602
"-- starting hand #112 (id: 0sa1vzagna9s)  No Limit Texas Hold'em (dealer: ""揚げもち @ 3liBhfdN10"") --",2026-03-23T13:54:23.516Z,177427406351601
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 2772.",2026-03-23T13:54:23.516Z,177427406351600
"-- ending hand #111 --",2026-03-23T13:54:20.602Z,177427406060202
"""揚げもち @ 3liBhfdN10"" collected 20 from pot",2026-03-23T13:54:20.602Z,177427406060201
"Uncalled bet of 10 returned to ""揚げもち @ 3liBhfdN10""",2026-03-23T13:54:20.602Z,177427406060200
"""waho @ Oc04ITRF7i"" folds",2026-03-23T13:54:19.765Z,177427405976500
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:54:10.811Z,177427405081100
"""揚げもち @ 3liBhfdN10"" posts a big blind of 20",2026-03-23T13:54:09.196Z,177427404919606
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-03-23T13:54:09.196Z,177427404919605
"Player stacks: #2 ""waho @ Oc04ITRF7i"" (2782) | #5 ""揚げもち @ 3liBhfdN10"" (2531) | #6 ""teish @ v-iN-1QQsm"" (2186)",2026-03-23T13:54:09.196Z,177427404919601
"-- starting hand #111 (id: ozu7goewjunx)  No Limit Texas Hold'em (dead button) --",2026-03-23T13:54:09.196Z,177427404919600
"-- ending hand #110 --",2026-03-23T13:54:06.275Z,177427404627502
"""waho @ Oc04ITRF7i"" collected 0 from pot",2026-03-23T13:54:06.275Z,177427404627501
"Uncalled bet of 20 returned to ""waho @ Oc04ITRF7i""",2026-03-23T13:54:06.275Z,177427404627500
"""teish @ v-iN-1QQsm"" folds",2026-03-23T13:54:05.463Z,177427404546300
"""揚げもち @ 3liBhfdN10"" folds",2026-03-23T13:54:04.410Z,177427404441000
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2026-03-23T13:54:01.701Z,177427404170108
"Dead Small Blind",2026-03-23T13:54:01.701Z,177427404170107
"Player stacks: #2 ""waho @ Oc04ITRF7i"" (2782) | #5 ""揚げもち @ 3liBhfdN10"" (2531) | #6 ""teish @ v-iN-1QQsm"" (2186)",2026-03-23T13:54:01.701Z,177427404170103
"-- starting hand #110 (id: jk6wf6uozijr)  No Limit Texas Hold'em (dealer: ""teish @ v-iN-1QQsm"") --",2026-03-23T13:54:01.701Z,177427404170102
"The player ""roi @ nipvI-vlJZ"" quits the game with a stack of 2000.",2026-03-23T13:54:01.701Z,177427404170101
"The admin updated the player ""roi @ nipvI-vlJZ"" stack from 1915 to 2000.",2026-03-23T13:54:01.701Z,177427404170100
"-- ending hand #109 --",2026-03-23T13:53:58.679Z,177427403867902
"""揚げもち @ 3liBhfdN10"" collected 310 from pot",2026-03-23T13:53:58.679Z,177427403867901
"Uncalled bet of 100 returned to ""揚げもち @ 3liBhfdN10""",2026-03-23T13:53:58.679Z,177427403867900
"""waho @ Oc04ITRF7i"" folds",2026-03-23T13:53:57.869Z,177427403786900
