player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"engawa",cCFXQyltQ-,2026-03-30T13:35:35.655Z,,3000,,3666,666
"なんでやねん",r1CBe6Qe79,2026-03-30T13:22:48.200Z,2026-03-30T13:30:04.871Z,2212,2000,0,-212
"arash!",PB93yGRdRr,2026-03-30T13:15:16.739Z,,3000,5336,2960,5296
"とーち",xV3KBDal40,2026-03-30T11:40:03.338Z,,3044,76,2349,-619
"すとふぁ",M4pyIQvfB9,2026-03-30T11:08:24.834Z,,4289,10,2000,-2279
"alfort",TkMT4agdsh,2026-03-30T11:06:11.890Z,2026-03-30T12:10:37.202Z,3000,6820,0,3820
"roi",nipvI-vlJZ,2026-03-30T10:54:51.943Z,2026-03-30T11:37:29.604Z,3000,0,0,-3000
"Ene",aTysmwVI80,2026-03-30T10:54:51.940Z,,3090,1124,2111,145
"ゴン02（江戸犬）",AblUkPGGlZ,2026-03-30T10:46:45.072Z,2026-03-30T13:55:26.916Z,2910,1364,0,-1546
"なんでやねん",r1CBe6Qe79,2026-03-30T10:46:45.075Z,2026-03-30T13:18:45.735Z,3190,1214,0,-1976
"ノガード",GgfRhPuspx,2026-03-30T10:46:45.060Z,2026-03-30T11:04:07.080Z,2500,2205,0,-295
