entry,at,order
"The player ""Guest @ IeTL6RBrxM"" passed the room ownership to ""Ene @ aTysmwVI80"".",2026-03-30T14:04:12.819Z,177487945281900
"""Ene @ aTysmwVI80"" shows a 4♠, 4♥.",2026-03-30T14:02:18.802Z,177487933880200
"-- ending hand #233 --",2026-03-30T14:02:17.869Z,177487933786902
"""とーち @ xV3KBDal40"" collected 248 from pot",2026-03-30T14:02:17.869Z,177487933786901
"Uncalled bet of 248 returned to ""とーち @ xV3KBDal40""",2026-03-30T14:02:17.869Z,177487933786900
"""Ene @ aTysmwVI80"" folds",2026-03-30T14:02:17.023Z,177487933702300
"""とーち @ xV3KBDal40"" bets 248",2026-03-30T14:01:13.138Z,177487927313800
"River: K♥, 5♦, 7♥, 2♥ [9♣]",2026-03-30T14:00:46.885Z,177487924688500
"""Ene @ aTysmwVI80"" calls 62",2026-03-30T14:00:46.017Z,177487924601700
"""とーち @ xV3KBDal40"" bets 62",2026-03-30T14:00:34.657Z,177487923465700
"Turn: K♥, 5♦, 7♥ [2♥]",2026-03-30T14:00:21.702Z,177487922170200
"""Ene @ aTysmwVI80"" checks",2026-03-30T14:00:20.894Z,177487922089400
"""とーち @ xV3KBDal40"" checks",2026-03-30T14:00:06.509Z,177487920650900
"The admin ""Guest @ IeTL6RBrxM"" enqueued the game stop on next hand.",2026-03-30T14:00:05.313Z,177487920531300
"Flop:  [K♥, 5♦, 7♥]",2026-03-30T14:00:04.159Z,177487920415900
"""とーち @ xV3KBDal40"" calls 57",2026-03-30T14:00:03.287Z,177487920328700
"""arash! @ PB93yGRdRr"" folds",2026-03-30T14:00:00.446Z,177487920044600
"""Ene @ aTysmwVI80"" raises to 57",2026-03-30T13:59:56.848Z,177487919684800
"""とーち @ xV3KBDal40"" posts a big blind of 20",2026-03-30T13:59:53.184Z,177487919318406
"""arash! @ PB93yGRdRr"" posts a small blind of 10",2026-03-30T13:59:53.184Z,177487919318405
"Player stacks: #1 ""arash! @ PB93yGRdRr"" (2970) | #6 ""とーち @ xV3KBDal40"" (2220) | #8 ""Ene @ aTysmwVI80"" (2230)",2026-03-30T13:59:53.184Z,177487919318401
"-- starting hand #233 (id: ywhhgksttygg)  No Limit Texas Hold'em (dealer: ""Ene @ aTysmwVI80"") --",2026-03-30T13:59:53.184Z,177487919318400
"-- ending hand #232 --",2026-03-30T13:59:50.262Z,177487919026202
"""Ene @ aTysmwVI80"" collected 40 from pot",2026-03-30T13:59:50.262Z,177487919026201
"Uncalled bet of 40 returned to ""Ene @ aTysmwVI80""",2026-03-30T13:59:50.262Z,177487919026200
"""arash! @ PB93yGRdRr"" folds",2026-03-30T13:59:49.445Z,177487918944500
"""Ene @ aTysmwVI80"" raises to 60",2026-03-30T13:59:23.629Z,177487916362900
"""とーち @ xV3KBDal40"" folds",2026-03-30T13:59:17.697Z,177487915769700
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-03-30T13:59:12.916Z,177487915291606
"""Ene @ aTysmwVI80"" posts a small blind of 10",2026-03-30T13:59:12.916Z,177487915291605
"Player stacks: #1 ""arash! @ PB93yGRdRr"" (2990) | #6 ""とーち @ xV3KBDal40"" (2220) | #8 ""Ene @ aTysmwVI80"" (2210)",2026-03-30T13:59:12.916Z,177487915291601
"-- starting hand #232 (id: x1akphyeajoz)  No Limit Texas Hold'em (dealer: ""とーち @ xV3KBDal40"") --",2026-03-30T13:59:12.916Z,177487915291600
"-- ending hand #231 --",2026-03-30T13:59:09.916Z,177487914991602
"""Ene @ aTysmwVI80"" collected 20 from pot",2026-03-30T13:59:09.916Z,177487914991601
"Uncalled bet of 10 returned to ""Ene @ aTysmwVI80""",2026-03-30T13:59:09.916Z,177487914991600
"""とーち @ xV3KBDal40"" folds",2026-03-30T13:59:09.058Z,177487914905800
"""arash! @ PB93yGRdRr"" folds",2026-03-30T13:59:07.906Z,177487914790600
"""Ene @ aTysmwVI80"" posts a big blind of 20",2026-03-30T13:59:06.114Z,177487914611406
"""とーち @ xV3KBDal40"" posts a small blind of 10",2026-03-30T13:59:06.114Z,177487914611405
"Player stacks: #1 ""arash! @ PB93yGRdRr"" (2990) | #6 ""とーち @ xV3KBDal40"" (2230) | #8 ""Ene @ aTysmwVI80"" (2200)",2026-03-30T13:59:06.114Z,177487914611401
"-- starting hand #231 (id: 2tdrphb5trxc)  No Limit Texas Hold'em (dealer: ""arash! @ PB93yGRdRr"") --",2026-03-30T13:59:06.114Z,177487914611400
"-- ending hand #230 --",2026-03-30T13:59:03.204Z,177487914320402
"""とーち @ xV3KBDal40"" collected 20 from pot",2026-03-30T13:59:03.204Z,177487914320401
