entry,at,order
"The player ""Guest @ IeTL6RBrxM"" passed the room ownership to ""翔斗 @ 4_RBXVU9-k"".",2026-03-30T14:05:54.656Z,177487955465600
"The player ""engawa @ cCFXQyltQ-"" stand up with the stack of 2393.",2026-03-30T14:00:20.579Z,177487922057900
"-- ending hand #200 --",2026-03-30T14:00:17.657Z,177487921765702
"""mo' @ HvUX-t1f2L"" collected 50 from pot",2026-03-30T14:00:17.657Z,177487921765701
"Uncalled bet of 30 returned to ""mo' @ HvUX-t1f2L""",2026-03-30T14:00:17.657Z,177487921765700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-30T14:00:16.784Z,177487921678400
"""Ene @ aTysmwVI80"" folds",2026-03-30T14:00:12.263Z,177487921226300
"The admin ""Guest @ IeTL6RBrxM"" enqueued the game stop on next hand.",2026-03-30T14:00:10.093Z,177487921009300
"""mo' @ HvUX-t1f2L"" raises to 50",2026-03-30T14:00:08.806Z,177487920880600
"""engawa @ cCFXQyltQ-"" folds",2026-03-30T14:00:05.632Z,177487920563200
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-03-30T14:00:02.911Z,177487920291107
"""Ene @ aTysmwVI80"" posts a small blind of 10",2026-03-30T14:00:02.911Z,177487920291106
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (2589) | #3 ""engawa @ cCFXQyltQ-"" (2393) | #5 ""mo' @ HvUX-t1f2L"" (2779) | #6 ""Ene @ aTysmwVI80"" (2151)",2026-03-30T14:00:02.911Z,177487920291101
"-- starting hand #200 (id: h3anvooyuqfd)  No Limit Texas Hold'em (dealer: ""mo' @ HvUX-t1f2L"") --",2026-03-30T14:00:02.911Z,177487920291100
"-- ending hand #199 --",2026-03-30T13:59:59.878Z,177487919987802
"""Ene @ aTysmwVI80"" collected 20 from pot",2026-03-30T13:59:59.878Z,177487919987801
"Uncalled bet of 10 returned to ""Ene @ aTysmwVI80""",2026-03-30T13:59:59.878Z,177487919987800
"""mo' @ HvUX-t1f2L"" folds",2026-03-30T13:59:59.068Z,177487919906800
"""engawa @ cCFXQyltQ-"" folds",2026-03-30T13:59:58.001Z,177487919800100
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-30T13:59:56.044Z,177487919604400
"""Ene @ aTysmwVI80"" posts a big blind of 20",2026-03-30T13:59:54.542Z,177487919454207
"""mo' @ HvUX-t1f2L"" posts a small blind of 10",2026-03-30T13:59:54.542Z,177487919454206
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (2589) | #3 ""engawa @ cCFXQyltQ-"" (2393) | #5 ""mo' @ HvUX-t1f2L"" (2789) | #6 ""Ene @ aTysmwVI80"" (2141)",2026-03-30T13:59:54.542Z,177487919454201
"-- starting hand #199 (id: uusugjluwcfn)  No Limit Texas Hold'em (dealer: ""engawa @ cCFXQyltQ-"") --",2026-03-30T13:59:54.542Z,177487919454200
"-- ending hand #198 --",2026-03-30T13:59:51.581Z,177487919158102
"""mo' @ HvUX-t1f2L"" collected 20 from pot",2026-03-30T13:59:51.581Z,177487919158101
"Uncalled bet of 10 returned to ""mo' @ HvUX-t1f2L""",2026-03-30T13:59:51.581Z,177487919158100
"""engawa @ cCFXQyltQ-"" folds",2026-03-30T13:59:50.764Z,177487919076400
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-30T13:59:49.741Z,177487918974100
"""Ene @ aTysmwVI80"" folds",2026-03-30T13:59:48.707Z,177487918870700
"""mo' @ HvUX-t1f2L"" posts a big blind of 20",2026-03-30T13:59:43.857Z,177487918385707
"""engawa @ cCFXQyltQ-"" posts a small blind of 10",2026-03-30T13:59:43.857Z,177487918385706
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (2589) | #3 ""engawa @ cCFXQyltQ-"" (2403) | #5 ""mo' @ HvUX-t1f2L"" (2779) | #6 ""Ene @ aTysmwVI80"" (2141)",2026-03-30T13:59:43.857Z,177487918385701
"-- starting hand #198 (id: yxlx5sfq7vmi)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-03-30T13:59:43.857Z,177487918385700
"-- ending hand #197 --",2026-03-30T13:59:40.934Z,177487918093402
"""mo' @ HvUX-t1f2L"" collected 50 from pot",2026-03-30T13:59:40.934Z,177487918093401
"Uncalled bet of 26 returned to ""mo' @ HvUX-t1f2L""",2026-03-30T13:59:40.934Z,177487918093400
