entry,at,order
"The player ""Guest @ IeTL6RBrxM"" passed the room ownership to ""翔斗 @ 4_RBXVU9-k"".",2026-03-30T14:05:57.105Z,177487955710500
"-- ending hand #194 --",2026-03-30T14:00:31.470Z,177487923147002
"""engawa @ cCFXQyltQ-"" collected 130 from pot",2026-03-30T14:00:31.470Z,177487923147001
"Uncalled bet of 60 returned to ""engawa @ cCFXQyltQ-""",2026-03-30T14:00:31.470Z,177487923147000
"""Noram @ DZezvMNAJy"" folds",2026-03-30T14:00:30.634Z,177487923063400
"The admin ""Guest @ IeTL6RBrxM"" enqueued the game stop on next hand.",2026-03-30T14:00:21.357Z,177487922135700
"""engawa @ cCFXQyltQ-"" bets 60",2026-03-30T14:00:02.738Z,177487920273800
"""Noram @ DZezvMNAJy"" checks",2026-03-30T13:59:59.620Z,177487919962000
"Flop:  [10♣, K♦, 10♠]",2026-03-30T13:59:57.863Z,177487919786300
"""Noram @ DZezvMNAJy"" calls 60",2026-03-30T13:59:57.042Z,177487919704200
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-30T13:59:51.568Z,177487919156800
"""engawa @ cCFXQyltQ-"" raises to 60",2026-03-30T13:59:50.559Z,177487919055900
"""AontheRiver @ 3xNTeMox_o"" folds",2026-03-30T13:59:48.043Z,177487918804300
"""Ene @ aTysmwVI80"" folds",2026-03-30T13:59:47.039Z,177487918703900
"""Noram @ DZezvMNAJy"" posts a big blind of 20",2026-03-30T13:59:36.253Z,177487917625309
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-03-30T13:59:36.253Z,177487917625308
"Player stacks: #5 ""Noram @ DZezvMNAJy"" (3221) | #6 ""Ene @ aTysmwVI80"" (2000) | #7 ""AontheRiver @ 3xNTeMox_o"" (2067) | #9 ""engawa @ cCFXQyltQ-"" (3150) | #10 ""翔斗 @ 4_RBXVU9-k"" (2946)",2026-03-30T13:59:36.253Z,177487917625302
"-- starting hand #194 (id: 9hcbut0t9bcb)  No Limit Texas Hold'em (dealer: ""engawa @ cCFXQyltQ-"") --",2026-03-30T13:59:36.253Z,177487917625301
"The admin updated the player ""Ene @ aTysmwVI80"" stack from 1600 to 2000.",2026-03-30T13:59:36.253Z,177487917625300
"-- ending hand #193 --",2026-03-30T13:59:33.327Z,177487917332702
"""AontheRiver @ 3xNTeMox_o"" collected 110 from pot",2026-03-30T13:59:33.327Z,177487917332701
"Uncalled bet of 150 returned to ""AontheRiver @ 3xNTeMox_o""",2026-03-30T13:59:33.327Z,177487917332700
"""翔斗 @ 4_RBXVU9-k"" folds",2026-03-30T13:59:32.436Z,177487917243600
"""AontheRiver @ 3xNTeMox_o"" bets 150",2026-03-30T13:59:30.176Z,177487917017600
"""翔斗 @ 4_RBXVU9-k"" checks",2026-03-30T13:59:16.621Z,177487915662100
"Flop:  [J♥, 8♦, 5♦]",2026-03-30T13:59:14.191Z,177487915419100
"""翔斗 @ 4_RBXVU9-k"" calls 50",2026-03-30T13:59:13.375Z,177487915337500
"""engawa @ cCFXQyltQ-"" folds",2026-03-30T13:59:07.020Z,177487914702000
