player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"arash!",PB93yGRdRr,2026-03-30T13:24:56.689Z,2026-03-30T14:03:04.617Z,3000,2770,0,-230
"Rabbit900",yEOnuJcBZo,2026-03-30T12:59:18.424Z,2026-03-30T14:00:55.951Z,2440,3487,0,1047
"RYOTA",SrJdWlcNBY,2026-03-30T12:02:15.417Z,2026-03-30T13:56:00.345Z,2080,2674,0,594
"とーち",xV3KBDal40,2026-03-30T11:36:57.573Z,2026-03-30T14:03:04.611Z,3718,2299,0,-1419
"Rabbit900",yEOnuJcBZo,2026-03-30T11:30:41.245Z,2026-03-30T12:36:46.644Z,2454,2360,0,-94
"AontheRiver",3xNTeMox_o,2026-03-30T11:30:20.490Z,2026-03-30T14:03:04.605Z,2730,4115,0,1385
"いっせ",6CojD__1gI,2026-03-30T11:30:20.485Z,2026-03-30T13:10:18.781Z,2185,2010,0,-175
"Noram",DZezvMNAJy,2026-03-30T11:30:20.488Z,2026-03-30T14:03:04.597Z,3468,2360,0,-1108
"ノガード",GgfRhPuspx,,2026-03-30T11:29:10.368Z,2500,2500,0,0
"ノガード",GgfRhPuspx,,2026-03-30T11:28:10.184Z,2500,2500,0,0
