player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"miki",-qEZ1CRvSu,2026-03-30T13:49:29.103Z,,3000,,2460,-540
"Neku",HZmCRZd6SG,2026-03-30T13:29:32.275Z,,2866,,2280,-586
"arash!",PB93yGRdRr,2026-03-30T13:23:26.829Z,,3000,,3215,215
"utos",g0yui9LXM4,2026-03-30T13:05:13.748Z,2026-03-30T13:46:42.862Z,3000,0,0,-3000
"Rabbit900",yEOnuJcBZo,2026-03-30T12:57:58.198Z,2026-03-30T14:00:25.386Z,2290,2282,0,-8
"カイン",SWAxv0e77m,2026-03-30T12:37:08.082Z,2026-03-30T13:01:59.421Z,3420,2465,0,-955
"Fuku",4Yga_zmdmi,2026-03-30T12:10:11.426Z,,2000,,3428,1428
"Takatobi",cS0TbNKfbn,2026-03-30T12:07:31.997Z,2026-03-30T13:15:23.725Z,3147,2000,0,-1147
"Noram",yLl7xf3KJQ,2026-03-30T11:35:46.364Z,,3000,4918,3110,5028
"Rabbit900",yEOnuJcBZo,2026-03-30T11:38:20.788Z,2026-03-30T12:35:24.748Z,2170,2267,0,97
"Futa",kVKTrcl3ld,2026-03-30T11:33:36.309Z,2026-03-30T12:14:35.409Z,2950,2845,0,-105
"ノガード",GgfRhPuspx,2026-03-30T11:33:36.307Z,2026-03-30T12:14:35.405Z,2902,2000,0,-902
"イナズマKすけ",3hUaqLSXt3,2026-03-30T11:33:36.312Z,2026-03-30T12:00:25.666Z,2105,2580,0,475
