entry,at,order
"The player ""Guest @ IeTL6RBrxM"" passed the room ownership to ""Noram @ yLl7xf3KJQ"".",2026-03-30T14:04:52.562Z,177487949256200
"The player ""Rabbit900 @ yEOnuJcBZo"" quits the game with a stack of 2282.",2026-03-30T14:00:25.380Z,177487922538000
"-- ending hand #193 --",2026-03-30T14:00:22.462Z,177487922246202
"""Fuku @ 4Yga_zmdmi"" collected 50 from pot",2026-03-30T14:00:22.462Z,177487922246201
"Uncalled bet of 25 returned to ""Fuku @ 4Yga_zmdmi""",2026-03-30T14:00:22.462Z,177487922246200
"""Noram @ yLl7xf3KJQ"" folds",2026-03-30T14:00:21.594Z,177487922159400
"""arash! @ PB93yGRdRr"" folds",2026-03-30T14:00:13.517Z,177487921351700
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-30T14:00:11.656Z,177487921165600
"""miki @ -qEZ1CRvSu"" folds",2026-03-30T14:00:10.824Z,177487921082400
"""Fuku @ 4Yga_zmdmi"" raises to 45",2026-03-30T14:00:09.764Z,177487920976400
"The admin ""Guest @ IeTL6RBrxM"" enqueued the game stop on next hand.",2026-03-30T14:00:02.708Z,177487920270800
"""Neku @ HZmCRZd6SG"" folds",2026-03-30T14:00:01.229Z,177487920122900
"""Noram @ yLl7xf3KJQ"" posts a big blind of 20",2026-03-30T13:59:59.398Z,177487919939809
"""arash! @ PB93yGRdRr"" posts a small blind of 10",2026-03-30T13:59:59.398Z,177487919939808
"Player stacks: #3 ""arash! @ PB93yGRdRr"" (3225) | #5 ""Noram @ yLl7xf3KJQ"" (3130) | #6 ""Neku @ HZmCRZd6SG"" (2280) | #8 ""Fuku @ 4Yga_zmdmi"" (3398) | #9 ""miki @ -qEZ1CRvSu"" (2460) | #10 ""Rabbit900 @ yEOnuJcBZo"" (2282)",2026-03-30T13:59:59.398Z,177487919939801
"-- starting hand #193 (id: spiybx2n9rxu)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-03-30T13:59:59.398Z,177487919939800
"-- ending hand #192 --",2026-03-30T13:59:53.385Z,177487919338503
"""arash! @ PB93yGRdRr"" collected 470 from pot with Two Pair, 9's & 3's (combination: A♦, 3♠, 3♣, 9♥, 9♠)",2026-03-30T13:59:53.385Z,177487919338502
"""arash! @ PB93yGRdRr"" shows a A♦, 9♥.",2026-03-30T13:59:53.385Z,177487919338501
"""miki @ -qEZ1CRvSu"" shows a K♦, 8♦.",2026-03-30T13:59:53.385Z,177487919338500
"""arash! @ PB93yGRdRr"" calls 180",2026-03-30T13:59:52.544Z,177487919254400
"""miki @ -qEZ1CRvSu"" bets 180",2026-03-30T13:59:40.780Z,177487918078000
"""arash! @ PB93yGRdRr"" checks",2026-03-30T13:59:18.017Z,177487915801700
"River: 3♠, 4♠, 3♣, 9♠ [7♠]",2026-03-30T13:59:13.717Z,177487915371700
"""miki @ -qEZ1CRvSu"" checks",2026-03-30T13:59:12.897Z,177487915289700
"""arash! @ PB93yGRdRr"" checks",2026-03-30T13:59:01.340Z,177487914134000
"Turn: 3♠, 4♠, 3♣ [9♠]",2026-03-30T13:58:47.744Z,177487912774400
"""miki @ -qEZ1CRvSu"" checks",2026-03-30T13:58:46.882Z,177487912688200
"""arash! @ PB93yGRdRr"" checks",2026-03-30T13:58:36.547Z,177487911654700
"Flop:  [3♠, 4♠, 3♣]",2026-03-30T13:58:29.953Z,177487910995300
"""arash! @ PB93yGRdRr"" calls 50",2026-03-30T13:58:29.117Z,177487910911700
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-30T13:58:25.050Z,177487910505000
"""miki @ -qEZ1CRvSu"" raises to 50",2026-03-30T13:58:10.893Z,177487909089300
"""Fuku @ 4Yga_zmdmi"" folds",2026-03-30T13:58:05.369Z,177487908536900
"""Neku @ HZmCRZd6SG"" folds",2026-03-30T13:58:04.009Z,177487908400900
"""Noram @ yLl7xf3KJQ"" folds",2026-03-30T13:58:02.995Z,177487908299500
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-03-30T13:58:00.738Z,177487908073809
"""Rabbit900 @ yEOnuJcBZo"" posts a small blind of 10",2026-03-30T13:58:00.738Z,177487908073808
"Player stacks: #3 ""arash! @ PB93yGRdRr"" (2985) | #5 ""Noram @ yLl7xf3KJQ"" (3130) | #6 ""Neku @ HZmCRZd6SG"" (2280) | #8 ""Fuku @ 4Yga_zmdmi"" (3398) | #9 ""miki @ -qEZ1CRvSu"" (2690) | #10 ""Rabbit900 @ yEOnuJcBZo"" (2292)",2026-03-30T13:58:00.738Z,177487908073801
"-- starting hand #192 (id: vwkwme008w15)  No Limit Texas Hold'em (dealer: ""miki @ -qEZ1CRvSu"") --",2026-03-30T13:58:00.738Z,177487908073800
"-- ending hand #191 --",2026-03-30T13:57:57.784Z,177487907778402
"""Fuku @ 4Yga_zmdmi"" collected 110 from pot",2026-03-30T13:57:57.784Z,177487907778401
