player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"miki",-qEZ1CRvSu,2026-03-30T13:49:52.603Z,,3000,3030,2942,2972
"Rabbit900",yEOnuJcBZo,2026-03-30T12:58:07.708Z,,2380,,2222,-158
"Ene",aTysmwVI80,2026-03-30T12:27:41.118Z,,2582,,2092,-490
"つー",bqEtnO6wX9,2026-03-30T12:10:56.670Z,2026-03-30T14:00:59.260Z,2500,2078,0,-422
"miki",R03vBbvDkA,2026-03-30T12:04:47.077Z,2026-03-30T13:11:35.356Z,3000,2575,0,-425
"TNT",DXrWVNkdav,2026-03-30T11:59:02.361Z,,3000,2425,3141,2566
"Ene",aTysmwVI80,2026-03-30T11:48:38.699Z,2026-03-30T12:23:35.198Z,2200,0,0,-2200
"Rabbit900",yEOnuJcBZo,2026-03-30T11:48:38.695Z,2026-03-30T12:35:20.748Z,2533,2622,0,89
"shunta",O1ujh7Dkxd,2026-03-30T11:48:38.701Z,,4251,319,2000,-1932
"ノガード",GgfRhPuspx,,2026-03-30T11:46:33.374Z,2000,2000,0,0
