entry,at,order
"The player ""Guest @ IeTL6RBrxM"" passed the room ownership to ""shunta @ O1ujh7Dkxd"".",2026-03-30T14:05:16.117Z,177487951611700
"The player ""つー @ bqEtnO6wX9"" quits the game with a stack of 2078.",2026-03-30T14:00:59.255Z,177487925925500
"The admin updated the player ""shunta @ O1ujh7Dkxd"" stack from 2255 to 2000.",2026-03-30T14:00:31.711Z,177487923171100
"-- ending hand #147 --",2026-03-30T14:00:25.708Z,177487922570802
"""shunta @ O1ujh7Dkxd"" collected 500 from pot with Two Pair, K's & 2's (combination: 7♥, 2♣, 2♥, K♣, K♠)",2026-03-30T14:00:25.708Z,177487922570801
"""shunta @ O1ujh7Dkxd"" shows a K♣, 2♣.",2026-03-30T14:00:25.708Z,177487922570800
"""つー @ bqEtnO6wX9"" calls 125",2026-03-30T14:00:24.866Z,177487922486600
"""shunta @ O1ujh7Dkxd"" bets 125",2026-03-30T14:00:15.115Z,177487921511500
"River: 7♥, 2♥, K♠, 4♠ [5♠]",2026-03-30T14:00:08.959Z,177487920895900
"""つー @ bqEtnO6wX9"" calls 75",2026-03-30T14:00:08.129Z,177487920812900
"The admin ""Guest @ IeTL6RBrxM"" enqueued the game stop on next hand.",2026-03-30T14:00:01.096Z,177487920109600
"""shunta @ O1ujh7Dkxd"" bets 75",2026-03-30T14:00:01.042Z,177487920104200
"Turn: 7♥, 2♥, K♠ [4♠]",2026-03-30T13:59:54.943Z,177487919494300
"""つー @ bqEtnO6wX9"" checks",2026-03-30T13:59:54.122Z,177487919412200
"""shunta @ O1ujh7Dkxd"" checks",2026-03-30T13:59:50.534Z,177487919053400
"Flop:  [7♥, 2♥, K♠]",2026-03-30T13:59:48.417Z,177487918841700
"""shunta @ O1ujh7Dkxd"" calls 45",2026-03-30T13:59:47.580Z,177487918758000
"""TNT @ DXrWVNkdav"" folds",2026-03-30T13:59:44.438Z,177487918443800
"""miki @ -qEZ1CRvSu"" folds",2026-03-30T13:59:43.304Z,177487918330400
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-30T13:59:35.921Z,177487917592100
"""Ene @ aTysmwVI80"" folds",2026-03-30T13:59:34.856Z,177487917485600
"""つー @ bqEtnO6wX9"" raises to 45",2026-03-30T13:59:33.674Z,177487917367400
"WARNING: the admin queued the stack change for the player ""shunta @ O1ujh7Dkxd"" reseting to 2000 chips in the next hand.",2026-03-30T13:59:29.464Z,177487916946400
"""shunta @ O1ujh7Dkxd"" posts a big blind of 20",2026-03-30T13:59:25.575Z,177487916557509
"""TNT @ DXrWVNkdav"" posts a small blind of 10",2026-03-30T13:59:25.575Z,177487916557508
"Player stacks: #1 ""Ene @ aTysmwVI80"" (2092) | #2 ""Rabbit900 @ yEOnuJcBZo"" (2222) | #6 ""miki @ -qEZ1CRvSu"" (2942) | #8 ""TNT @ DXrWVNkdav"" (3151) | #9 ""shunta @ O1ujh7Dkxd"" (2000) | #10 ""つー @ bqEtnO6wX9"" (2323)",2026-03-30T13:59:25.575Z,177487916557501
"-- starting hand #147 (id: ex9e1lfv0iae)  No Limit Texas Hold'em (dealer: ""miki @ -qEZ1CRvSu"") --",2026-03-30T13:59:25.575Z,177487916557500
"""TNT @ DXrWVNkdav"" shows a A♠, K♠.",2026-03-30T13:59:23.536Z,177487916353600
"-- ending hand #146 --",2026-03-30T13:59:21.968Z,177487916196802
"""TNT @ DXrWVNkdav"" collected 490 from pot",2026-03-30T13:59:21.968Z,177487916196801
"Uncalled bet of 2661 returned to ""TNT @ DXrWVNkdav""",2026-03-30T13:59:21.968Z,177487916196800
"""miki @ -qEZ1CRvSu"" folds",2026-03-30T13:59:21.162Z,177487916116200
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-30T13:59:20.129Z,177487916012900
"""TNT @ DXrWVNkdav"" raises to 2881 and go all in",2026-03-30T13:59:13.796Z,177487915379600
"""miki @ -qEZ1CRvSu"" raises to 220",2026-03-30T13:59:10.294Z,177487915029400
"""Rabbit900 @ yEOnuJcBZo"" raises to 50",2026-03-30T13:58:59.133Z,177487913913300
"""Ene @ aTysmwVI80"" folds",2026-03-30T13:58:40.550Z,177487912055000
"""つー @ bqEtnO6wX9"" folds",2026-03-30T13:58:39.527Z,177487911952700
"""shunta @ O1ujh7Dkxd"" folds",2026-03-30T13:58:38.457Z,177487911845700
"""TNT @ DXrWVNkdav"" posts a big blind of 20",2026-03-30T13:58:35.321Z,177487911532109
"""miki @ -qEZ1CRvSu"" posts a small blind of 10",2026-03-30T13:58:35.321Z,177487911532108
"Player stacks: #1 ""Ene @ aTysmwVI80"" (2092) | #2 ""Rabbit900 @ yEOnuJcBZo"" (2272) | #6 ""miki @ -qEZ1CRvSu"" (3162) | #8 ""TNT @ DXrWVNkdav"" (2881) | #9 ""shunta @ O1ujh7Dkxd"" (2000) | #10 ""つー @ bqEtnO6wX9"" (2323)",2026-03-30T13:58:35.321Z,177487911532101
"-- starting hand #146 (id: wthy5o8d6dgm)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-03-30T13:58:35.321Z,177487911532100
"-- ending hand #145 --",2026-03-30T13:58:32.353Z,177487911235302
"""miki @ -qEZ1CRvSu"" collected 20 from pot",2026-03-30T13:58:32.353Z,177487911235301
"Uncalled bet of 10 returned to ""miki @ -qEZ1CRvSu""",2026-03-30T13:58:32.353Z,177487911235300
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-03-30T13:58:31.521Z,177487911152100
