entry,at,order
"The player ""Guest @ IeTL6RBrxM"" passed the room ownership to ""ノガード @ GgfRhPuspx"".",2026-03-30T14:07:04.332Z,177487962433200
"The player ""SetsunaTrip @ O2b7zy1-XM"" quits the game with a stack of 2498.",2026-03-30T14:01:23.791Z,177487928379100
"The player ""Kay @ 5v7PwEvIAz"" quits the game with a stack of 2000.",2026-03-30T14:01:18.453Z,177487927845301
"The player ""つー @ bqEtnO6wX9"" quits the game with a stack of 2692.",2026-03-30T14:01:18.453Z,177487927845300
"-- ending hand #134 --",2026-03-30T14:01:15.524Z,177487927552402
"""SetsunaTrip @ O2b7zy1-XM"" collected 180 from pot",2026-03-30T14:01:15.524Z,177487927552401
"Uncalled bet of 120 returned to ""SetsunaTrip @ O2b7zy1-XM""",2026-03-30T14:01:15.524Z,177487927552400
"""Ene @ aTysmwVI80"" folds",2026-03-30T14:01:14.701Z,177487927470100
"""SetsunaTrip @ O2b7zy1-XM"" bets 120",2026-03-30T14:01:12.191Z,177487927219100
"""Ene @ aTysmwVI80"" checks",2026-03-30T14:01:04.284Z,177487926428400
"Turn: 4♠, 8♥, J♣ [6♠]",2026-03-30T14:01:02.303Z,177487926230300
"""Ene @ aTysmwVI80"" calls 35",2026-03-30T14:01:01.329Z,177487926132900
"""SetsunaTrip @ O2b7zy1-XM"" bets 35",2026-03-30T14:00:37.659Z,177487923765900
"""Ene @ aTysmwVI80"" checks",2026-03-30T14:00:30.109Z,177487923010900
"Flop:  [4♠, 8♥, J♣]",2026-03-30T14:00:24.380Z,177487922438000
"""Ene @ aTysmwVI80"" calls 50",2026-03-30T14:00:23.546Z,177487922354600
"The admin ""Guest @ IeTL6RBrxM"" enqueued the game stop on next hand.",2026-03-30T14:00:20.151Z,177487922015100
"""ノガード @ GgfRhPuspx"" folds",2026-03-30T14:00:18.379Z,177487921837900
"""SetsunaTrip @ O2b7zy1-XM"" raises to 50",2026-03-30T14:00:16.576Z,177487921657600
"""つー @ bqEtnO6wX9"" folds",2026-03-30T14:00:12.441Z,177487921244100
"""Kay @ 5v7PwEvIAz"" folds",2026-03-30T14:00:11.375Z,177487921137500
"""Ene @ aTysmwVI80"" posts a big blind of 20",2026-03-30T14:00:09.178Z,177487920917808
