player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"icchi_tot",mBLd8f4iH8,2025-04-18T14:38:46.397Z,,2000,,2367,367
"GIL RAIM",UT4L4l8_pF,2025-04-18T14:37:35.205Z,,4000,,1341,-2659
"konasho",5Bj_LObl5K,2025-04-18T14:11:35.645Z,,3000,,1826,-1174
"すぱんきぃ",d3qdAec9HQ,2025-04-18T14:09:56.140Z,,2000,,2220,220
"ヒイラギ",a16CWi-miN,2025-04-18T13:58:52.239Z,2025-04-18T14:01:41.465Z,2000,2000,0,0
"マツケン",l2KAc5TOeD,2025-04-18T13:50:48.764Z,,2000,,1603,-397
"パンドラ",pL49LPNYjQ,2025-04-18T13:39:55.440Z,2025-04-18T13:43:00.495Z,2000,1960,0,-40
"Hibari",WoUs1vEbz8,2025-04-18T13:05:10.134Z,2025-04-18T14:46:27.220Z,2800,4529,0,1729
"sigma",yHZrsG6l5j,2025-04-18T13:04:43.137Z,2025-04-18T13:09:15.720Z,2000,2000,0,0
"夏狼",MmKxE2jmJi,2025-04-18T13:04:43.132Z,2025-04-18T15:06:47.287Z,2000,5503,0,3503
"konaka",5Bj_LObl5K,2025-04-18T13:04:43.118Z,2025-04-18T14:09:56.138Z,3200,0,0,-3200
"らねおか",mxbIpuJKNk,2025-04-18T13:04:43.135Z,2025-04-18T13:18:18.566Z,2000,1865,0,-135
"すぱんきぃ",d3qdAec9HQ,2025-04-18T13:04:43.125Z,2025-04-18T14:07:31.646Z,2000,1770,0,-230
"ノガード",WtIP2AbI23,2025-04-18T13:04:43.109Z,2025-04-18T13:12:39.319Z,3000,2843,0,-157
"Hiiro",_MzXcG5lMv,2025-04-18T13:04:43.115Z,2025-04-18T15:06:47.284Z,2000,3642,0,1642
"teish",_VovX_t1K-,2025-04-18T13:04:43.112Z,2025-04-18T15:06:47.280Z,2000,2731,0,731
"arash!",3XxnU4oJw0,2025-04-18T13:04:43.121Z,,2000,,1800,-200
