entry,at,order
"""konasho @ 5Bj_LObl5K"" folds",2025-04-18T15:10:18.632Z,174498901863200
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-04-18T15:06:49.098Z,174498880909800
"""GIL RAIM @ UT4L4l8_pF"" posts a big blind of 20",2025-04-18T15:06:47.272Z,174498880727214
"""マツケン @ l2KAc5TOeD"" posts a small blind of 10",2025-04-18T15:06:47.272Z,174498880727213
"Your hand is 6♣, 2♥",2025-04-18T15:06:47.272Z,174498880727209
"Player stacks: #1 ""konasho @ 5Bj_LObl5K"" (1826) | #4 ""icchi_tot @ mBLd8f4iH8"" (2367) | #5 ""arash! @ 3XxnU4oJw0"" (1800) | #6 ""すぱんきぃ @ d3qdAec9HQ"" (2220) | #8 ""マツケン @ l2KAc5TOeD"" (1603) | #10 ""GIL RAIM @ UT4L4l8_pF"" (1341)",2025-04-18T15:06:47.272Z,174498880727206
"-- starting hand #118 (id: yen8zkohzoch)  (No Limit Texas Hold'em) (dead button) --",2025-04-18T15:06:47.272Z,174498880727205
"The player ""夏狼 @ MmKxE2jmJi"" quits the game with a stack of 3503.",2025-04-18T15:06:47.272Z,174498880727204
"The player ""Hiiro @ _MzXcG5lMv"" quits the game with a stack of 3642.",2025-04-18T15:06:47.272Z,174498880727203
"The player ""teish @ _VovX_t1K-"" quits the game with a stack of 2731.",2025-04-18T15:06:47.272Z,174498880727202
"The player ""Hiiro @ _MzXcG5lMv"" stand up with the stack of 3642.",2025-04-18T15:06:47.272Z,174498880727201
"The admin updated the player ""夏狼 @ MmKxE2jmJi"" stack from 4503 to 3503.",2025-04-18T15:06:47.272Z,174498880727200
"-- ending hand #117 --",2025-04-18T15:06:44.354Z,174498880435402
"""arash! @ 3XxnU4oJw0"" collected 330 from pot",2025-04-18T15:06:44.354Z,174498880435401
"Uncalled bet of 80 returned to ""arash! @ 3XxnU4oJw0""",2025-04-18T15:06:44.354Z,174498880435400
"""icchi_tot @ mBLd8f4iH8"" folds",2025-04-18T15:06:43.515Z,174498880351500
"""arash! @ 3XxnU4oJw0"" bets 80",2025-04-18T15:06:08.231Z,174498876823100
"""icchi_tot @ mBLd8f4iH8"" checks",2025-04-18T15:05:53.535Z,174498875353500
"Flop:  [J♦, 4♥, A♣]",2025-04-18T15:05:50.653Z,174498875065300
"""icchi_tot @ mBLd8f4iH8"" calls 150",2025-04-18T15:05:49.844Z,174498874984400
"""マツケン @ l2KAc5TOeD"" folds",2025-04-18T15:05:43.972Z,174498874397200
"""夏狼 @ MmKxE2jmJi"" folds",2025-04-18T15:05:42.845Z,174498874284500
"""すぱんきぃ @ d3qdAec9HQ"" folds",2025-04-18T15:05:40.165Z,174498874016500
"""arash! @ 3XxnU4oJw0"" raises to 150",2025-04-18T15:05:27.851Z,174498872785100
"""icchi_tot @ mBLd8f4iH8"" raises to 45",2025-04-18T15:05:20.457Z,174498872045700
"WARNING: the admin queued the stack change for the player ""夏狼 @ MmKxE2jmJi"" removing 1000 chips in the next hand.",2025-04-18T15:05:19.114Z,174498871911400
"""Hiiro @ _MzXcG5lMv"" folds",2025-04-18T15:05:15.458Z,174498871545800
"""teish @ _VovX_t1K-"" folds",2025-04-18T15:05:14.448Z,174498871444800
