player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"take",MOu3OETQYg,2025-04-18T14:45:48.928Z,,2000,,3878,1878
"Take",YjGTbGW9jK,2025-04-18T14:38:25.902Z,2025-04-18T14:43:10.217Z,2000,2000,0,0
"ヒイラギ",a16CWi-miN,2025-04-18T14:04:00.476Z,,2000,,2989,989
"パンドラ",pL49LPNYjQ,2025-04-18T13:44:36.182Z,,2595,,2060,-535
"megau",R_CyJXdyUV,2025-04-18T13:34:45.315Z,2025-04-18T14:50:10.519Z,3000,2506,0,-494
"らねおか!",mxbIpuJKNk,2025-04-18T13:20:01.390Z,,2000,,1992,-8
"arash!",3XxnU4oJw0,2025-04-18T13:17:08.303Z,2025-04-18T14:43:10.213Z,2000,3332,0,1332
"ノガード",WtIP2AbI23,2025-04-18T13:17:08.306Z,,4050,1002,2000,-1048
"Hibari!",WoUs1vEbz8,2025-04-18T13:17:08.296Z,,3786,,2015,-1771
"sigma",yHZrsG6l5j,2025-04-18T13:17:08.292Z,,2000,,1657,-343
