entry,at,order
"The player ""チェカ @ WMCgqUGQC3"" quits the game with a stack of 3184.",2025-04-21T14:05:21.598Z,174524432159800
"The player ""チェカ @ WMCgqUGQC3"" stand up with the stack of 3184.",2025-04-21T14:05:16.504Z,174524431650400
"The player ""とりん @ hTmKIbNOgU"" quits the game with a stack of 5329.",2025-04-21T14:04:44.046Z,174524428404600
"The player ""GIL RAIM @ UT4L4l8_pF"" stand up with the stack of 736.",2025-04-21T14:03:46.834Z,174524422683400
"""Ene @ 7kPHYByVxS"" shows a 7♠, 7♣.",2025-04-21T14:03:44.106Z,174524422410600
"""ノガード @ WtIP2AbI23"" shows a A♣, 8♠.",2025-04-21T14:03:43.711Z,174524422371100
"-- ending hand #230 --",2025-04-21T14:03:42.517Z,174524422251702
"""Ene @ 7kPHYByVxS"" collected 150 from pot",2025-04-21T14:03:42.517Z,174524422251701
"Uncalled bet of 150 returned to ""Ene @ 7kPHYByVxS""",2025-04-21T14:03:42.517Z,174524422251700
"""ノガード @ WtIP2AbI23"" folds",2025-04-21T14:03:41.668Z,174524422166800
"""Ene @ 7kPHYByVxS"" bets 150",2025-04-21T14:03:24.273Z,174524420427300
"""ノガード @ WtIP2AbI23"" checks",2025-04-21T14:02:58.657Z,174524417865700
"Turn: 2♠, 6♠, 4♦ [K♥]",2025-04-21T14:02:45.158Z,174524416515800
"""Ene @ 7kPHYByVxS"" calls 30",2025-04-21T14:02:44.336Z,174524416433600
"""ノガード @ WtIP2AbI23"" bets 30",2025-04-21T14:01:51.546Z,174524411154600
"Flop:  [2♠, 6♠, 4♦]",2025-04-21T14:01:39.206Z,174524409920600
"""ノガード @ WtIP2AbI23"" calls 40",2025-04-21T14:01:38.375Z,174524409837500
"""GIL RAIM @ UT4L4l8_pF"" folds",2025-04-21T14:01:33.182Z,174524409318200
"""arash! @ 3XxnU4oJw0"" folds",2025-04-21T14:01:32.084Z,174524409208400
"""チェカ @ WMCgqUGQC3"" folds",2025-04-21T14:01:31.068Z,174524409106800
"""Ene @ 7kPHYByVxS"" raises to 40",2025-04-21T14:01:29.557Z,174524408955700
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-04-21T14:01:26.382Z,174524408638200
"""とりん @ hTmKIbNOgU"" folds",2025-04-21T14:01:24.663Z,174524408466300
"""ノガード @ WtIP2AbI23"" posts a big blind of 20",2025-04-21T14:01:22.251Z,174524408225110
"""GIL RAIM @ UT4L4l8_pF"" posts a small blind of 10",2025-04-21T14:01:22.251Z,174524408225109
"Your hand is 3♣, 8♣",2025-04-21T14:01:22.251Z,174524408225103
