player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"megau",gjiEZFeA5n,2025-04-21T13:31:23.037Z,2025-04-21T14:00:27.136Z,2500,2930,0,430
"cheep",slkZ1a7tQQ,2025-04-21T12:27:16.081Z,2025-04-21T13:44:27.822Z,2000,0,0,-2000
"cheep",slkZ1a7tQQ,2025-04-21T12:20:30.772Z,2025-04-21T12:26:40.346Z,2000,0,0,-2000
"teishi",_VovX_t1K-,2025-04-21T12:11:51.769Z,2025-04-21T14:00:27.131Z,3210,1970,0,-1240
"'A'",NnZvVXUwZ4,2025-04-21T12:07:13.365Z,,2000,3310,2530,3840
"らねおか",mxbIpuJKNk,2025-04-21T11:59:22.001Z,2025-04-21T13:59:16.656Z,2000,4170,0,2170
"Agu",Figi6mUf2R,2025-04-21T11:49:54.149Z,,3000,,3460,460
"ナカツ",LCoaWJgWNI,2025-04-21T11:34:30.345Z,2025-04-21T11:40:03.462Z,2000,0,0,-2000
"ノガード",WtIP2AbI23,2025-04-21T11:33:43.042Z,2025-04-21T13:23:43.403Z,2400,4472,0,2072
"arash!",OkLShdB9P8,2025-04-21T11:31:25.014Z,2025-04-21T12:59:42.374Z,2000,1735,0,-265
"すぱんきぃ",d3qdAec9HQ,2025-04-21T11:29:56.009Z,2025-04-21T13:59:39.748Z,2000,4625,0,2625
"らねおか",mxbIpuJKNk,2025-04-21T11:29:56.014Z,2025-04-21T11:55:38.803Z,2000,0,0,-2000
"Hibari",WoUs1vEbz8,2025-04-21T11:29:56.012Z,2025-04-21T12:25:23.378Z,3627,37,0,-3590
"sigma",yHZrsG6l5j,2025-04-21T11:29:56.016Z,,2000,,3498,1498
