player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"arash!",3XxnU4oJw0,2025-05-01T13:38:13.387Z,,3000,,3563,563
"GIL RAIM",Oo-rx1G24B,2025-05-01T13:20:57.135Z,2025-05-01T14:01:56.231Z,2000,2400,0,400
"さけ",dH3ubepFPM,2025-05-01T12:22:27.526Z,,3000,,1242,-1758
"すぱんきぃ",hOuy3mTnpb,2025-05-01T11:53:54.140Z,2025-05-01T13:21:54.820Z,3000,3123,0,123
"とーち",hig4fvwo_m,2025-05-01T11:14:51.467Z,2025-05-01T11:32:35.337Z,2000,2100,0,100
"夏狼",MmKxE2jmJi,2025-05-01T11:13:48.499Z,,3299,,4173,874
"GIL RAIM",Oo-rx1G24B,2025-05-01T11:05:47.311Z,2025-05-01T13:15:20.315Z,2000,4440,0,2440
"megau",gjiEZFeA5n,2025-05-01T11:06:18.457Z,,4795,4908,2525,2638
"ばどえあー",Ji_JkhdQ8C,2025-05-01T11:03:59.485Z,,2890,,1699,-1191
"NABO",HJCe0qCFpd,2025-05-01T11:03:59.484Z,2025-05-01T11:32:35.333Z,2000,2520,0,520
"チェカ",3aqPmjP81p,2025-05-01T11:03:59.487Z,2025-05-01T14:02:28.539Z,3522,2323,0,-1199
"arash!",3XxnU4oJw0,2025-05-01T11:03:59.482Z,2025-05-01T13:36:33.675Z,3510,0,0,-3510
