entry,at,order
"The player ""チェカ @ 3aqPmjP81p"" quits the game with a stack of 2323.",2025-05-01T14:02:28.536Z,174610814853600
"The player ""GIL RAIM @ Oo-rx1G24B"" quits the game with a stack of 2400.",2025-05-01T14:01:56.227Z,174610811622700
"""GIL RAIM @ Oo-rx1G24B"" shows a A♣, 7♣.",2025-05-01T14:01:45.091Z,174610810509100
"-- ending hand #156 --",2025-05-01T14:01:42.896Z,174610810289602
"""GIL RAIM @ Oo-rx1G24B"" collected 130 from pot",2025-05-01T14:01:42.896Z,174610810289601
"Uncalled bet of 65 returned to ""GIL RAIM @ Oo-rx1G24B""",2025-05-01T14:01:42.896Z,174610810289600
"""arash! @ 3XxnU4oJw0"" folds",2025-05-01T14:01:42.046Z,174610810204600
"""GIL RAIM @ Oo-rx1G24B"" bets 65",2025-05-01T14:01:38.655Z,174610809865500
"Turn: 9♦, 5♣, 10♥ [6♣]",2025-05-01T14:01:29.757Z,174610808975700
"""arash! @ 3XxnU4oJw0"" checks",2025-05-01T14:01:28.943Z,174610808894300
"""GIL RAIM @ Oo-rx1G24B"" checks",2025-05-01T14:01:24.892Z,174610808489200
"Flop:  [9♦, 5♣, 10♥]",2025-05-01T14:01:20.079Z,174610808007900
"""GIL RAIM @ Oo-rx1G24B"" calls 60",2025-05-01T14:01:19.235Z,174610807923500
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-05-01T14:01:13.611Z,174610807361100
"""夏狼 @ MmKxE2jmJi"" folds",2025-05-01T14:01:13.434Z,174610807343400
"""ばどえあー @ Ji_JkhdQ8C"" folds",2025-05-01T14:01:12.342Z,174610807234200
"""さけ @ dH3ubepFPM"" folds",2025-05-01T14:01:10.952Z,174610807095200
"""arash! @ 3XxnU4oJw0"" raises to 60",2025-05-01T14:01:09.882Z,174610806988200
"""megau @ gjiEZFeA5n"" folds",2025-05-01T14:01:06.204Z,174610806620400
"""チェカ @ 3aqPmjP81p"" folds",2025-05-01T14:01:03.417Z,174610806341700
"""GIL RAIM @ Oo-rx1G24B"" posts a big blind of 20",2025-05-01T14:01:00.912Z,174610806091210
"""夏狼 @ MmKxE2jmJi"" posts a small blind of 10",2025-05-01T14:01:00.912Z,174610806091209
"Your hand is K♥, 2♥",2025-05-01T14:01:00.912Z,174610806091202
"Player stacks: #1 ""arash! @ 3XxnU4oJw0"" (3623) | #3 ""さけ @ dH3ubepFPM"" (1242) | #4 ""ばどえあー @ Ji_JkhdQ8C"" (1699) | #5 ""夏狼 @ MmKxE2jmJi"" (4183) | #6 ""GIL RAIM @ Oo-rx1G24B"" (2330) | #9 ""チェカ @ 3aqPmjP81p"" (2323) | #10 ""megau @ gjiEZFeA5n"" (2525)",2025-05-01T14:01:00.912Z,174610806091201
"-- starting hand #156 (id: gdiiluqpepaa)  (No Limit Texas Hold'em) (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2025-05-01T14:01:00.912Z,174610806091200
"-- ending hand #155 --",2025-05-01T14:00:54.863Z,174610805486302
"""夏狼 @ MmKxE2jmJi"" collected 500 from pot with Two Pair, J's & 9's (combination: J♦, J♣, 9♦, 9♥, Q♠)",2025-05-01T14:00:54.863Z,174610805486301
"""夏狼 @ MmKxE2jmJi"" shows a Q♠, J♦.",2025-05-01T14:00:54.863Z,174610805486300
"""チェカ @ 3aqPmjP81p"" checks",2025-05-01T14:00:53.976Z,174610805397600
"""夏狼 @ MmKxE2jmJi"" checks",2025-05-01T14:00:48.913Z,174610804891300
"River: J♣, 5♣, 9♦, 9♥ [4♠]",2025-05-01T14:00:46.255Z,174610804625500
"""夏狼 @ MmKxE2jmJi"" calls 125",2025-05-01T14:00:45.408Z,174610804540800
