player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"すぱんきぃ",hOuy3mTnpb,2025-05-01T13:23:40.124Z,2025-05-01T14:02:14.436Z,3000,2810,0,-190
"konasho",6A8RjkqsNg,2025-05-01T12:56:30.934Z,2025-05-01T14:02:14.432Z,2675,2195,0,-480
"Ramune",pRENwyA9LY,2025-05-01T11:46:49.256Z,2025-05-01T13:16:38.435Z,2504,1880,0,-624
"A.",NnZvVXUwZ4,2025-05-01T11:41:21.357Z,2025-05-01T13:16:38.431Z,2000,743,0,-1257
"らねおか",XaClitYV1x,2025-05-01T11:25:15.021Z,2025-05-01T11:32:57.949Z,2400,2340,0,-60
"mo'",-WgKDrZMvL,2025-05-01T11:17:30.601Z,2025-05-01T12:55:39.809Z,2583,2304,0,-279
"IAMB",gjmiQ4-uAW,2025-05-01T11:09:06.933Z,2025-05-01T11:33:21.964Z,2000,2112,0,112
"Hibari",WoUs1vEbz8,2025-05-01T11:04:49.158Z,,2715,,3222,507
"パンドラ",pL49LPNYjQ,2025-05-01T11:04:49.162Z,2025-05-01T14:02:14.428Z,2000,3782,0,1782
"sigma",yHZrsG6l5j,2025-05-01T11:04:49.156Z,,2220,2642,1875,2297
"ノガード",WtIP2AbI23,2025-05-01T11:04:49.153Z,2025-05-01T14:02:14.425Z,5843,3690,0,-2153
"teish",_VovX_t1K-,2025-05-01T11:04:49.164Z,2025-05-01T11:35:21.210Z,2000,2345,0,345
