entry,at,order
"The admin ""sigma @ yHZrsG6l5j"" enqueued the game stop on next hand.",2025-05-01T14:02:48.779Z,174610816877900
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-05-01T14:02:14.422Z,174610813442210
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-05-01T14:02:14.422Z,174610813442209
"Your hand is 5♣, 10♣",2025-05-01T14:02:14.422Z,174610813442207
"Player stacks: #5 ""sigma @ yHZrsG6l5j"" (1875) | #7 ""Hibari @ WoUs1vEbz8"" (3222)",2025-05-01T14:02:14.422Z,174610813442206
"-- starting hand #174 (id: 86cx6mhjegqc)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-05-01T14:02:14.422Z,174610813442205
"The player ""すぱんきぃ @ hOuy3mTnpb"" quits the game with a stack of 2810.",2025-05-01T14:02:14.422Z,174610813442204
"The player ""konasho @ 6A8RjkqsNg"" quits the game with a stack of 2195.",2025-05-01T14:02:14.422Z,174610813442203
"The player ""パンドラ @ pL49LPNYjQ"" quits the game with a stack of 3782.",2025-05-01T14:02:14.422Z,174610813442202
"The player ""ノガード @ WtIP2AbI23"" quits the game with a stack of 1980.",2025-05-01T14:02:14.422Z,174610813442201
"The player ""すぱんきぃ @ hOuy3mTnpb"" stand up with the stack of 2810.",2025-05-01T14:02:14.422Z,174610813442200
"""Hibari @ WoUs1vEbz8"" shows a 8♣, 8♠.",2025-05-01T14:02:12.713Z,174610813271300
"-- ending hand #173 --",2025-05-01T14:02:10.816Z,174610813081602
"""Hibari @ WoUs1vEbz8"" collected 260 from pot",2025-05-01T14:02:10.816Z,174610813081601
"Uncalled bet of 340 returned to ""Hibari @ WoUs1vEbz8""",2025-05-01T14:02:10.816Z,174610813081600
"""sigma @ yHZrsG6l5j"" folds",2025-05-01T14:02:10.005Z,174610813000500
"""Hibari @ WoUs1vEbz8"" bets 340",2025-05-01T14:01:57.663Z,174610811766300
"""sigma @ yHZrsG6l5j"" checks",2025-05-01T14:01:29.628Z,174610808962800
"Turn: 8♦, Q♣, 9♦ [2♠]",2025-05-01T14:01:23.394Z,174610808339400
"""sigma @ yHZrsG6l5j"" calls 65",2025-05-01T14:01:22.588Z,174610808258800
"""Hibari @ WoUs1vEbz8"" bets 65",2025-05-01T14:01:03.507Z,174610806350700
"""sigma @ yHZrsG6l5j"" checks",2025-05-01T14:00:41.609Z,174610804160900
"Flop:  [8♦, Q♣, 9♦]",2025-05-01T14:00:14.954Z,174610801495400
"""ノガード @ WtIP2AbI23"" folds",2025-05-01T14:00:14.141Z,174610801414100
"""すぱんきぃ @ hOuy3mTnpb"" folds",2025-05-01T14:00:12.391Z,174610801239100
"""konasho @ 6A8RjkqsNg"" folds",2025-05-01T14:00:11.336Z,174610801133600
"""パンドラ @ pL49LPNYjQ"" folds",2025-05-01T14:00:10.147Z,174610801014700
"""Hibari @ WoUs1vEbz8"" calls 50",2025-05-01T14:00:09.080Z,174610800908000
"""sigma @ yHZrsG6l5j"" raises to 50",2025-05-01T14:00:02.544Z,174610800254400
"""ノガード @ WtIP2AbI23"" posts a big blind of 20",2025-05-01T13:59:59.240Z,174610799924009
"""すぱんきぃ @ hOuy3mTnpb"" posts a small blind of 10",2025-05-01T13:59:59.240Z,174610799924008
"Your hand is A♣, 10♦",2025-05-01T13:59:59.240Z,174610799924004
"Player stacks: #1 ""すぱんきぃ @ hOuy3mTnpb"" (2820) | #3 ""ノガード @ WtIP2AbI23"" (2000) | #5 ""sigma @ yHZrsG6l5j"" (1990) | #7 ""Hibari @ WoUs1vEbz8"" (3077) | #8 ""パンドラ @ pL49LPNYjQ"" (3782) | #10 ""konasho @ 6A8RjkqsNg"" (2195)",2025-05-01T13:59:59.240Z,174610799924001
"-- starting hand #173 (id: cywjqmh691ln)  (No Limit Texas Hold'em) (dealer: ""konasho @ 6A8RjkqsNg"") --",2025-05-01T13:59:59.240Z,174610799924000
"-- ending hand #172 --",2025-05-01T13:59:56.310Z,174610799631002
"""すぱんきぃ @ hOuy3mTnpb"" collected 110 from pot",2025-05-01T13:59:56.310Z,174610799631001
"Uncalled bet of 20 returned to ""すぱんきぃ @ hOuy3mTnpb""",2025-05-01T13:59:56.310Z,174610799631000
"""パンドラ @ pL49LPNYjQ"" folds",2025-05-01T13:59:55.468Z,174610799546800
"""すぱんきぃ @ hOuy3mTnpb"" bets 20",2025-05-01T13:59:39.891Z,174610797989100
"Turn: K♥, 3♥, 5♠ [6♦]",2025-05-01T13:59:33.375Z,174610797337500
"""パンドラ @ pL49LPNYjQ"" checks",2025-05-01T13:59:32.530Z,174610797253000
"""すぱんきぃ @ hOuy3mTnpb"" checks",2025-05-01T13:59:23.044Z,174610796304400
"Flop:  [K♥, 3♥, 5♠]",2025-05-01T13:59:17.564Z,174610795756400
"""すぱんきぃ @ hOuy3mTnpb"" calls 50",2025-05-01T13:59:16.741Z,174610795674100
"""konasho @ 6A8RjkqsNg"" folds",2025-05-01T13:59:11.520Z,174610795152000
"""パンドラ @ pL49LPNYjQ"" raises to 50",2025-05-01T13:59:10.363Z,174610795036300
"""Hibari @ WoUs1vEbz8"" folds",2025-05-01T13:59:06.096Z,174610794609600
"""sigma @ yHZrsG6l5j"" folds",2025-05-01T13:59:05.006Z,174610794500600
"""ノガード @ WtIP2AbI23"" folds",2025-05-01T13:59:03.014Z,174610794301400
"""すぱんきぃ @ hOuy3mTnpb"" posts a big blind of 20",2025-05-01T13:59:01.036Z,174610794103610
"""konasho @ 6A8RjkqsNg"" posts a small blind of 10",2025-05-01T13:59:01.036Z,174610794103609
"Your hand is 2♦, 6♠",2025-05-01T13:59:01.036Z,174610794103605
"Player stacks: #1 ""すぱんきぃ @ hOuy3mTnpb"" (2760) | #3 ""ノガード @ WtIP2AbI23"" (2000) | #5 ""sigma @ yHZrsG6l5j"" (1990) | #7 ""Hibari @ WoUs1vEbz8"" (3077) | #8 ""パンドラ @ pL49LPNYjQ"" (3832) | #10 ""konasho @ 6A8RjkqsNg"" (2205)",2025-05-01T13:59:01.036Z,174610794103602
"-- starting hand #172 (id: k10qbbcqkzny)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ pL49LPNYjQ"") --",2025-05-01T13:59:01.036Z,174610794103601
"The admin updated the player ""ノガード @ WtIP2AbI23"" stack from 1348 to 2000.",2025-05-01T13:59:01.036Z,174610794103600
"-- ending hand #171 --",2025-05-01T13:58:58.117Z,174610793811702
"""konasho @ 6A8RjkqsNg"" collected 220 from pot",2025-05-01T13:58:58.117Z,174610793811701
"Uncalled bet of 125 returned to ""konasho @ 6A8RjkqsNg""",2025-05-01T13:58:58.117Z,174610793811700
"""Hibari @ WoUs1vEbz8"" folds",2025-05-01T13:58:57.309Z,174610793730900
"""konasho @ 6A8RjkqsNg"" raises to 180",2025-05-01T13:58:44.866Z,174610792486600
"""Hibari @ WoUs1vEbz8"" bets 55",2025-05-01T13:58:21.668Z,174610790166800
"""konasho @ 6A8RjkqsNg"" checks",2025-05-01T13:58:06.451Z,174610788645100
"Flop:  [J♥, 8♦, 7♥]",2025-05-01T13:58:03.764Z,174610788376400
"""konasho @ 6A8RjkqsNg"" calls 50",2025-05-01T13:58:02.953Z,174610788295300
"""パンドラ @ pL49LPNYjQ"" folds",2025-05-01T13:57:59.430Z,174610787943000
"""Hibari @ WoUs1vEbz8"" raises to 50",2025-05-01T13:57:57.725Z,174610787772500
"""sigma @ yHZrsG6l5j"" folds",2025-05-01T13:57:48.020Z,174610786802000
"WARNING: the admin queued the stack change for the player ""ノガード @ WtIP2AbI23"" reseting to 2000 chips in the next hand.",2025-05-01T13:57:43.851Z,174610786385100
"""ノガード @ WtIP2AbI23"" folds",2025-05-01T13:57:38.680Z,174610785868000
