entry,at,order
"The player ""arash! @ 3XxnU4oJw0"" quits the game with a stack of 1850.",2025-05-01T13:16:37.560Z,174610539756000
"The player ""shiozuka1121 @ Zp6HGuC8yK"" quits the game with a stack of 2782.",2025-05-01T13:16:04.150Z,174610536415001
"The player ""とーち @ hig4fvwo_m"" quits the game with a stack of 2264.",2025-05-01T13:16:04.150Z,174610536415000
"-- ending hand #112 --",2025-05-01T13:16:01.238Z,174610536123802
"""shiozuka1121 @ Zp6HGuC8yK"" collected 20 from pot",2025-05-01T13:16:01.238Z,174610536123801
"Uncalled bet of 10 returned to ""shiozuka1121 @ Zp6HGuC8yK""",2025-05-01T13:16:01.238Z,174610536123800
"""とーち @ hig4fvwo_m"" folds",2025-05-01T13:16:00.394Z,174610536039400
"""shiozuka1121 @ Zp6HGuC8yK"" posts a big blind of 20",2025-05-01T13:16:00.129Z,174610536012910
"""とーち @ hig4fvwo_m"" posts a small blind of 10",2025-05-01T13:16:00.129Z,174610536012909
"Player stacks: #3 ""shiozuka1121 @ Zp6HGuC8yK"" (2772) | #10 ""とーち @ hig4fvwo_m"" (2274)",2025-05-01T13:16:00.129Z,174610536012906
"-- starting hand #112 (id: k830ecbrxnxu)  (No Limit Texas Hold'em) (dealer: ""とーち @ hig4fvwo_m"") --",2025-05-01T13:16:00.129Z,174610536012905
"The player ""chiffon1468 @ vXP8icbeHh"" quits the game with a stack of 2380.",2025-05-01T13:16:00.129Z,174610536012904
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 2280.",2025-05-01T13:16:00.129Z,174610536012903
"The player ""NABO @ HJCe0qCFpd"" quits the game with a stack of 1915.",2025-05-01T13:16:00.129Z,174610536012902
"The player ""IAMB @ gjmiQ4-uAW"" quits the game with a stack of 1866.",2025-05-01T13:16:00.129Z,174610536012901
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 2735.",2025-05-01T13:16:00.129Z,174610536012900
"-- ending hand #111 --",2025-05-01T13:15:57.080Z,174610535708002
"""shiozuka1121 @ Zp6HGuC8yK"" collected 270 from pot",2025-05-01T13:15:57.080Z,174610535708001
"Uncalled bet of 135 returned to ""shiozuka1121 @ Zp6HGuC8yK""",2025-05-01T13:15:57.080Z,174610535708000
"""とーち @ hig4fvwo_m"" folds",2025-05-01T13:15:56.235Z,174610535623500
"""shiozuka1121 @ Zp6HGuC8yK"" bets 135",2025-05-01T13:15:34.290Z,174610533429000
"""とーち @ hig4fvwo_m"" checks",2025-05-01T13:15:02.823Z,174610530282300
"Flop:  [4♣, 6♦, K♦]",2025-05-01T13:14:56.601Z,174610529660100
