entry,at,order
"The player ""shiozuka1121 @ Zp6HGuC8yK"" quits the game with a stack of 1163.",2025-05-01T14:00:49.367Z,174610804936700
"The player ""NABO @ HJCe0qCFpd"" quits the game with a stack of 1833.",2025-05-01T14:00:37.863Z,174610803786306
"The player ""とーち @ hig4fvwo_m"" quits the game with a stack of 2010.",2025-05-01T14:00:37.863Z,174610803786305
"The player ""chiffon1468 @ CsHt4-HRYF"" quits the game with a stack of 2090.",2025-05-01T14:00:37.863Z,174610803786304
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 2585.",2025-05-01T14:00:37.863Z,174610803786303
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 2457.",2025-05-01T14:00:37.863Z,174610803786302
"The player ""IAMB @ gjmiQ4-uAW"" quits the game with a stack of 4167.",2025-05-01T14:00:37.863Z,174610803786301
"The player ""teish @ 4kHSZklLpK"" quits the game with a stack of 2558.",2025-05-01T14:00:37.863Z,174610803786300
"-- ending hand #36 --",2025-05-01T14:00:34.960Z,174610803496002
"""chiffon1468 @ CsHt4-HRYF"" collected 20 from pot",2025-05-01T14:00:34.960Z,174610803496001
"Uncalled bet of 10 returned to ""chiffon1468 @ CsHt4-HRYF""",2025-05-01T14:00:34.960Z,174610803496000
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-05-01T14:00:34.155Z,174610803415500
"""IAMB @ gjmiQ4-uAW"" folds",2025-05-01T14:00:33.122Z,174610803312200
"""teish @ 4kHSZklLpK"" folds",2025-05-01T14:00:32.112Z,174610803211200
"""らねおか @ XaClitYV1x"" folds",2025-05-01T14:00:31.259Z,174610803125900
"""とーち @ hig4fvwo_m"" folds",2025-05-01T14:00:30.445Z,174610803044500
"""NABO @ HJCe0qCFpd"" folds",2025-05-01T14:00:29.609Z,174610802960900
"""Ene @ 7kPHYByVxS"" folds",2025-05-01T14:00:20.681Z,174610802068100
"""chiffon1468 @ CsHt4-HRYF"" posts a big blind of 20",2025-05-01T14:00:19.481Z,174610801948111
"""shiozuka1121 @ Zp6HGuC8yK"" posts a small blind of 10",2025-05-01T14:00:19.481Z,174610801948110
"Player stacks: #1 ""teish @ 4kHSZklLpK"" (2558) | #2 ""IAMB @ gjmiQ4-uAW"" (4167) | #3 ""shiozuka1121 @ Zp6HGuC8yK"" (1173) | #4 ""chiffon1468 @ CsHt4-HRYF"" (2080) | #6 ""Ene @ 7kPHYByVxS"" (2457) | #7 ""NABO @ HJCe0qCFpd"" (1833) | #9 ""とーち @ hig4fvwo_m"" (2010) | #10 ""らねおか @ XaClitYV1x"" (2585)",2025-05-01T14:00:19.481Z,174610801948101
"-- starting hand #36 (id: kkercbtxqohy)  (No Limit Texas Hold'em) (dealer: ""IAMB @ gjmiQ4-uAW"") --",2025-05-01T14:00:19.481Z,174610801948100
"-- ending hand #35 --",2025-05-01T14:00:16.553Z,174610801655302
"""chiffon1468 @ CsHt4-HRYF"" collected 130 from pot",2025-05-01T14:00:16.553Z,174610801655301
"Uncalled bet of 40 returned to ""chiffon1468 @ CsHt4-HRYF""",2025-05-01T14:00:16.553Z,174610801655300
"""Ene @ 7kPHYByVxS"" folds",2025-05-01T14:00:15.702Z,174610801570200
"""chiffon1468 @ CsHt4-HRYF"" bets 40",2025-05-01T14:00:14.513Z,174610801451300
"Flop:  [6♥, 9♥, J♣]",2025-05-01T14:00:03.084Z,174610800308400
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-05-01T14:00:02.202Z,174610800220200
"""IAMB @ gjmiQ4-uAW"" folds",2025-05-01T14:00:00.939Z,174610800093900
"""teish @ 4kHSZklLpK"" folds",2025-05-01T13:59:59.917Z,174610799991700
"""らねおか @ XaClitYV1x"" folds",2025-05-01T13:59:58.906Z,174610799890600
"""とーち @ hig4fvwo_m"" folds",2025-05-01T13:59:56.839Z,174610799683900
"""NABO @ HJCe0qCFpd"" folds",2025-05-01T13:59:55.737Z,174610799573700
"""Ene @ 7kPHYByVxS"" calls 50",2025-05-01T13:59:54.702Z,174610799470200
"""chiffon1468 @ CsHt4-HRYF"" raises to 50",2025-05-01T13:59:52.901Z,174610799290100
"""shiozuka1121 @ Zp6HGuC8yK"" posts a big blind of 20",2025-05-01T13:59:45.861Z,174610798586111
"""IAMB @ gjmiQ4-uAW"" posts a small blind of 10",2025-05-01T13:59:45.861Z,174610798586110
