player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"megau",gjiEZFeA5n,2025-05-10T13:11:26.218Z,2025-05-10T14:04:10.375Z,3000,2270,0,-730
"すぱんきぃ",hOuy3mTnpb,2025-05-10T13:12:03.954Z,2025-05-10T14:04:15.475Z,3000,2385,0,-615
"すぱんきぃ",hOuy3mTnpb,2025-05-10T12:34:34.356Z,2025-05-10T13:09:35.825Z,3000,0,0,-3000
"やましー",jnTTcStDrh,2025-05-10T11:18:42.176Z,2025-05-10T11:19:09.487Z,2000,2000,0,0
"ノエル",5AisPL3v5D,2025-05-10T11:00:30.163Z,2025-05-10T14:12:47.494Z,3570,8470,0,4900
"さとうき",XvV199EQBF,2025-05-10T11:00:30.165Z,2025-05-10T14:04:10.955Z,2000,3935,0,1935
"ほたるいか",6weTfFBYpF,2025-05-10T11:00:30.171Z,,2000,,3904,1904
"とーち",hig4fvwo_m,2025-05-10T11:00:30.167Z,2025-05-10T14:04:11.509Z,2810,1675,0,-1135
"gatari",X9OF-Yj_Hy,2025-05-10T11:00:30.169Z,2025-05-10T11:19:09.484Z,3520,1990,0,-1530
"ノガード",WtIP2AbI23,,2025-05-10T10:55:49.458Z,2500,2500,0,0
"GIL RAIM",Oo-rx1G24B,2025-05-10T11:00:30.173Z,2025-05-10T13:43:56.197Z,6429,0,0,-6429
"arash!",3XxnU4oJw0,2025-05-10T11:00:30.160Z,,2420,4000,3120,4700
