player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"megau",gjiEZFeA5n,2025-05-10T12:57:19.361Z,2025-05-10T14:04:22.061Z,3000,3246,0,246
"IAMB",gjmiQ4-uAW,2025-05-10T12:53:12.779Z,2025-05-10T14:04:22.057Z,2400,2650,0,250
"SHINJI1223",BRDCChrSqf,2025-05-10T11:46:22.098Z,2025-05-10T12:52:06.487Z,2000,0,0,-2000
"ねくと",ghJwIbOflM,2025-05-10T11:40:37.455Z,2025-05-10T14:04:11.707Z,3000,6809,0,3809
"take",MOu3OETQYg,2025-05-10T11:14:11.251Z,2025-05-10T11:38:45.994Z,2000,1785,0,-215
"SHINJI",Myjf_oObsg,2025-05-10T11:13:30.420Z,2025-05-10T11:46:22.095Z,2000,2260,0,260
"らねおか",XaClitYV1x,2025-05-10T11:07:15.840Z,2025-05-10T11:19:39.015Z,2400,2010,0,-390
"konasho",6A8RjkqsNg,2025-05-10T11:03:57.858Z,2025-05-10T14:04:11.703Z,2000,2400,0,400
"Sabosuke",WfPoY7Y1jo,2025-05-10T11:03:19.887Z,2025-05-10T14:04:11.699Z,3281,2090,0,-1191
"Hibari",WoUs1vEbz8,2025-05-10T11:03:19.877Z,2025-05-10T14:04:11.694Z,3000,3254,0,254
"arash!",3XxnU4oJw0,2025-05-10T11:03:19.879Z,,2000,,2497,497
"ノガード",WtIP2AbI23,2025-05-10T11:03:19.881Z,2025-05-10T11:18:07.752Z,2500,2350,0,-150
"ばどえあー",Ji_JkhdQ8C,2025-05-10T11:03:19.884Z,2025-05-10T14:04:11.691Z,3870,2100,0,-1770
