entry,at,order
"The player ""Hibari @ WoUs1vEbz8"" passed the room ownership to ""arash! @ 3XxnU4oJw0"".",2025-05-10T14:09:00.626Z,174688614062600
"The player ""megau @ gjiEZFeA5n"" quits the game with a stack of 3246.",2025-05-10T14:04:22.054Z,174688586205401
"The player ""IAMB @ gjmiQ4-uAW"" quits the game with a stack of 2650.",2025-05-10T14:04:22.054Z,174688586205400
"-- ending hand #226 --",2025-05-10T14:04:19.146Z,174688585914602
"""IAMB @ gjmiQ4-uAW"" collected 20 from pot",2025-05-10T14:04:19.146Z,174688585914601
"Uncalled bet of 10 returned to ""IAMB @ gjmiQ4-uAW""",2025-05-10T14:04:19.146Z,174688585914600
"""megau @ gjiEZFeA5n"" folds",2025-05-10T14:04:18.340Z,174688585834000
"""IAMB @ gjmiQ4-uAW"" posts a big blind of 20",2025-05-10T14:04:11.686Z,174688585168611
"""megau @ gjiEZFeA5n"" posts a small blind of 10",2025-05-10T14:04:11.686Z,174688585168610
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (2640) | #9 ""megau @ gjiEZFeA5n"" (3256)",2025-05-10T14:04:11.686Z,174688585168607
"-- starting hand #226 (id: cq2h3q1vclcr)  (No Limit Texas Hold'em) (dealer: ""megau @ gjiEZFeA5n"") --",2025-05-10T14:04:11.686Z,174688585168606
"The player ""ねくと @ ghJwIbOflM"" quits the game with a stack of 3169.",2025-05-10T14:04:11.686Z,174688585168605
"The player ""konasho @ 6A8RjkqsNg"" quits the game with a stack of 2400.",2025-05-10T14:04:11.686Z,174688585168604
"The player ""Sabosuke @ WfPoY7Y1jo"" quits the game with a stack of 2090.",2025-05-10T14:04:11.686Z,174688585168603
"The player ""Hibari @ WoUs1vEbz8"" quits the game with a stack of 3254.",2025-05-10T14:04:11.686Z,174688585168602
"The player ""ばどえあー @ Ji_JkhdQ8C"" quits the game with a stack of 2100.",2025-05-10T14:04:11.686Z,174688585168601
"The player ""ねくと @ ghJwIbOflM"" stand up with the stack of 3169.",2025-05-10T14:04:11.686Z,174688585168600
"""IAMB @ gjmiQ4-uAW"" shows a 6♣, 6♥.",2025-05-10T14:04:08.680Z,174688584868000
"-- ending hand #225 --",2025-05-10T14:04:08.045Z,174688584804502
"""megau @ gjiEZFeA5n"" collected 460 from pot",2025-05-10T14:04:08.045Z,174688584804501
"Uncalled bet of 345 returned to ""megau @ gjiEZFeA5n""",2025-05-10T14:04:08.045Z,174688584804500
"""IAMB @ gjmiQ4-uAW"" folds",2025-05-10T14:04:07.201Z,174688584720100
"""megau @ gjiEZFeA5n"" bets 345",2025-05-10T14:03:52.619Z,174688583261900
"Flop:  [Q♥, J♣, A♥]",2025-05-10T14:03:27.397Z,174688580739700
"""IAMB @ gjmiQ4-uAW"" calls 220",2025-05-10T14:03:26.542Z,174688580654200
"""Sabosuke @ WfPoY7Y1jo"" folds",2025-05-10T14:03:17.772Z,174688579777200
"""megau @ gjiEZFeA5n"" raises to 220",2025-05-10T14:03:16.110Z,174688579611000
"""ばどえあー @ Ji_JkhdQ8C"" folds",2025-05-10T14:03:01.626Z,174688578162600
"""ねくと @ ghJwIbOflM"" folds",2025-05-10T14:02:59.726Z,174688577972600
"""Hibari @ WoUs1vEbz8"" folds",2025-05-10T14:02:58.665Z,174688577866500
"""IAMB @ gjmiQ4-uAW"" raises to 40",2025-05-10T14:02:57.546Z,174688577754600
"""konasho @ 6A8RjkqsNg"" folds",2025-05-10T14:02:51.131Z,174688577113100
"""Sabosuke @ WfPoY7Y1jo"" posts a big blind of 20",2025-05-10T14:02:42.362Z,174688576236210
"""megau @ gjiEZFeA5n"" posts a small blind of 10",2025-05-10T14:02:42.362Z,174688576236209
"Player stacks: #1 ""konasho @ 6A8RjkqsNg"" (2400) | #2 ""IAMB @ gjmiQ4-uAW"" (2860) | #3 ""Hibari @ WoUs1vEbz8"" (3254) | #4 ""ねくと @ ghJwIbOflM"" (3169) | #7 ""ばどえあー @ Ji_JkhdQ8C"" (2100) | #9 ""megau @ gjiEZFeA5n"" (3016) | #10 ""Sabosuke @ WfPoY7Y1jo"" (2110)",2025-05-10T14:02:42.362Z,174688576236201
"-- starting hand #225 (id: 2wjl5wsdovez)  (No Limit Texas Hold'em) (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2025-05-10T14:02:42.362Z,174688576236200
"-- ending hand #224 --",2025-05-10T14:02:39.446Z,174688575944602
"""Hibari @ WoUs1vEbz8"" collected 50 from pot",2025-05-10T14:02:39.446Z,174688575944601
"Uncalled bet of 25 returned to ""Hibari @ WoUs1vEbz8""",2025-05-10T14:02:39.446Z,174688575944600
"""megau @ gjiEZFeA5n"" folds",2025-05-10T14:02:38.599Z,174688575859900
"""ばどえあー @ Ji_JkhdQ8C"" folds",2025-05-10T14:02:30.062Z,174688575006200
"""ねくと @ ghJwIbOflM"" folds",2025-05-10T14:02:28.155Z,174688574815500
"""Hibari @ WoUs1vEbz8"" raises to 45",2025-05-10T14:02:27.124Z,174688574712400
"""IAMB @ gjmiQ4-uAW"" folds",2025-05-10T14:02:22.158Z,174688574215800
"""konasho @ 6A8RjkqsNg"" folds",2025-05-10T14:02:21.137Z,174688574113700
"""Sabosuke @ WfPoY7Y1jo"" folds",2025-05-10T14:02:19.887Z,174688573988700
"""megau @ gjiEZFeA5n"" posts a big blind of 20",2025-05-10T14:02:18.347Z,174688573834710
"""ばどえあー @ Ji_JkhdQ8C"" posts a small blind of 10",2025-05-10T14:02:18.347Z,174688573834709
"Player stacks: #1 ""konasho @ 6A8RjkqsNg"" (2400) | #2 ""IAMB @ gjmiQ4-uAW"" (2860) | #3 ""Hibari @ WoUs1vEbz8"" (3224) | #4 ""ねくと @ ghJwIbOflM"" (3169) | #7 ""ばどえあー @ Ji_JkhdQ8C"" (2110) | #9 ""megau @ gjiEZFeA5n"" (3036) | #10 ""Sabosuke @ WfPoY7Y1jo"" (2110)",2025-05-10T14:02:18.347Z,174688573834701
"-- starting hand #224 (id: pkmjf4t60mtk)  (No Limit Texas Hold'em) (dealer: ""ねくと @ ghJwIbOflM"") --",2025-05-10T14:02:18.347Z,174688573834700
"-- ending hand #223 --",2025-05-10T14:02:15.430Z,174688573543002
"""ねくと @ ghJwIbOflM"" collected 40 from pot",2025-05-10T14:02:15.430Z,174688573543001
"Uncalled bet of 40 returned to ""ねくと @ ghJwIbOflM""",2025-05-10T14:02:15.430Z,174688573543000
"""ばどえあー @ Ji_JkhdQ8C"" folds",2025-05-10T14:02:14.609Z,174688573460900
"""ねくと @ ghJwIbOflM"" raises to 60",2025-05-10T14:02:11.626Z,174688573162600
"""Hibari @ WoUs1vEbz8"" folds",2025-05-10T14:02:08.597Z,174688572859700
"""IAMB @ gjmiQ4-uAW"" folds",2025-05-10T14:02:07.456Z,174688572745600
"""konasho @ 6A8RjkqsNg"" folds",2025-05-10T14:02:06.446Z,174688572644600
"""Sabosuke @ WfPoY7Y1jo"" folds",2025-05-10T14:02:03.490Z,174688572349000
"""megau @ gjiEZFeA5n"" folds",2025-05-10T14:02:02.591Z,174688572259100
"""ばどえあー @ Ji_JkhdQ8C"" posts a big blind of 20",2025-05-10T14:02:00.852Z,174688572085210
"""ねくと @ ghJwIbOflM"" posts a small blind of 10",2025-05-10T14:02:00.852Z,174688572085209
"Player stacks: #1 ""konasho @ 6A8RjkqsNg"" (2400) | #2 ""IAMB @ gjmiQ4-uAW"" (2860) | #3 ""Hibari @ WoUs1vEbz8"" (3224) | #4 ""ねくと @ ghJwIbOflM"" (3149) | #7 ""ばどえあー @ Ji_JkhdQ8C"" (2130) | #9 ""megau @ gjiEZFeA5n"" (3036) | #10 ""Sabosuke @ WfPoY7Y1jo"" (2110)",2025-05-10T14:02:00.852Z,174688572085201
"-- starting hand #223 (id: mp5jmqycqnhv)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-05-10T14:02:00.852Z,174688572085200
"-- ending hand #222 --",2025-05-10T14:01:57.926Z,174688571792602
"""IAMB @ gjmiQ4-uAW"" collected 50 from pot",2025-05-10T14:01:57.926Z,174688571792601
"Uncalled bet of 37 returned to ""IAMB @ gjmiQ4-uAW""",2025-05-10T14:01:57.926Z,174688571792600
