player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"パンドラ",pL49LPNYjQ,2025-05-10T12:43:07.851Z,2025-05-10T14:06:40.604Z,3000,4313,0,1313
"okbokujo",UHNPbgw1ue,2025-05-10T12:19:57.016Z,,2000,,1550,-450
"okbokujo",UHNPbgw1ue,2025-05-10T12:10:47.200Z,2025-05-10T12:15:07.929Z,2000,2000,0,0
"ひよこ",Azd0RN65Iq,2025-05-10T11:41:49.104Z,2025-05-10T14:03:22.997Z,2000,0,0,-2000
"pip",skYzxaAyaI,2025-05-10T11:24:53.859Z,2025-05-10T14:06:54.536Z,3396,3250,0,-146
"arash!",OkLShdB9P8,2025-05-10T11:24:00.465Z,,2530,,2935,405
"らねおか",XaClitYV1x,2025-05-10T11:21:54.157Z,,3295,,3800,505
"やましー",jnTTcStDrh,2025-05-10T11:21:54.161Z,2025-05-10T11:58:18.606Z,2540,2110,0,-430
"gatari",X9OF-Yj_Hy,2025-05-10T11:21:54.163Z,,2000,,2090,90
"ノガード",WtIP2AbI23,2025-05-10T11:21:54.159Z,2025-05-10T14:07:14.205Z,2500,3213,0,713
