player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"GIL RAIM",Oo-rx1G24B,2025-05-18T13:12:27.596Z,2025-05-18T14:02:31.981Z,3005,2150,0,-855
"カイン",fcHKjLeyz-,2025-05-18T13:06:45.382Z,2025-05-18T14:02:07.969Z,2500,2335,0,-165
"ラプラス",koNAhDji4V,2025-05-18T12:29:31.033Z,2025-05-18T14:02:08.595Z,2000,3766,0,1766
"megau",gjiEZFeA5n,2025-05-18T12:13:26.701Z,,3000,1320,2790,1110
"らねおか",XaClitYV1x,2025-05-18T12:12:03.727Z,2025-05-18T13:03:45.659Z,3000,3824,0,824
"poker_nyan",d_vJScRZgf,2025-05-18T11:59:09.265Z,2025-05-18T12:06:16.410Z,3000,2970,0,-30
"ぼくだよ",cLX91bDIBI,2025-05-18T11:38:42.743Z,2025-05-18T14:02:03.572Z,2000,4107,0,2107
"ラプラス",koNAhDji4V,2025-05-18T11:34:52.154Z,2025-05-18T12:26:14.790Z,2000,0,0,-2000
"夏狼",8psSgSmta4,2025-05-18T11:08:59.878Z,,5787,3167,1783,-837
"Tatsu",6bgsUOKu84,2025-05-18T11:07:43.946Z,2025-05-18T11:12:12.031Z,2000,2000,0,0
"GIL RAIM",Oo-rx1G24B,2025-05-18T11:01:25.302Z,2025-05-18T13:06:45.378Z,3320,1310,0,-2010
"Sabosuke",YcXdKAaJF2,2025-05-18T11:00:16.984Z,2025-05-18T12:03:39.951Z,2000,2315,0,315
"ほたるいか",6weTfFBYpF,2025-05-18T11:00:16.982Z,2025-05-18T11:37:36.745Z,2000,1759,0,-241
"とーち",IilnNqke4Y,,2025-05-18T10:56:55.732Z,2000,2000,0,0
"gatari",X9OF-Yj_Hy,2025-05-18T11:00:16.981Z,2025-05-18T14:01:51.243Z,3233,1337,0,-1896
"チェカ",3aqPmjP81p,2025-05-18T11:00:16.978Z,2025-05-18T11:29:34.681Z,2000,2131,0,131
"arash!",3XxnU4oJw0,2025-05-18T11:00:16.976Z,,3301,2001,3081,1781
