entry,at,order
"The player ""GIL RAIM @ Oo-rx1G24B"" quits the game with a stack of 2150.",2025-05-18T14:02:31.979Z,174757695197900
"The player ""ラプラス @ koNAhDji4V"" quits the game with a stack of 3766.",2025-05-18T14:02:08.593Z,174757692859300
"The player ""カイン @ fcHKjLeyz-"" quits the game with a stack of 2335.",2025-05-18T14:02:07.966Z,174757692796600
"The player ""ぼくだよ @ cLX91bDIBI"" quits the game with a stack of 2347.",2025-05-18T14:02:03.569Z,174757692356900
"The player ""gatari @ X9OF-Yj_Hy"" quits the game with a stack of 1337.",2025-05-18T14:01:51.241Z,174757691124101
"The player ""gatari @ X9OF-Yj_Hy"" stand up with the stack of 1337.",2025-05-18T14:01:51.241Z,174757691124100
"-- ending hand #196 --",2025-05-18T14:01:45.238Z,174757690523802
"""arash! @ 3XxnU4oJw0"" collected 100 from pot with Two Pair, Q's & 2's (combination: Q♠, Q♥, 2♠, 2♥, 8♠)",2025-05-18T14:01:45.238Z,174757690523801
"""arash! @ 3XxnU4oJw0"" shows a 2♠, 2♥.",2025-05-18T14:01:45.238Z,174757690523800
"""夏狼 @ 8psSgSmta4"" checks",2025-05-18T14:01:44.422Z,174757690442200
"""arash! @ 3XxnU4oJw0"" checks",2025-05-18T14:01:38.995Z,174757689899500
"River: Q♠, 7♥, 4♣, 8♠ [Q♥]",2025-05-18T14:01:36.902Z,174757689690200
"""夏狼 @ 8psSgSmta4"" checks",2025-05-18T14:01:36.087Z,174757689608700
"""arash! @ 3XxnU4oJw0"" checks",2025-05-18T14:01:27.641Z,174757688764100
"Turn: Q♠, 7♥, 4♣ [8♠]",2025-05-18T14:01:25.422Z,174757688542200
"""夏狼 @ 8psSgSmta4"" checks",2025-05-18T14:01:24.602Z,174757688460200
"""arash! @ 3XxnU4oJw0"" checks",2025-05-18T14:01:15.577Z,174757687557700
"Flop:  [Q♠, 7♥, 4♣]",2025-05-18T14:01:14.091Z,174757687409100
"""arash! @ 3XxnU4oJw0"" calls 45",2025-05-18T14:01:13.284Z,174757687328400
"""ラプラス @ koNAhDji4V"" folds",2025-05-18T14:01:11.785Z,174757687178500
"""ぼくだよ @ cLX91bDIBI"" folds",2025-05-18T14:01:10.690Z,174757687069000
"""夏狼 @ 8psSgSmta4"" raises to 45",2025-05-18T14:01:09.364Z,174757686936400
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-05-18T14:01:06.813Z,174757686681300
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-05-18T14:01:04.953Z,174757686495300
"""カイン @ fcHKjLeyz-"" folds",2025-05-18T14:01:02.040Z,174757686204000
"""megau @ gjiEZFeA5n"" folds",2025-05-18T14:01:00.956Z,174757686095600
"""gatari @ X9OF-Yj_Hy"" folds",2025-05-18T14:00:59.856Z,174757685985600
"""arash! @ 3XxnU4oJw0"" posts a big blind of 20",2025-05-18T14:00:58.845Z,174757685884511
"""ラプラス @ koNAhDji4V"" posts a small blind of 10",2025-05-18T14:00:58.845Z,174757685884510
"Your hand is 2♠, 2♥",2025-05-18T14:00:58.845Z,174757685884502
