player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Ene",7kPHYByVxS,2025-05-18T12:46:11.548Z,2025-05-18T14:00:56.650Z,2000,2610,0,610
"すぱんきぃ",hOuy3mTnpb,2025-05-18T11:39:58.685Z,,5418,,3259,-2159
"Tatsu",6bgsUOKu84,2025-05-18T11:09:59.491Z,,4830,2090,1977,-763
"さけ",2CLiV4BYSI,2025-05-18T11:07:01.419Z,,4325,3095,3955,2725
"Hibari",WoUs1vEbz8,2025-05-18T11:05:30.241Z,2025-05-18T11:41:09.260Z,3000,2900,0,-100
"waho",NfjopgdY_L,2025-05-18T11:05:02.032Z,,3160,2676,2568,2084
"arash!",3XxnU4oJw0,2025-05-18T11:01:18.498Z,,2000,,1790,-210
"さとうき",XvV199EQBF,2025-05-18T11:00:29.492Z,2025-05-18T12:45:25.149Z,2095,0,0,-2095
"teish",_VovX_t1K-,2025-05-18T11:00:29.490Z,2025-05-18T11:31:05.978Z,2790,4070,0,1280
"とーち",hig4fvwo_m,2025-05-18T11:00:29.488Z,2025-05-18T14:01:09.891Z,2322,1535,0,-787
"ノガード",WtIP2AbI23,2025-05-18T11:00:29.486Z,,3265,,2680,-585
