entry,at,order
"The player ""とーち @ hig4fvwo_m"" quits the game with a stack of 1535.",2025-05-18T14:01:09.887Z,174757686988700
"The player ""すぱんきぃ @ hOuy3mTnpb"" stand up with the stack of 3259.",2025-05-18T14:00:57.587Z,174757685758700
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 2610.",2025-05-18T14:00:56.646Z,174757685664600
"""すぱんきぃ @ hOuy3mTnpb"" shows a 8♦, 3♥.",2025-05-18T14:00:51.473Z,174757685147300
"""さけ @ 2CLiV4BYSI"" shows a K♦.",2025-05-18T14:00:50.783Z,174757685078300
"""とーち @ hig4fvwo_m"" shows a A♦, 8♥.",2025-05-18T14:00:50.618Z,174757685061800
"""さけ @ 2CLiV4BYSI"" shows a 7♠.",2025-05-18T14:00:49.902Z,174757684990200
"""waho @ NfjopgdY_L"" shows a 10♣, 5♠.",2025-05-18T14:00:48.544Z,174757684854400
"""Ene @ 7kPHYByVxS"" shows a J♣, 7♦.",2025-05-18T14:00:48.116Z,174757684811600
"""ノガード @ WtIP2AbI23"" shows a 7♣, A♥.",2025-05-18T14:00:47.964Z,174757684796400
"-- ending hand #176 --",2025-05-18T14:00:46.621Z,174757684662102
"""ノガード @ WtIP2AbI23"" collected 20 from pot",2025-05-18T14:00:46.621Z,174757684662101
"Uncalled bet of 10 returned to ""ノガード @ WtIP2AbI23""",2025-05-18T14:00:46.621Z,174757684662100
"""Tatsu @ 6bgsUOKu84"" folds",2025-05-18T14:00:45.795Z,174757684579500
"""さけ @ 2CLiV4BYSI"" folds",2025-05-18T14:00:43.963Z,174757684396300
"The admin ""ノガード @ WtIP2AbI23"" enqueued the game stop on next hand.",2025-05-18T14:00:43.324Z,174757684332400
"""すぱんきぃ @ hOuy3mTnpb"" folds",2025-05-18T14:00:36.152Z,174757683615200
"""Ene @ 7kPHYByVxS"" folds",2025-05-18T14:00:35.078Z,174757683507800
"""waho @ NfjopgdY_L"" folds",2025-05-18T14:00:33.968Z,174757683396800
"""とーち @ hig4fvwo_m"" folds",2025-05-18T14:00:32.624Z,174757683262400
"""ノガード @ WtIP2AbI23"" posts a big blind of 20",2025-05-18T14:00:29.426Z,174757682942610
"""Tatsu @ 6bgsUOKu84"" posts a small blind of 10",2025-05-18T14:00:29.426Z,174757682942609
"Player stacks: #1 ""ノガード @ WtIP2AbI23"" (2670) | #2 ""とーち @ hig4fvwo_m"" (1535) | #3 ""waho @ NfjopgdY_L"" (2568) | #6 ""Ene @ 7kPHYByVxS"" (2610) | #7 ""すぱんきぃ @ hOuy3mTnpb"" (3259) | #8 ""さけ @ 2CLiV4BYSI"" (3955) | #9 ""Tatsu @ 6bgsUOKu84"" (1987)",2025-05-18T14:00:29.426Z,174757682942601
"-- starting hand #176 (id: g2xhzazfi7m6)  (No Limit Texas Hold'em) (dealer: ""さけ @ 2CLiV4BYSI"") --",2025-05-18T14:00:29.426Z,174757682942600
