entry,at,order
"The player ""Hibari @ WoUs1vEbz8"" quits the game with a stack of 2805.",2025-05-18T14:05:51.698Z,174757715169800
"The player ""teish @ _VovX_t1K-"" quits the game with a stack of 2845.",2025-05-18T14:03:38.291Z,174757701829100
"The player ""Agu @ Figi6mUf2R"" quits the game with a stack of 2435.",2025-05-18T14:03:03.047Z,174757698304700
"-- ending hand #156 --",2025-05-18T14:02:55.923Z,174757697592302
"""パンドラ @ pL49LPNYjQ"" collected 50 from pot",2025-05-18T14:02:55.923Z,174757697592301
"Uncalled bet of 30 returned to ""パンドラ @ pL49LPNYjQ""",2025-05-18T14:02:55.923Z,174757697592300
"""Agu @ Figi6mUf2R"" folds",2025-05-18T14:02:55.116Z,174757697511600
"""らねおか @ XaClitYV1x"" folds",2025-05-18T14:02:54.083Z,174757697408300
"""パンドラ @ pL49LPNYjQ"" raises to 50",2025-05-18T14:02:52.752Z,174757697275200
"""teish @ _VovX_t1K-"" folds",2025-05-18T14:02:46.568Z,174757696656800
"""Hibari @ WoUs1vEbz8"" folds",2025-05-18T14:02:45.531Z,174757696553100
"""pip. @ _XGiKpJkGh"" folds",2025-05-18T14:02:44.503Z,174757696450300
"""Tmsan. @ Jpm3fUR8V3"" folds",2025-05-18T14:02:43.457Z,174757696345700
"The admin ""らねおか @ XaClitYV1x"" enqueued the game stop on next hand.",2025-05-18T14:02:36.757Z,174757695675700
"""Agu @ Figi6mUf2R"" posts a big blind of 20",2025-05-18T14:02:27.491Z,174757694749110
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-05-18T14:02:27.491Z,174757694749109
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2773) | #3 ""Agu @ Figi6mUf2R"" (2455) | #4 ""Tmsan. @ Jpm3fUR8V3"" (2263) | #5 ""pip. @ _XGiKpJkGh"" (1422) | #6 ""Hibari @ WoUs1vEbz8"" (2805) | #8 ""teish @ _VovX_t1K-"" (2845) | #9 ""パンドラ @ pL49LPNYjQ"" (3164)",2025-05-18T14:02:27.491Z,174757694749101
"-- starting hand #156 (id: k27vmgwhlfuw)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ pL49LPNYjQ"") --",2025-05-18T14:02:27.491Z,174757694749100
"""teish @ _VovX_t1K-"" shows a A♠, A♣.",2025-05-18T14:02:26.463Z,174757694646300
"-- ending hand #155 --",2025-05-18T14:02:23.866Z,174757694386602
"""teish @ _VovX_t1K-"" collected 50 from pot",2025-05-18T14:02:23.866Z,174757694386601
"Uncalled bet of 30 returned to ""teish @ _VovX_t1K-""",2025-05-18T14:02:23.866Z,174757694386600
"""らねおか @ XaClitYV1x"" folds",2025-05-18T14:02:23.061Z,174757694306100
"""パンドラ @ pL49LPNYjQ"" folds",2025-05-18T14:02:22.016Z,174757694201600
"""teish @ _VovX_t1K-"" raises to 50",2025-05-18T14:02:20.526Z,174757694052600
"""Hibari @ WoUs1vEbz8"" folds",2025-05-18T14:02:16.324Z,174757693632400
"""pip. @ _XGiKpJkGh"" folds",2025-05-18T14:02:15.208Z,174757693520800
"""Tmsan. @ Jpm3fUR8V3"" folds",2025-05-18T14:02:14.144Z,174757693414400
"""Agu @ Figi6mUf2R"" folds",2025-05-18T14:02:13.059Z,174757693305900
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-05-18T14:02:09.584Z,174757692958410
"""パンドラ @ pL49LPNYjQ"" posts a small blind of 10",2025-05-18T14:02:09.584Z,174757692958409
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2793) | #3 ""Agu @ Figi6mUf2R"" (2455) | #4 ""Tmsan. @ Jpm3fUR8V3"" (2263) | #5 ""pip. @ _XGiKpJkGh"" (1422) | #6 ""Hibari @ WoUs1vEbz8"" (2805) | #8 ""teish @ _VovX_t1K-"" (2815) | #9 ""パンドラ @ pL49LPNYjQ"" (3174)",2025-05-18T14:02:09.584Z,174757692958401
"-- starting hand #155 (id: wkicuzbijt2b)  (No Limit Texas Hold'em) (dealer: ""teish @ _VovX_t1K-"") --",2025-05-18T14:02:09.584Z,174757692958400
"-- ending hand #154 --",2025-05-18T14:02:06.655Z,174757692665502
"""パンドラ @ pL49LPNYjQ"" collected 20 from pot",2025-05-18T14:02:06.655Z,174757692665501
"Uncalled bet of 10 returned to ""パンドラ @ pL49LPNYjQ""",2025-05-18T14:02:06.655Z,174757692665500
"""teish @ _VovX_t1K-"" folds",2025-05-18T14:02:05.840Z,174757692584000
"""Hibari @ WoUs1vEbz8"" folds",2025-05-18T14:02:02.941Z,174757692294100
"""pip. @ _XGiKpJkGh"" folds",2025-05-18T14:02:01.843Z,174757692184300
"""Tmsan. @ Jpm3fUR8V3"" folds",2025-05-18T14:02:00.712Z,174757692071200
"""Agu @ Figi6mUf2R"" folds",2025-05-18T14:01:59.530Z,174757691953000
"""らねおか @ XaClitYV1x"" folds",2025-05-18T14:01:58.492Z,174757691849200
"""パンドラ @ pL49LPNYjQ"" posts a big blind of 20",2025-05-18T14:01:57.244Z,174757691724410
"""teish @ _VovX_t1K-"" posts a small blind of 10",2025-05-18T14:01:57.244Z,174757691724409
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2793) | #3 ""Agu @ Figi6mUf2R"" (2455) | #4 ""Tmsan. @ Jpm3fUR8V3"" (2263) | #5 ""pip. @ _XGiKpJkGh"" (1422) | #6 ""Hibari @ WoUs1vEbz8"" (2805) | #8 ""teish @ _VovX_t1K-"" (2825) | #9 ""パンドラ @ pL49LPNYjQ"" (3164)",2025-05-18T14:01:57.244Z,174757691724401
"-- starting hand #154 (id: ctpthqxdiiam)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-05-18T14:01:57.244Z,174757691724400
"-- ending hand #153 --",2025-05-18T14:01:51.161Z,174757691116102
"""teish @ _VovX_t1K-"" collected 90 from pot with Pair, A's (combination: A♣, A♠, 10♦, 8♦, 7♦)",2025-05-18T14:01:51.161Z,174757691116101
"""teish @ _VovX_t1K-"" shows a A♣, 2♣.",2025-05-18T14:01:51.161Z,174757691116100
"""らねおか @ XaClitYV1x"" checks",2025-05-18T14:01:50.354Z,174757691035400
"""teish @ _VovX_t1K-"" checks",2025-05-18T14:01:49.311Z,174757690931100
"River: 8♦, 4♣, 10♦, 7♦ [A♠]",2025-05-18T14:01:36.502Z,174757689650200
"""らねおか @ XaClitYV1x"" checks",2025-05-18T14:01:35.665Z,174757689566500
"""teish @ _VovX_t1K-"" checks",2025-05-18T14:01:32.930Z,174757689293000
"Turn: 8♦, 4♣, 10♦ [7♦]",2025-05-18T14:01:11.812Z,174757687181200
"""らねおか @ XaClitYV1x"" checks",2025-05-18T14:01:10.927Z,174757687092700
"""teish @ _VovX_t1K-"" checks",2025-05-18T14:01:02.817Z,174757686281700
"Flop:  [8♦, 4♣, 10♦]",2025-05-18T14:00:56.941Z,174757685694100
"""teish @ _VovX_t1K-"" calls 40",2025-05-18T14:00:56.072Z,174757685607200
"""Hibari @ WoUs1vEbz8"" folds",2025-05-18T14:00:49.488Z,174757684948800
"""pip. @ _XGiKpJkGh"" folds",2025-05-18T14:00:48.249Z,174757684824900
"""Tmsan. @ Jpm3fUR8V3"" folds",2025-05-18T14:00:47.202Z,174757684720200
"""Agu @ Figi6mUf2R"" folds",2025-05-18T14:00:46.110Z,174757684611000
"""らねおか @ XaClitYV1x"" raises to 40",2025-05-18T14:00:43.720Z,174757684372000
"""パンドラ @ pL49LPNYjQ"" folds",2025-05-18T14:00:39.363Z,174757683936300
"""teish @ _VovX_t1K-"" posts a big blind of 20",2025-05-18T14:00:17.113Z,174757681711310
"""Hibari @ WoUs1vEbz8"" posts a small blind of 10",2025-05-18T14:00:17.113Z,174757681711309
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2833) | #3 ""Agu @ Figi6mUf2R"" (2455) | #4 ""Tmsan. @ Jpm3fUR8V3"" (2263) | #5 ""pip. @ _XGiKpJkGh"" (1422) | #6 ""Hibari @ WoUs1vEbz8"" (2815) | #8 ""teish @ _VovX_t1K-"" (2775) | #9 ""パンドラ @ pL49LPNYjQ"" (3164)",2025-05-18T14:00:17.113Z,174757681711301
"-- starting hand #153 (id: liljbaaawigy)  (No Limit Texas Hold'em) (dealer: ""pip. @ _XGiKpJkGh"") --",2025-05-18T14:00:17.113Z,174757681711300
