player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"そばやき",MXMehlaL5V,2025-05-18T13:31:51.988Z,,2000,,1830,-170
"そばやき",ia-bGQfKrF,2025-05-18T13:23:06.499Z,2025-05-18T13:31:01.935Z,2000,2000,0,0
"さとうき",XvV199EQBF,2025-05-18T12:51:25.341Z,,2000,,1924,-76
"sigma",yHZrsG6l5j,2025-05-18T12:36:13.021Z,,2220,,3534,1314
"shiozuka1121",Zp6HGuC8yK,2025-05-18T12:29:05.709Z,2025-05-18T13:41:22.498Z,3073,1953,0,-1120
"ほたるいか",6weTfFBYpF,2025-05-18T12:12:31.846Z,,2000,,2772,772
"TNT",DXrWVNkdav,2025-05-18T12:11:14.781Z,,3000,1856,3855,2711
"わた",wX6LJEu-P9,2025-05-18T12:07:07.660Z,2025-05-18T12:30:39.288Z,3000,0,0,-3000
"はやと",afwX5VdcTj,2025-05-18T12:05:37.359Z,,5000,,3417,-1583
"ひよこ",Azd0RN65Iq,2025-05-18T12:04:59.515Z,,2000,,1555,-445
"Sabosuke",YcXdKAaJF2,2025-05-18T12:04:09.564Z,,2925,,1838,-1087
"はやと",afwX5VdcTj,2025-05-18T12:04:09.558Z,2025-05-18T12:04:59.512Z,3000,2850,0,-150
"shiozuka1121",Zp6HGuC8yK,2025-05-18T12:04:09.562Z,2025-05-18T12:26:45.821Z,2000,0,0,-2000
"waho",NfjopgdY_L,2025-05-18T12:04:09.560Z,2025-05-18T12:43:51.064Z,3000,7470,0,4470
"arash!",3XxnU4oJw0,2025-05-18T12:04:09.555Z,2025-05-18T13:20:43.759Z,2000,2364,0,364
